contrast	n_signed_set_measured	n_signed_set_missing	signed_set_missing	n_sign_plus	n_sign_minus	n_concordant	concordant_fraction	mean_signed_concordance	perm_p_concordance	mean_log2fc_signed_set	n_log2fc_negative	perm_p_mean_log2fc	n_background_q05	n_perm	n_core_nhej_detected	mean_log2fc_core_nhej	frac_core_nhej_down	perm_p_core_nhej_mean	CLDN4_log2fc	TP53BP1_log2fc	XRCC1_log2fc	STING1_log2fc
GSE207704_T47D_CLDN4ko	6	1	MDC1	0	6	4	0.6666666666666666	0.06960819983520718	0.7724227577242275	0.06960819983520718	2	0.712028797120288	1102	10000	25	0.017721509913374147	0.44	0.8727127287271272	-1.0730834295605334	0.20972492798131154	0.11328006177034738	
GSE207704_MCF7_CLDN4ko	6	1	MDC1	0	6	3	0.5	0.02732791230861575	0.8720127987201279	0.02732791230861575	3	0.8749125087491251	1125	10000	25	0.020027834719511958	0.48	0.8556144385561444	-0.726033154832874	0.16139786108014825	-0.1820321355867442	
GSE207704_mean_T47D_MCF7	6	1	MDC1	0	6	3	0.5	0.048468056071911465	0.7468253174682532	0.048468056071911465	3	0.7127287271272873	1091	10000	25	0.018874672316443047	0.48	0.7809219078092191	-0.8995582921967037	0.1855613945307299	-0.034376036908198404	
GSE22493_SKOV3_CLDN4kd	6	1	RNF168	0	6	4	0.6666666666666666	0.16968333333333338	0.6358364163583642	0.16968333333333338	2	0.6413358664133587	843	10000	21	-0.008808730158730172	0.5238095238095238	0.9676032396760323	-1.22505	-0.33349999999999996	0.6868	
