gene	membership	in_table_s1	log2_ratio_high_over_low	p_value	q_value	higher_expression_in	q_lt_0.05	sign_with_cldn4	rppa_protein_down_in_cldn4_kd	in_signed_nhej_set
ATM	Reactome_NHEJ_DSB_response	1	-0.29	9.146e-05	0.005989	CLDN4 Low	1	-1	0	1
DCLRE1C	KEGG_NHEJ	1	-0.1	0.139	0.369	CLDN4 Low	0	-1	0	0
DNTT	KEGG_NHEJ	1	-0.02	0.211	0.462	CLDN4 Low	0	-1	0	0
FEN1	KEGG_NHEJ_also_altNHEJ	1	-0.17	0.0168	0.113	CLDN4 Low	0	-1	0	0
H2AX	Reactome_NHEJ_DSB_response	1	0.08	0.368	0.618	CLDN4 High	0	1	0	0
LIG4	KEGG_NHEJ	1	0.14	0.0677	0.248	CLDN4 High	0	1	0	0
MAD2L2	shieldin	1	-0.12	0.184	0.429	CLDN4 Low	0	-1	0	0
MDC1	Reactome_NHEJ_DSB_response	1	-0.26	0.0007239	0.0185	CLDN4 Low	1	-1	0	1
MRE11	KEGG_NHEJ	1	-0.22	0.001552	0.0287	CLDN4 Low	1	-1	0	1
NBN	Reactome_NHEJ_MRN	1	-0.1	0.115	0.333	CLDN4 Low	0	-1	0	0
NHEJ1	KEGG_NHEJ	1	-0.02	0.818	0.914	CLDN4 Low	0	-1	0	0
PAXIP1	Reactome_NHEJ_DSB_response	1	-0.08	0.217	0.47	CLDN4 Low	0	-1	0	0
POLL	KEGG_NHEJ	1	-0.04	0.522	0.74	CLDN4 Low	0	-1	0	0
POLM	KEGG_NHEJ	1	0.13	0.0466	0.203	CLDN4 High	0	1	0	0
PRKDC	KEGG_NHEJ	1	-0.27	5.281e-05	0.004446	CLDN4 Low	1	-1	0	1
RAD50	KEGG_NHEJ	1	-0.14	0.0372	0.178	CLDN4 Low	0	-1	0	0
RIF1	Reactome_NHEJ_53BP1	1	-0.15	0.0212	0.129	CLDN4 Low	0	-1	0	0
RNF168	Reactome_NHEJ_DSB_response	1	-0.26	0.0009509	0.0217	CLDN4 Low	1	-1	0	1
RNF8	Reactome_NHEJ_DSB_response	1	-0.02	0.662	0.831	CLDN4 Low	0	-1	0	0
SHLD1	shieldin	1	0.08	0.354	0.607	CLDN4 High	0	1	0	0
SHLD2	shieldin	1	-0.23	0.001646	0.0298	CLDN4 Low	1	-1	0	1
SHLD3	shieldin	0					0		0	0
TDP1	Reactome_NHEJ	1	-0.24	7.128e-05	0.005172	CLDN4 Low	1	-1	0	1
TDP2	Reactome_NHEJ	1	-0.04	0.437	0.674	CLDN4 Low	0	-1	0	0
TP53BP1	Reactome_NHEJ_53BP1	1	-0.15	0.0213	0.13	CLDN4 Low	0	-1	1	0
XRCC1	paper_RPPA_SSBR_not_classical_NHEJ	1	0.04	0.557	0.764	CLDN4 High	0	1	1	0
XRCC4	KEGG_NHEJ	1	-0.03	0.689	0.847	CLDN4 Low	0	-1	0	0
XRCC5	KEGG_NHEJ	1	-0.04	0.488	0.716	CLDN4 Low	0	-1	0	0
XRCC6	KEGG_NHEJ	1	-0.08	0.144	0.376	CLDN4 Low	0	-1	0	0
