gene	n_reps	n_probes	mean_log2fc	t_stat	ttest_p	rep_log2fc
CLDN4	2	1	-1.22505	-2.3929094638148256	0.25200126556644326	-1.737,-0.7131
TP53BP1	3	1	-0.33349999999999996	-0.780883407972441	0.5166248302124681	0.4436,-0.415,-1.029
XRCC1	3	1	0.6868	33.18106715877604	0.0009070434720767296	0.6871,0.6508,0.7225
STING1	0					
PRKDC	3	2	0.35941666666666655	1.3667949307722553	0.3050510237616424	0.4343,-0.1288,0.7728
ATM	3	3	0.6109833333333333	1.1681310894315131	0.3631614211265105	1.252,1.007,-0.4255
MDC1	3	1	1.2121	2.468575212648727	0.13230234500214727	1.39,0.2869,1.96
MRE11	3	2	0.04731666666666664	0.07819035824836401	0.9447953796407873	-0.0885,1.157,-0.9263
RNF168	0					
SHLD2	2	2	-0.76245	-0.6160963193406327	0.648477002659677	-2,0.4751
TDP1	3	1	-0.44926666666666665	-0.534464645951668	0.6464800842234029	0.546,0.2265,-2.12
