gene	in_table_s1	log2_ratio_high_over_low	p_value	q_value	higher_expression_in	q_lt_0.05
POLR2J	1	0.29	5.508e-05	0.004514	CLDN4 High	1
BRIP1	1	-0.5	3.063e-05	0.0031	CLDN4 Low	1
NUP160	1	-0.24	6.908e-06	0.001189	CLDN4 Low	1
PRKDC	1	-0.27	5.281e-05	0.004446	CLDN4 Low	1
TP53BP1	1	-0.15	0.0213	0.13	CLDN4 Low	0
XRCC1	1	0.04	0.557	0.764	CLDN4 High	0
STING1	1	0.37	0.004477	0.0532	CLDN4 High	0
CLDN4	1	1.2	1.34e-42	2.68e-38	CLDN4 High	1
