gsm	title	source	cd69_expression	cell_type	donor_id_number	tissue
GSM2837403	DM007	individual 1	negative	T cells	D280	Bone marrow
GSM2837404	DM008	individual 2	negative	T cells	D287	Bone marrow
GSM2837405	DM009	individual 3	negative	T cells	D229	Bone marrow
GSM2837406	DM010	individual 1	negative	T cells	D280	Lymph nodes
GSM2837407	DM011	individual 3	negative	T cells	D229	Lymph nodes
GSM2837408	DM012	individual 2	negative	T cells	D287	Lymph nodes
GSM2837409	DM019	individual 1	positive	T cells	D280	Bone marrow
GSM2837410	DM020	individual 2	positive	T cells	D287	Bone marrow
GSM2837411	DM021	individual 3	positive	T cells	D229	Bone marrow
GSM2837412	DM022	individual 1	positive	T cells	D280	Lymph nodes
GSM2837413	DM023	individual 3	positive	T cells	D229	Lymph nodes
GSM2837414	DM024	individual 2	positive	T cells	D287	Lymph nodes
