gsm	title	source	cell_type	condition	treatment
GSM3029087	ccRCC_1_ft_gex_rep1	CD45+ cells from a fresh kidney tumor sample	CD45+ cells from a fresh kidney tumor sample	Fresh tumor	
GSM3029088	ccRCC_1_ft_gex_rep2	CD45+ cells from a fresh kidney tumor sample	CD45+ cells from a fresh kidney tumor sample	Fresh tumor	
GSM3029089	ccRCC_1_ft_vdj_t_rep1	CD45+ cells from a fresh kidney tumor sample	CD45+ cells from a fresh kidney tumor sample	Fresh tumor	
GSM3029090	ccRCC_1_ft_vdj_t_rep2	CD45+ cells from a fresh kidney tumor sample	CD45+ cells from a fresh kidney tumor sample	Fresh tumor	
GSM3029091	ccRCC_1_or_gex_rep1	CD45+ cells from an organoid sample	CD45+ cells from an organoid sample	Organoid	
GSM3029092	ccRCC_1_or_gex_rep2	CD45+ cells from an organoid sample	CD45+ cells from an organoid sample	Organoid	
GSM3029093	ccRCC_1_or_vdj_t_rep1	CD45+ cells from an organoid sample	CD45+ cells from an organoid sample	Organoid	
GSM3029094	ccRCC_1_or_vdj_t_rep2	CD45+ cells from an organoid sample	CD45+ cells from an organoid sample	Organoid	
GSM3029103	ccRCC_A_or_gex_rep1	CD45+ cells from an organoid sample	CD45+ cells from an organoid sample	Organoid	
GSM3029104	ccRCC_A_or_gex_rep2	CD45+ cells from an organoid sample	CD45+ cells from an organoid sample	Organoid	
GSM3029105	ccRCC_A_or_vdj_t_rep1	CD45+ cells from an organoid sample	CD45+ cells from an organoid sample	Organoid	
GSM3029106	ccRCC_A_or_vdj_t_rep2	CD45+ cells from an organoid sample	CD45+ cells from an organoid sample	Organoid	
GSM3029107	ccRCC_B_or_gex_rep1	CD45+ cells from an organoid sample	CD45+ cells from an organoid sample	Organoid	
GSM3029108	ccRCC_B_or_gex_rep2	CD45+ cells from an organoid sample	CD45+ cells from an organoid sample	Organoid	
GSM3029109	ccRCC_B_or_vdj_t_rep1	CD45+ cells from an organoid sample	CD45+ cells from an organoid sample	Organoid	
GSM3029110	ccRCC_B_or_vdj_t_rep2	CD45+ cells from an organoid sample	CD45+ cells from an organoid sample	Organoid	
GSM3029111	cd19b_0.1_gm12878_vdj_t_rep1	CD19+ B cells from a healthy donor	CD19+ B cells from a healthy donor	Cryopreserved	
GSM3029112	cd19b_0.1_gm12878_vdj_t_rep2	CD19+ B cells from a healthy donor	CD19+ B cells from a healthy donor	Cryopreserved	
GSM3029113	cd19b_1_gm12878_vdj_t_rep1	CD19+ B cells from a healthy donor	CD19+ B cells from a healthy donor	Cryopreserved	
GSM3029114	cd19b_1_gm12878_vdj_t_rep2	CD19+ B cells from a healthy donor	CD19+ B cells from a healthy donor	Cryopreserved	
GSM3029115	pant_0.1_jurkat_vdj_t_rep1	Pan T cells from a healthy donor	Pan T cells from a healthy donor	Cryopreserved	
GSM3029116	pant_0.1_jurkat_vdj_t_rep2	Pan T cells from a healthy donor	Pan T cells from a healthy donor	Cryopreserved	
GSM3029117	pant_1_jurkat_vdj_t_rep1	Pan T cells from a healthy donor	Pan T cells from a healthy donor	Cryopreserved	
GSM3029118	pant_1_jurkat_vdj_t_rep2	Pan T cells from a healthy donor	Pan T cells from a healthy donor	Cryopreserved	
GSM3029119	pbmc_gex	PBMCs from a healthy donor	PBMCs from a healthy donor	Cryopreserved	
GSM3029120	pbmc_vdj_b	PBMCs from a healthy donor	PBMCs from a healthy donor	Cryopreserved	
GSM3029121	pbmc_vdj_t	PBMCs from a healthy donor	PBMCs from a healthy donor	Cryopreserved	
GSM3457010	ccRCC_2_ft_gex_rep1	CD45+ cells from a fresh kidney tumor sample	CD45+ cells from a fresh kidney tumor sample		Fresh tumor
GSM3457011	ccRCC_2_ft_gex_rep2	CD45+ cells from a fresh kidney tumor sample	CD45+ cells from a fresh kidney tumor sample		Fresh tumor
GSM3457012	ccRCC_2_ft_vdj_t_rep1	CD45+ cells from a fresh kidney tumor sample	CD45+ cells from a fresh kidney tumor sample		Fresh tumor
GSM3457013	ccRCC_2_ft_vdj_t_rep2	CD45+ cells from a fresh kidney tumor sample	CD45+ cells from a fresh kidney tumor sample		Fresh tumor
GSM3457014	ccRCC_2_or_gex_rep1	CD45+ cells from an organoid sample	CD45+ cells from an organoid sample		Organoid
GSM3457015	ccRCC_2_or_gex_rep2	CD45+ cells from an organoid sample	CD45+ cells from an organoid sample		Organoid
GSM3457016	ccRCC_2_or_vdj_t_rep1	CD45+ cells from an organoid sample	CD45+ cells from an organoid sample		Organoid
GSM3457017	ccRCC_2_or_vdj_t_rep2	CD45+ cells from an organoid sample	CD45+ cells from an organoid sample		Organoid
