gsm	title	source	cell_type	chip-antibody
GSM2928069	H1299 +Dox ChIP DNA	H1299 Cell line	Human mammary epithelial cell line	Brg1 antibody Abcam ab110641
GSM2928070	H1299 -Dox ChIP DNA	H1299 Cell line	Human mammary epithelial cell line	Brg1 antibody Abcam ab110641
GSM2928071	H1299 +Dox input	H1299 Cell line	Human mammary epithelial cell line	Input
GSM2928072	H1299 -Dox input	H1299 Cell line	Human mammary epithelial cell line	Input
