gsm	title	source	cell_type	donor
GSM2913774	T cells from donor 1 without activation	T cells from donor 1 without activation	T cells	1
GSM2913775	T cells from donor 2 without activation	T cells from donor 2 without activation	T cells	2
GSM2913776	T cells from donor 3 without activation	T cells from donor 3 without activation	T cells	3
GSM2913777	T cells from donor 1 activated by breast tumor-specific DCs pulsed by MDA-MB-231 lysates for 1 day	T cells from donor 1 activated by breast tumor-specific DCs pulsed by MDA-MB-231 lysates for 1 day	T cells	1
GSM2913778	T cells from donor 2 activated by breast tumor-specific DCs pulsed by MDA-MB-231 lysates for 1 day	T cells from donor 2 activated by breast tumor-specific DCs pulsed by MDA-MB-231 lysates for 1 day	T cells	2
GSM2913779	T cells from donor 3 activated by breast tumor-specific DCs pulsed by MDA-MB-231 lysates for 1 day	T cells from donor 3 activated by breast tumor-specific DCs pulsed by MDA-MB-231 lysates for 1 day	T cells	3
GSM2913780	T cells from donor 1 activated by breast tumor-specific DCs pulsed by MDA-MB-231 lysates for 6 days	T cells from donor 1 activated by breast tumor-specific DCs pulsed by MDA-MB-231 lysates for 6 days	T cells	1
GSM2913781	T cells from donor 2 activated by breast tumor-specific DCs pulsed by MDA-MB-231 lysates for 6 days	T cells from donor 2 activated by breast tumor-specific DCs pulsed by MDA-MB-231 lysates for 6 days	T cells	2
GSM2913782	T cells from donor 3 activated by breast tumor-specific DCs pulsed by MDA-MB-231 lysates for 6 days	T cells from donor 3 activated by breast tumor-specific DCs pulsed by MDA-MB-231 lysates for 6 days	T cells	3
