gsm	title	source	cell_type	condition	patient_id
GSM2251214	single cell RNAseq normal B cells [1350A01_Normal_A01]	1350A01_Normal_A01	B cells	Normal	patient_1
GSM2251215	single cell RNAseq tumor B cells [1350A01_Tumor_A01]	1350A01_Tumor_A01	B cells	Tumor	patient_1
GSM2251216	single cell RNAseq normal B cells [1350A02_Normal_A02]	1350A02_Normal_A02	B cells	Normal	patient_1
GSM2251217	single cell RNAseq tumor B cells [1350A02_Tumor_A02]	1350A02_Tumor_A02	B cells	Tumor	patient_1
GSM2251218	single cell RNAseq normal B cells [1350A03_Normal_A03]	1350A03_Normal_A03	B cells	Normal	patient_1
GSM2251219	single cell RNAseq tumor B cells [1350A03_Tumor_A03]	1350A03_Tumor_A03	B cells	Tumor	patient_1
GSM2251220	single cell RNAseq normal B cells [1350A04_Normal_A04]	1350A04_Normal_A04	B cells	Normal	patient_1
GSM2251221	single cell RNAseq tumor B cells [1350A04_Tumor_A04]	1350A04_Tumor_A04	B cells	Tumor	patient_1
GSM2251222	single cell RNAseq normal B cells [1350A05_Normal_A05]	1350A05_Normal_A05	B cells	Normal	patient_1
GSM2251223	single cell RNAseq tumor B cells [1350A05_Tumor_A05]	1350A05_Tumor_A05	B cells	Tumor	patient_1
GSM2251224	single cell RNAseq normal B cells [1350A06_Normal_A06]	1350A06_Normal_A06	B cells	Normal	patient_1
GSM2251225	single cell RNAseq tumor B cells [1350A06_Tumor_A06]	1350A06_Tumor_A06	B cells	Tumor	patient_1
GSM2251226	single cell RNAseq normal B cells [1350A07_Normal_A07]	1350A07_Normal_A07	B cells	Normal	patient_1
GSM2251227	single cell RNAseq tumor B cells [1350A07_Tumor_A07]	1350A07_Tumor_A07	B cells	Tumor	patient_1
GSM2251228	single cell RNAseq normal B cells [1350A08_Normal_A08]	1350A08_Normal_A08	B cells	Normal	patient_1
GSM2251229	single cell RNAseq tumor B cells [1350A08_Tumor_A08]	1350A08_Tumor_A08	B cells	Tumor	patient_1
