gsm	title	source	cell_line	cell_type
GSM2927964	01_H1299-Dox DMSO	cells grown with no doxycycline, added DMSO for 24 hours	H1299	lung cancer cell line
GSM2927965	02_H1299+Dox DMSO	cells grown with 0.5ug/ml doxycycline, added DMSO for 24 hours	H1299	lung cancer cell line
GSM2927966	03_1299-Dox 100nM 10759	cells grown with no doxycycline, added 100nM of IACS-10759 for 24 hours	H1299	lung cancer cell line
GSM2927967	04_1299+Dox 100nM 10759	cells grown with 0.5ug/ml doxycycline, added 100nM of IACS-10759 for 24 hours	H1299	lung cancer cell line
GSM2927968	05_1299-Dox DMSO	cells grown with no doxycycline, added DMSO for 24 hours biological duplicate	H1299	lung cancer cell line
GSM2927969	06_1299+Dox DMSO	cells grown with 0.5ug/ml doxycycline, added DMSO for 24 hours duplicate	H1299	lung cancer cell line
GSM2927970	07_1299-Dox 100nM 10759	cells grown with no doxycycline, added 100nM of IACS-10759 for 24 hours, duplicate	H1299	lung cancer cell line
GSM2927971	08_1299+Dox 100nM 10759	cells grown with 0.5ug/ml doxycycline, added 100nM of IACS-10759 for 24 hours, duplicate	H1299	lung cancer cell line
GSM2927972	09_1299 Reg -Dox	cells grown with no doxycycline	H1299	lung cancer cell line
GSM2927973	10_1299 Reg +Dox	cells grown with 0.5ug/ml doxycycline	H1299	lung cancer cell line
GSM2927974	11_1299-Dox -Glucose	cells grown with no doxycycline, media changed to RPMI with No glucose 24 hours prior to harvest	H1299	lung cancer cell line
GSM2927975	12_1299+Dox -Glucose	cells grown with 0.5ug/ml doxycycline, media changed to RPMI with No Glucose 24 hours prior to harvest	H1299	lung cancer cell line
