gsm	title	source	cell_type
GSM2695320	TPD039_P2+posi	Nivolumab bound peripheral blood CD8 T cells	peripheral blood T cells
GSM2695321	TPD039_P2-nega	Nivolumab unbound peripheral blood CD8 T cells	peripheral blood T cells
GSM2695322	TPD40_p1+posi	Nivolumab bound peripheral blood CD8 T cells	peripheral blood T cells
GSM2695323	TPD40_p1-nega	Nivolumab unbound peripheral blood CD8 T cells	peripheral blood T cells
GSM2862345	1s (OPD026p1_posi)	Nivolumab bound peripheral blood CD8 T cells	peripheral blood T cells
GSM2862346	1s(OPD026p1_nega)	Nivolumab unbound peripheral blood CD8 T cells	peripheral blood T cells
GSM2862347	2s(OPD046p1_posi)	Nivolumab bound peripheral blood CD8 T cells	peripheral blood T cells
GSM2862348	2s(OPD046p1_nega)	Nivolumab unbound peripheral blood CD8 T cells	peripheral blood T cells
GSM2862349	3s(OPD047p1_posi)	Nivolumab bound peripheral blood CD8 T cells	peripheral blood T cells
GSM2862350	3s(OPD047p1_nega)	Nivolumab unbound peripheral blood CD8 T cells	peripheral blood T cells
GSM2862351	4s(TPD039p1_posi)	Nivolumab bound peripheral blood CD8 T cells	peripheral blood T cells
GSM2862352	4s(TPD039p1_nega)	Nivolumab unbound peripheral blood CD8 T cells	peripheral blood T cells
GSM2862353	5s(TPD040p1_posi)	Nivolumab bound peripheral blood CD8 T cells	peripheral blood T cells
GSM2862354	5s(TPD040p1_nega)	Nivolumab unbound peripheral blood CD8 T cells	peripheral blood T cells
