gsm	title	source	agent	cell_line	time_point
GSM3443299	22rv1, no treatment, 6h	prostate carcinoma cell line	none	22rv1	6h
GSM3443300	22rv1, no treatment, 12h	prostate carcinoma cell line	none	22rv1	12h
GSM3443301	22rv1, no treatment, 18h	prostate carcinoma cell line	none	22rv1	18h
GSM3443302	22rv1, olaparib treatment, 6h	prostate carcinoma cell line	olaparib	22rv1	6h
GSM3443303	22rv1, olaparib treatment, 12h	prostate carcinoma cell line	olaparib	22rv1	12h
GSM3443304	22rv1, olaparib treatment, 18h	prostate carcinoma cell line	olaparib	22rv1	18h
GSM3443305	DU145, no treatment, 6h	prostate carcinoma cell line	none	DU145	6h
GSM3443306	DU145, no treatment, 12h	prostate carcinoma cell line	none	DU145	12h
GSM3443307	DU145, no treatment, 18h	prostate carcinoma cell line	none	DU145	18h
GSM3443308	DU145, olaparib treatment, 6h	prostate carcinoma cell line	olaparib	DU145	6h
GSM3443309	DU145, olaparib treatment, 12h	prostate carcinoma cell line	olaparib	DU145	12h
GSM3443310	DU145, olaparib treatment, 18h	prostate carcinoma cell line	olaparib	DU145	18h
