gsm	title	source	cell_subtype	cell_type
GSM2411307	Bulk_RNA-Seq_NSCLC_12_TIL	Lung tumor (non-small cell lung cancer)	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411308	Bulk_RNA-Seq_NSCLC_05_TIL	Lung tumor (non-small cell lung cancer)	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411309	Bulk_RNA-Seq_NSCLC_11_TIL	Lung tumor (non-small cell lung cancer)	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411310	Bulk_RNA-Seq_NSCLC_08_TIL	Lung tumor (non-small cell lung cancer)	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411311	Bulk_RNA-Seq_NSCLC_36_TIL	Lung tumor (non-small cell lung cancer)	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411312	Bulk_RNA-Seq_NSCLC_23_TIL	Lung tumor (non-small cell lung cancer)	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411313	Bulk_RNA-Seq_NSCLC_34_TIL	Lung tumor (non-small cell lung cancer)	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411314	Bulk_RNA-Seq_NSCLC_29_TIL	Lung tumor (non-small cell lung cancer)	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411315	Bulk_RNA-Seq_NSCLC_22_TIL	Lung tumor (non-small cell lung cancer)	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411316	Bulk_RNA-Seq_NSCLC_31_TIL	Lung tumor (non-small cell lung cancer)	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411317	Bulk_RNA-Seq_NSCLC_14_TIL	Lung tumor (non-small cell lung cancer)	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411318	Bulk_RNA-Seq_NSCLC_01_TIL	Lung tumor (non-small cell lung cancer)	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411319	Bulk_RNA-Seq_NSCLC_10_TIL	Lung tumor (non-small cell lung cancer)	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411320	Bulk_RNA-Seq_NSCLC_02_TIL	Lung tumor (non-small cell lung cancer)	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411321	Bulk_RNA-Seq_NSCLC_25_TIL	Lung tumor (non-small cell lung cancer)	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411322	Bulk_RNA-Seq_NSCLC_05_NTIL	Matched adjacent lung tissue	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411323	Bulk_RNA-Seq_NSCLC_08_NTIL	Matched adjacent lung tissue	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411324	Bulk_RNA-Seq_NSCLC_32_NTIL	Matched adjacent lung tissue	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411325	Bulk_RNA-Seq_NSCLC_36_NTIL	Matched adjacent lung tissue	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411326	Bulk_RNA-Seq_NSCLC_23_NTIL	Matched adjacent lung tissue	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411327	Bulk_RNA-Seq_NSCLC_34_NTIL	Matched adjacent lung tissue	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411328	Bulk_RNA-Seq_NSCLC_29_NTIL	Matched adjacent lung tissue	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411329	Bulk_RNA-Seq_NSCLC_28_NTIL	Matched adjacent lung tissue	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411330	Bulk_RNA-Seq_NSCLC_03_NTIL	Matched adjacent lung tissue	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411331	Bulk_RNA-Seq_NSCLC_14_NTIL	Matched adjacent lung tissue	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411332	Bulk_RNA-Seq_NSCLC_01_NTIL	Matched adjacent lung tissue	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411333	Bulk_RNA-Seq_NSCLC_16_NTIL	Matched adjacent lung tissue	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411334	Bulk_RNA-Seq_NSCLC_10_NTIL	Matched adjacent lung tissue	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411335	Bulk_RNA-Seq_NSCLC_02_NTIL	Matched adjacent lung tissue	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411336	Bulk_RNA-Seq_NSCLC_19_NTIL	Matched adjacent lung tissue	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411337	Bulk_RNA-Seq_NSCLC_30_NTIL	Matched adjacent lung tissue	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411338	Bulk_RNA-Seq_NSCLC_39_NTIL	Matched adjacent lung tissue	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411339	Bulk_RNA-Seq_NSCLC_40_NTIL	Matched adjacent lung tissue	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411340	Bulk_RNA-Seq_NSCLC_35_NTIL	Matched adjacent lung tissue	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411341	Bulk_RNA-Seq_NSCLC_37_NTIL	Matched adjacent lung tissue	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411342	Bulk_RNA-Seq_NSCLC_38_NTIL	Matched adjacent lung tissue	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411343	Bulk_RNA-Seq_NSCLC_33_NTIL	Matched adjacent lung tissue	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411344	Bulk_RNA-Seq_NSCLC_26_NTIL	Matched adjacent lung tissue	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
GSM2411345	Bulk_RNA-Seq_NSCLC_41_NTIL	Matched adjacent lung tissue	CD45+, CD3+ CD8+, live singlets	CD8+ T cells
