set	n_listed	n_present	missing	present	collapse_probe
gene:CLDN4	1	1		CLDN4	201428_at
gene:CD8A	1	1		CD8A	205758_at
gene:CD274	1	1		CD274	227458_at
gene:TACSTD2	1	1		TACSTD2	202286_s_at
gene:EPCAM	1	1		EPCAM	201839_s_at
gene:KRT8	1	1		KRT8	209008_x_at
gene:KRT18	1	1		KRT18	201596_x_at
gene:KRT19	1	1		KRT19	201650_at
gene:CDH1	1	1		CDH1	201131_s_at
gene:KRT7	1	1		KRT7	209016_s_at
