stratum	gene_x	gene_y	n	rho	p	ci_low	ci_high	rho_adj_epithelial	p_adj_epithelial	verdict
all	CLDN4	CD8A	138	-0.3183847082917607	0.00014141776456880133	-0.4710784967208067	-0.14437155886832873	-0.18323621171389204	0.03209268195209136	HOLDS
all	CLDN4	CD274	138	-0.19440899200664857	0.02232100622584469	-0.3574327119860407	-0.0279903755549865	-0.10041810232314509	0.2429890791657816	NO_EVIDENCE
all	CLDN4	TACSTD2	138	0.22794864711214205	0.007168164504239074	0.04255222600363021	0.3934062232595679	0.22247505431783837	0.008975751071795948	COMPANION
all	CLDN4	epithelial_mean_z	138	0.6007159997168878	6.773859109957635e-15	0.4782415636874418	0.705584824568615			COMPANION
all	TACSTD2	CD8A	138	-0.19314412005780965	0.023225346484383694	-0.36308744671837384	-0.01091163068973455	-0.17663357644792807	0.03894536705764385	COMPANION
all	TACSTD2	CD274	138	-0.0961919134955444	0.26172407426337774	-0.25975204841028204	0.06455665711395485	-0.0817540345396533	0.34224964422250415	COMPANION
ADC	CLDN4	CD8A	63	-0.24054339477726575	0.05756354922782405	-0.4973263198622963	0.05086362276097148	-0.1808189117778091	0.15960019675734038	NO_EVIDENCE
ADC	CLDN4	CD274	63	-0.04281874039938557	0.7389755077794345	-0.30217736986073895	0.20704416436086595	0.026128747985471174	0.8402408878526687	NO_EVIDENCE
ADC	CLDN4	TACSTD2	63	0.1483294930875576	0.24597383563962982	-0.11545998858114628	0.3787130343621286	0.08331500365155418	0.5197096584245503	COMPANION
ADC	CLDN4	epithelial_mean_z	63	0.4904953917050692	4.4860457576496456e-05	0.25550609390338586	0.6789925492701063			COMPANION
ADC	TACSTD2	CD8A	63	-0.2523041474654378	0.04605360908391426	-0.49754493357640717	0.02439191425793327	-0.23144635084329587	0.07029809074473571	COMPANION
ADC	TACSTD2	CD274	63	-0.21875000000000003	0.08499093864192046	-0.45599433109328963	0.02380932782323517	-0.20219183055019538	0.11502909919181357	COMPANION
SCC	CLDN4	CD8A	75	-0.1611664295874822	0.16717189143273417	-0.3944740524701819	0.07688190224717636	-0.11593078772523335	0.3253035687687744	NO_EVIDENCE
SCC	CLDN4	CD274	75	0.004523470839260312	0.969275779274714	-0.21785368841118077	0.22977164598123917	-0.02599392586271728	0.8259969654047751	NO_EVIDENCE
SCC	CLDN4	TACSTD2	75	0.514651493598862	2.3164321411185537e-06	0.2973410126062156	0.6892315247096332	0.511796402064104	3.15378705732502e-06	COMPANION
SCC	CLDN4	epithelial_mean_z	75	0.35234708392603126	0.001933663039882979	0.11922958488080478	0.5564662538368511			COMPANION
SCC	TACSTD2	CD8A	75	-0.20466571834992886	0.07817347725900091	-0.4434008248082539	0.0506003198054944	-0.19130317277813289	0.10252084232832456	COMPANION
SCC	TACSTD2	CD274	75	-0.16298719772403983	0.16236395513780205	-0.40059413169831154	0.08086027956934629	-0.17353897861451245	0.1392289526975337	COMPANION
all_partial_histology	CLDN4	CD8A	138	-0.3183847082917607	0.00014141776456880133	-0.4710784967208067	-0.14437155886832873	-0.24661745169482752	0.003670826639034478	HOLDS
all_partial_histology	CLDN4	CD274	138	-0.19440899200664857	0.02232100622584469	-0.3574327119860407	-0.0279903755549865	-0.036412174470159375	0.6727121603518268	NO_EVIDENCE
all	CLDN4	CD274_223834_at	138	-0.1439282721712189	0.09214769035435762	-0.31225763208768875	0.033390004293139104	-0.1349024393667341	0.11601588377256167	SENSITIVITY
