stratum	endpoint	n_Q4	n_Q1	median_Q4	median_Q1	U	p	rank_biserial_Q4_minus_Q1
all	CD8A	35	35	4.9414954	6.579461	309.0	0.00037217610715266196	-0.4955102040816326
all	CD274	35	35	4.3390393	5.371196	447.0	0.052610388231482605	-0.2702040816326531
ADC	CD8A	16	16	4.5541985	6.29184115	93.0	0.1935092434736212	-0.2734375
ADC	CD274	16	16	3.7023291499999997	4.9175324499999995	109.0	0.48564949131806745	-0.1484375
SCC	CD8A	19	19	5.5163755	6.579461	115.0	0.057741074040083634	-0.3628808864265928
SCC	CD274	19	19	5.3652515	4.952912	168.0	0.7260858260602032	-0.06925207756232687
