name	r	p	n_q1	n_q4
ELF3 pct UMI>=1	-0.48684210526315785	0.014940084023921841	19	16
rmean pct UMI>=1 ELF3+TACSTD2+CLDN4+CLDN7	-0.5297619047619048	0.006664862485155913	21	16
rmean pct UMI>=1 ELF3+TACSTD2+CLDN4+KRT19	-0.5488721804511278	0.008269146947808488	19	14
zmean pct UMI>=1 ELF3+TACSTD2+CLDN4+CLDN7	-0.5263157894736843	0.008475701201894085	19	16
PC1 pct UMI>=1 ELF3+TACSTD2+CLDN4+CLDN7	-0.5263157894736843	0.008475701201894085	19	16
CLDN4 pct UMI>=1	-0.7236842105263157	0.00028794861470847027	19	16
