family	name	genes	fourth	prespec_module	score_kind	detail	rho	p	I2	ci_lo	ci_hi	k	N	n_neg	abs_rho	rho_GSE123902	rho_GSE131907	rho_GSE205335	rho_GSE189357
module	rmean pct UMI>=1 ELF3+TACSTD2+CLDN4+KRT19	ELF3,TACSTD2,CLDN4,KRT19	KRT19	0	rmean_pct_umi	k=1	-0.4828577526938625	0.0042036574109827205	0.4029604788827983	-0.7100834168581821	-0.16454667674778903	4	65	4	0.4828577526938625	-0.7857142857142857	-0.43873924005208	-0.18649342671233263	-0.5188329934285483
module	PC1 pct UMI>=1 ELF3+TACSTD2+CLDN4+KRT18	ELF3,TACSTD2,CLDN4,KRT18	KRT18	0	pc1_pct_umi	k=1	-0.4617507541633332	0.006822699620245336	0.40686152810413123	-0.6969980124454175	-0.13676758012717496	4	65	4	0.4617507541633332	-0.7747252747252747	-0.40649350649350646	-0.15979672501411638	-0.5166666666666667
module	PC1 pct UMI>=1 ELF3+TACSTD2+CLDN4+CLDN3	ELF3,TACSTD2,CLDN4,CLDN3	CLDN3	0	pc1_pct_umi	k=1	-0.4597424437593095	0.0003707276761180578	0.02591068016116231	-0.6472773328413958	-0.21972849139278114	4	65	4	0.4597424437593095	-0.7252747252747254	-0.46623376623376617	-0.23433088650479958	-0.5166666666666667
module	zmean pct UMI>=1 ELF3+TACSTD2+CLDN4+CLDN3	ELF3,TACSTD2,CLDN4,CLDN3	CLDN3	0	zmean_pct_umi	k=1	-0.4529667743468691	0.0026112463762440444	0.24752958828630015	-0.6676309915741641	-0.16876627892373589	4	65	4	0.4529667743468691	-0.7307692307692307	-0.464935064935065	-0.16205533596837948	-0.5166666666666667
module	PC1 pct UMI>=1 ELF3+TACSTD2+CLDN4+TJP1	ELF3,TACSTD2,CLDN4,TJP1	TJP1	0	pc1_pct_umi	k=1	-0.4528787664290413	0.024787252536939173	0.5676397449531871	-0.7233791589492989	-0.06185548880078044	4	65	4	0.4528787664290413	-0.7857142857142857	-0.40389610389610386	-0.04573687182382835	-0.5333333333333333
module	PC1 pct UMI>=1 ELF3+TACSTD2+CLDN4+KRT8	ELF3,TACSTD2,CLDN4,KRT8	KRT8	0	pc1_pct_umi	k=1	-0.45160378023055636	0.00612887504691833	0.36187840252553444	-0.6830292397863877	-0.13777391628939975	4	65	4	0.45160378023055636	-0.7637362637362637	-0.3922077922077922	-0.16657255787690575	-0.5166666666666667
module	zmean pct UMI>=1 ELF3+TACSTD2+CLDN4+KRT19	ELF3,TACSTD2,CLDN4,KRT19	KRT19	0	zmean_pct_umi	k=1	-0.45043404018459304	0.02025566398713863	0.5324697468624284	-0.7138124123223227	-0.07543169228605985	4	65	4	0.45043404018459304	-0.7857142857142857	-0.4	-0.07735742518351214	-0.5
module	rmean pct UMI>=1 ELF3+TACSTD2+CLDN4+CLDN7	ELF3,TACSTD2,CLDN4,CLDN7	CLDN7	1	rmean_pct_umi	k=1	-0.4483558126194077	0.013629098277691347	0.46871845749485125	-0.699391724706524	-0.09884834430251817	4	65	4	0.4483558126194077	-0.699727173039564	-0.5456317273807566	-0.03055168649068441	-0.5192664837628367
module	PC1 pct UMI>=1 ELF3+TACSTD2+CLDN4+KRT19	ELF3,TACSTD2,CLDN4,KRT19	KRT19	0	pc1_pct_umi	k=1	-0.44743963830532707	0.01610921307795007	0.4911662732731093	-0.7032308730317754	-0.08908813450440513	4	65	4	0.44743963830532707	-0.7692307692307693	-0.4	-0.08413325804630155	-0.5333333333333333
module	rmean pct UMI>=1 ELF3+TACSTD2+CLDN4+CLDN3	ELF3,TACSTD2,CLDN4,CLDN3	CLDN3	0	rmean_pct_umi	k=1	-0.4473702397054066	0.000457121086215673	0.0	-0.6355272458003397	-0.20905307576151133	4	65	4	0.4473702397054066	-0.6831981847000467	-0.49983774162970296	-0.19548025718667572	-0.5272012675161055
