gene	n_probes_mapped	kept_maxmean_probe	in_collapsed_matrix
CLDN4	1	8133360	True
CD8A	1	8053584	True
CD274	1	8154233	True
TACSTD2	1	7916584	True
EPCAM	2	8098439	True
KRT8	1	7963567	True
KRT18	2	7955637	True
KRT19	1	8015349	True
CDH1	1	7996837	True
KRT7	1	7955613	True
