analysis_set	x	y	n	spearman_rho	p
drop0_any_response	malignant_pct_umi_ge_1	TNK_fraction_among_mal_plus_TNK	22	0.18464144551101075	0.41073511956150655
primary_drop0_RvsNR	malignant_pct_umi_ge_1	TNK_fraction_among_mal_plus_TNK	16	0.3058823529411765	0.24925429892891854
nsclc_drop0	malignant_pct_umi_ge_1	TNK_fraction_among_mal_plus_TNK	17	-0.26470588235294124	0.3045422200057607
