,Group,Power coefficient,Calibration parameter,aDC,Adipocytes,Astrocytes,B-cells,Basophils,CD4+ memory T-cells,CD4+ naive T-cells,CD4+ T-cells,CD4+ Tcm,CD4+ Tem,CD8+ naive T-cells,CD8+ T-cells,CD8+ Tcm,CD8+ Tem,cDC,Chondrocytes,Class-switched memory B-cells,CLP,CMP,DC,Endothelial cells,Eosinophils,Epithelial cells,Erythrocytes,Fibroblasts,GMP,Hepatocytes,HSC,iDC,Keratinocytes,ly Endothelial cells,Macrophages,Macrophages M1,Macrophages M2,Mast cells,Megakaryocytes,Melanocytes,Memory B-cells,MEP,Mesangial cells,Monocytes,MPP,MSC,mv Endothelial cells,Myocytes,naive B-cells,Neurons,Neutrophils,NK cells,NKT,Osteoblast,pDC,Pericytes,Plasma cells,Platelets,Preadipocytes,pro B-cells,Sebocytes,Skeletal muscle,Smooth muscle,Tgd cells,Th1 cells,Th2 cells,Tregs
aDC,Immune,1.99712285271848,0.57506273659319,1.0,0.40757182087526,0.0,0.039818748469309,5.6193592643316e-05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.64054391869201e-05,0.0360548879092991,0.0,0.0,0.0,0.0,0.0507053541009655,0.0178302563800778,0.5,0.0,0.0,0.5,0.0,0.0,0.0207522171917164,0.0,0.0010638918650909,0.0,0.0,0.0,0.5,0.000624722749967854,0.0115863359590978,0.0,0.0,0.0,0,0.0250967201283462,0.0,0.120888584678324,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0308606561461019,0.0477209982074477,0.0,0.0,0.0,0.0
Adipocytes,Non-Hematopoietic,3.13335016156949,0.701718192236677,0.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,6.16974648872469e-06,0.0,0.0,0.0,0.00673785893520203,0.0,0.0,0.0,4.46747090376994e-07,0.0,0.000108412781760413,1.39985200566271e-07,0.0,0.00222329132027868,0.0,0.192902593327848,0.0,0.0,0.0,0.0,2.35340337655839e-08,0.0,0.0,8.34154857486664e-06,0.0,0.0119608460717208,0.0,0.0,0.0,6.60618085458572e-06,0.0,0.0375449336994101,0.0,0.0,0.0,0,0.000907442394481639,0.0,0.0212851929449292,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0351138029290022,0.003130789853201,0.0,0.0,0.0,0.0
Astrocytes,Non-Hematopoietic,2.01509639386637,0.55796159125232,0.0,0.299942579092587,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.401352747040237,0.0,0.0,0.0,0.000668770868621298,0.101972712093601,7.57527550081698e-08,0.0439287095944019,0.0,0.473993564727227,0.0,0.000759329400969075,0.000550879191681111,0.0,0.0,0.0,0.00234512967917886,0.0,0.0,0.0,0.0,0.0614130430131179,0.0,0.0,0.0,0.0,0.000265847817223871,0.5,0.0,0.0,0.0,0,0.000245478869801165,0.0,0.129583140924845,0.0,0.0,0.0,0.0,0.0877985857803883,0,0.0,0.0,0.242412216173554,0.427225905227729,0.0,0.0,0.0,0.0
B-cells,Immune,1.85647464443941,0.237615051598829,0.0,0.0,0.0,1.0,0.0427195903532895,0,0.0,0.0397574876348258,0.0,0.0,0.0,0.0329214669804413,0.0,0.0,0.0,0.000766016067093079,0.0,0.0,0.0,0.0149711930159697,0.000723768758116115,0.0283024691991796,0.0,0.0,0.0,0.0,0.0,0.348529308060052,0.0,0.0,0.0,0.0281061444674894,0.0,0.0,0.0222527222966145,0.0,0.00434156552494913,0.0,0.0,0.0,0.0161152054985255,0.255920056932465,0.0,0.0,0.0,0.0,0,0.0245249085464908,0.0267837658390847,0.00142297171784574,0.0,0.0,0.0,0.0,0.0740217677360058,0,0.0,0.0,0.00232467787136713,0.0,0.0,0.0,0.0,0.0
Basophils,Immune,1.45081428918093,0.111920634084291,0.0,0.0921809114796968,0.0,0.160161812996536,1.0,0,0.0,0.0249778642768161,0.0,0.0,0.0,0.204887473919052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00767307043106781,0.000926279695340129,0.423710415127416,0.0,0.0,0.0,0.0,0.189398285624925,0.238676504635383,0.0,0.0,0.0,0.017489332960864,0.0,0.0,0.342812641596866,0.0,0.0340325276502237,0.0,0.0,0.0,0.5,0.128786485015058,0.0,0.0,0.0,0.0,0,0.5,0.438764489274843,0.282040301685644,0.0,0.0,0.0,0.0,0.0760711758391347,0,0.0,0.0,0.0563397534280322,0.0,0.0,0.0,0.0,0.0
CD4+ memory T-cells,Immune,2.21008225717428,0.131811654724824,0.0,4.25197381050457e-05,0.0,0.0267418673168211,0.171327711101059,1,0.0,0.0,0.0,0.0,0.0,0.421802176254258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00748399712699827,4.55136351766787e-05,0.0419909877114615,0.0,0.0,0.0,0.0,0.0,0.0790153819074385,0.0,0.0,0.0,0.0032681251481359,0.0,0.0,0.00119780530169986,0.0,0.000167240352036894,0.0,0.0,0.0,0.0084384276191465,0.010235350746539,0.0,0.0,0.0,0.0,0,0.0131859788182669,0.196725956594449,0.09804715684075,0.0,0.0,0.0,0.0,0.1172855082344,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CD4+ naive T-cells,Immune,1.86816993438748,0.17709074340463,0.0,1.28550910091571e-06,0.0,0.0995210867688439,0.245223567365723,0,1.0,0.0,0.440893431841463,0.271993480893623,0.0,0.5,0.0,0.0,0.0,7.59880980775054e-06,0.0,0.0,0.0,0.0252227681369348,0.000593682031063606,0.0515364683284858,0.0,0.0,0.0,0.0,0.0,0.100100227818459,0.0,0.0,0.0,0.00387167205698609,0.0,0.0,0.0223737787544058,0.0,0.00190492931326537,0.0,0.0,0.0,0.0453636973571184,0.026124928167666,0.0,0.0,0.0,0.0,0,0.017330844438588,0.321766090119502,0.0616228094201589,0.0,0.0,0.0,0.0,0.0899969621709191,0,0.0,0.0,0.0,0.0,0.175227320220491,0.059556774002434,0.0600943721751188,0.5
CD4+ T-cells,Immune,1.84941647127339,0.466728702513552,0.0,0.000766481321721867,0.0,0.129993206070304,0.362032990438581,0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0277048985159654,0.000549199466249925,0.130528049642279,0.0,0.0,0.0,0.0,0.0,0.143802364413669,0.0,0.0,0.0,0.00728727058122028,0.0,0.0,0.027935048612094,0.0,0.00119149332786126,0.0,0.0,0.0,0.0517983004169378,0.0161379522263206,0.0,0.0,0.0,0.0,0,0.0528770982242365,0.479894702603791,0.245772376608532,0.0,0.0,0.0,0.0,0.301006562708857,0,0.0,0.0,0.00264702103572282,0.0,0.0,0.0,0.0,0.0
CD4+ Tcm,Immune,1.50247908781866,0.570131883698877,0.0,0.00145416082702032,0.0,0.0559732647091376,0.181242283590015,0,0.5,0.0,1.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0348652361906649,0.00114398815632121,0.048508439684764,0.0,0.0,0.0,0.0,0.0,0.0913795324292733,0.0,0.0,0.0,0.00303246923556606,0.0,0.0,0.13509877390613,0.0,0.00514647697157722,0.0,0.0,0.0,0.0515777384744156,0.0330823084179897,0.0,0.0,0.0,0.0,0,0.00285748941490708,0.27568925311578,0.21195662605687,0.0,0.0,0.0,0.0,0.237446875777785,0,0.0,0.0,0.0164822002182825,0.0,0.460632682771026,0.177475524827483,0.20274259212143,0.5
CD4+ Tem,Immune,1.4692980587696,0.532501092259745,0.0,0.00813471801049367,0.0,0.494564660859977,0.5,0,0.5,0.0,0.5,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13178628248204,0.000583488980045958,0.204170244657426,0.0,0.0,0.0,0.0,0.0,0.272013743965277,0.0,0.0,0.0,0.0500917927210103,0.0,0.0,0.115499820778006,0.0,0.00776080372792025,0.0,0.0,0.0,0.139158745232049,0.0936078856526171,0.0,0.0,0.0,0.0,0,0.0752023169282563,0.450150527641765,0.193655893268115,0.0,0.0,0.0,0.0,0.199342908650499,0,0.0,0.0,0.00635882878764657,0.0,0.5,0.170044197048752,0.210657128161155,0.5
