Different variables,PD-L1 (<1 %) (n = 47),PD-L1 (≧1 %) (n = 61),AD (n = 56),non-AD (n = 54)
,TROP2 (<12)n=27 (%),TROP2 (12)n=20 (%),p-value,TROP2 (<12)n=36 (%),TROP2 (12)n=25 (%),p-value,TROP2 (<12)n=36 (%),TROP2 (12)n=20 (%),p-value,TROP2 (<12)n=28 (%),TROP2 (12)n=26 (%),p-value
Age,<75≥75 yrs,"15 (55.6)12 (44,4)",10 (50.0)10 (50.0),0.706,5 (13.9)31 (86.1),10 (40.0)15 (60.0),0.020,25 (69.4)11 (30.6),8 (40.0)12 (60.0),0.032,21 (75.0)7 (25.0),18 (30.8)8 (69.2),0.636
Sex,MaleFemale,22 (81.5)5 (18.5),15 (75.0)5 (25.0),0.593,31 (86.1)5 (13.9),19 (76.0)6 (24.0),0.316,28 (77.8)8 (22.2),12 (60.0)8 (40.0),0.163,26 (92.9)2 (7.1),23 (88.5)3 (11.5),0.577
ECOG PS,0-12-3,17 (63.0)10 (37.0),12 (60.0)8 (40.0),0.836,29 (80.6)7 (19.4),18 (72.0)7 (28.0),0.437,32 (88.9)4 (11.1),15 (75.0)5 (25.0),0.184,21 (75.0)7 (25.0),19 (73.1)7 (26.9),0.872
Smoking Index,YesNo,20 (74.1)7 (25.9),15 (75.0)5 (25.0),0.943,33 (91.7)3 (8.3),22 (88.0)3 (12.0),0.639,26 (72.2)10 (27.8),15 (75.0)5 (25.0),0.822,28 (100)0 (0.0),23 (88.5)3 (11.5),0.032
Histology,ADNon-AD,18 (66.7)9 (33.3),9 (45.0)11 (55.0),0.137,18 (50.0)18 (50.0),11 (44.0)14 (56.0),0.644,36 (100)0 (0.0),20 (100)0 (0.0),-,0 (0.0)28 (100),0 (0.0)26 (100),-
Liver meta,YesNo,3 (11.1)24 (88.9),1 (5.0)19 (95.0),0.445,6 (16.7)30 (83.3),5 (20.0)20 (80.0),0.740,5 (13.9)31 (86.1),2 (10.0)18 (90.0),0.669,4 (14.3)24 (85.7),4 (15.4)22 (84.6),0.910
Brain meta,YesNo,3 (11.1)24 (88.9),1 (5.0)19 (95.0),0.445,12 (33.3)24 (66.7),2 (8.0)23 (92.0),0.015,11 (30.6)25 (69.4),3 (15.0)17 (85.0),0.185,4 (14.3)24 (85.7),1 (3.8)25 (96.2),0.171
Bone meta,YesNo,6 (22.2)21 (77.8),3 (15.0)17 (85.0),0.530,12 (33.3)24 (66.7),10 (40.0)15 (60.0),0.595,14 (38.9)22 (61.1),6 (30.0)14 (70.0),0.503,4 (14.3)24 (85.7),7 (26.9)19 (73.1),0.248
Response,PRNon-PR,13 (48.1)14 (51.9),6 (30.0)14 (70.0),0.210,16 (44.4)20 (55.6),6 (24.0)19 (76.0),0.100,16 (44.4)20 (55.6),8 (40.0)12 (60.0),0.747,13 (46.4)15 (53.6),4 (15.4)22 (84.6),0.012
PD-L1(%),≥1<1,0 (0.0)27 (100),0 (0.0)20 (100),-,36 (100)0 (0.0),25 (100)0 (0.0),-,18 (50.0)18 (50.0),11 (55.0)9 (45.0),0.720,18 (66.7)9 (33.3),14 (56.0)11 (44.0),0.429
Any irAEs,YesNo,19 (70.4)8 (29.6),15 (75.0)5 (25.0),0.725,27 (75.0)9 (25.0),14 (56.0)11 (44.0),0.121,26 (72.2)10 (27.8),14 (70.0)6 (30.0),0.860,21 (75.0)7 (25.0),16 (61.5)10 (38.5),0.287
G3/4 irAEs,YesNo,5 (18.5)22 (81.5),9 (45.0)11 (55.0),0.050,16 (44.4)20 (55.6),7 (28.0)18 (72.0),0.189,11 (30.6)25 (69.4),8 (40.0)12 (60.0),0.477,10 (35.7)18 (64.3),8 (30.8)18 (69.2),0.700
NLR,HighLow,12 (44.4)15 (55.6),7 (35.0)13 (65.0),0.513,17 (47.2)19 (52.8),15 (60.0)10 (40.0),0.325,14 (38.9)22 (61.1),7 (35.0)13 (65.0),0.773,16 (57.1)12 (42.9),15 (57.7)11 (42.3),0.968
PLR,HighLow,12 (44.4)15 (55.6),6 (30.0)14 (70.0),0.311,16 (44.4)20 (55.6),16 (64.0)9 (36.0),0.131,14 (38.9)22 (61.1),6 (30.0)14 (70.0),0.503,15 (53.6)13 (46.4),16 (61.5)10 (38.5),0.554
SII,HighLow,13 (48.1)14 (51.9),9 (45.0)11 (55.0),0.831,18 (50.0)18 (50.0),16 (64.0)9 (36.0),0.277,17 (47.2)19 (52.8),9 (45.0)11 (55.0),0.873,15 (53.6)13 (46.4),16 (61.5)10 (38.5),0.554
PNI,HighLow,14 (51.9)13 (41.8),10 (50.0)10 (50.0),0.900,22 (61.1)14 (38.9),12 (48.0)13 (52.0),0.310,23 (63.9)13 (36.1),12 (60.0)8 (40.0),0.773,13 (46.4)15 (53.6),11 (42.3)15 (57.7),0.761
ALI,HighLow,16 (59.3)11 (40.7),12 (60.0)8 (40.0),0.959,18 (50.0)18 (50.0),10 (40.0)15 (60.0),0.440,22 (61.1)14 (38.9),13 (65.0)7 (35.0),0.773,12 (42.9)16 (57.1),10 (38.5)16 (61.5),0.743
GPS,HighLow,10 (37.0)17 (63.0),8 (40.0)12 (60.0),0.836,13 (36.1)23 (63.9),13 (52.0)12 (48.0),0.217,15 (41.7)21 (58.3),9 (45.0)11 (55.0),0.810,8 (28.6)20 (71.4),12 (46.2)14 (53.8),0.180
Leukocyte,HighLow,14 (51.9)13 (48.1),8 (40.0)12 (60.0),0.420,22 (61.1)14 (38.9),14 (56.0)11 (44.0),0.690,22 (61.1)14 (38.9),10 (50.0)10 (50.0),0.422,15 (53.6)13 (46.4),12 (46.2)14 (53.8),0.586
