sample	TACSTD2	CLDN4	CD8	CYT	GEP18	CD8_AB	ESTIMATE_StromalScore	ESTIMATE_ImmuneScore	ESTIMATE_Score	ESTIMATE_purity_raw	ESTIMATE_purity	ESTIMATE	ABSOLUTE_purity	LEUK
TCGA-18-4721-01	10.8346	10.8069	9.2167	9.88865	0.9278550726079029	8.11295	468.99	1274.86	1743.85	0.6517064887405496	0.6517064887405496	1274.86	0.39	0.438948794741739
TCGA-18-5592-01	12.4813	10.5141	8.3081	9.150549999999999	-0.03506346454290654	6.996	-869.18	-239.84	-1109.02	0.9038141491327947	0.9038141491327947	-239.84	0.85	0.137005561358492
TCGA-18-5595-01	13.183	11.1284	5.9668	6.1729	-0.9853481466667829	4.1801	-1201.89	-865.91	-2067.81	0.9549049972136205	0.9549049972136205	-865.91	0.86	0.0811921937821815
TCGA-21-1070-01	14.0235	12.4415	9.9868	9.822299999999998	0.9395236162165342	8.66395	-108.23	1575.84	1467.61	0.6819174849315199	0.6819174849315199	1575.84	0.5	0.875164695515676
TCGA-21-1071-01	12.3682	11.5901	7.9092	7.3228	0.011816630895750493	6.76015	-95.36	321.14	225.78	0.8032116543013141	0.8032116543013141	321.14	0.29	0.420078264686857
TCGA-21-1072-01	12.2944	11.0306	6.9196	6.649	-0.5162849495094058	5.1879	-625.76	-449.31	-1075.08	0.9016710188446586	0.9016710188446586	-449.31	0.74	0.0620719407893713
TCGA-21-1075-01	11.1417	11.3304	3.7878	3.5448	-1.8103200575280753	2.6313	-1347.27	-1075.44	-2422.71	0.9690701972415234	0.9690701972415234	-1075.44	0.75	0.0540730746449475
TCGA-21-1076-01	13.53035	12.4561	8.5481	7.8978	0.9076831906415982	7.5046	1137.14	2233.77	3370.91	0.45377641475858194	0.45377641475858194	2233.77	0.2	0.4883770452039385
TCGA-21-1077-01	12.8165	12.741	6.6282	6.3339	-0.32880182270253777	5.6866	-280.01	388.63	108.62	0.8133369521170822	0.8133369521170822	388.63	0.34	0.336580344872535
TCGA-21-1078-01	15.1935	12.8456	4.8792	5.6328	-1.503608395001673	4.631	-1782.79	-749.42	-2532.21	0.9729115090529998	0.9729115090529998	-749.42	0.92	0.0108469393197396
TCGA-21-1079-01	12.6451	8.2048	5.8753	6.4702	-0.29349103553330913	4.56525	277.55	74.77	352.32	0.7920089586161476	0.7920089586161476	74.77	0.6	0.0592073325056785
TCGA-21-1080-01	15.6303	10.9949	8.6983	7.9413	-0.06778112120558423	7.637499999999999	-916.3	179.28	-737.03	0.8791123481943828	0.8791123481943828	179.28	0.77	0.0757458959982651
TCGA-21-1081-01	14.0509	12.5331	6.1051	5.9758	-1.0953840183480537	4.8632	-124.86	-478.57	-603.43	0.8695970487096535	0.8695970487096535	-478.57	0.49	0.0473315858250282
TCGA-21-1082-01	14.503	12.1634	8.4862	7.6474	0.04657348193867821	7.386900000000001	-39.85	734.31	694.46	0.7603621085839292	0.7603621085839292	734.31	0.69	0.176282512495849
TCGA-21-1083-01	12.2377	11.2448	8.8314	8.5658	0.7342000872922433	7.70335	-221.08	610.91	389.83	0.7886354849996023	0.7886354849996023	610.91	0.58	0.0656161704606316
TCGA-21-5782-01	14.177	11.2254	7.8678	7.849399999999999	0.08899603223175549	6.8237000000000005	-39.49	126.87	87.38	0.8151469017241836	0.8151469017241836	126.87	0.48	0.337587294315998
TCGA-21-5783-01	11.657	11.9029	6.2679	5.652	-0.7377028346334559	5.5148	-235.04	-590.44	-825.48	0.8852261738172933	0.8852261738172933	-590.44	0.57	0.202929720265379
TCGA-21-5784-01	15.099	12.8994	8.4675	8.79265	0.18627777872120718	7.7209	-101.32	1120.51	1019.19	0.7285507575709215	0.7285507575709215	1120.51	0.18	0.479272342821399
TCGA-21-5786-01	11.7095	10.6602	7.5866	6.87975	-0.3065700759549454	6.6953499999999995	-353.81	-117.97	-471.78	0.8598934746713813	0.8598934746713813	-117.97	0.58	0.231770698425474
TCGA-21-5787-01	12.0967	10.6606	11.329	10.63805	1.3072838047101665	9.974	10.02	1544.64	1554.66	0.6725159196750475	0.6725159196750475	1544.64	0.5	0.338384614891202
TCGA-21-A5DI-01	14.2457	11.6452	6.7634	7.3926	-0.733647611725468	6.3012999999999995	-906.37	-426.13	-1332.5	0.9173631435749852	0.9173631435749852	-426.13	0.3	0.413043938124615
