id	pmid	doi	year	first_author	journal	title	topic	evidence	access	quoted_numeric_or_time_claims	notes
stein1993	8253531	10.1002/ijc.2910550611	1993	Stein	Int J Cancer	Specificity and properties of MAb RS7-3G11 and the antigen defined by this pancarcinoma monoclonal antibody	TROP2_ADC	primary	abstract_only	internalization noted at 30 min; by 2 hr virtually all MAb internal (Calu-3); antigen Mr 46 kDa (35 kDa after endo-F); purified major band Mr 45 to 48 kDa	No 50%/1 h figure in retrieved abstract
goldenberg2018	29989029	10.18632/oncotarget.25615	2018	Goldenberg	Oncotarget	The emergence of trophoblast cell-surface antigen 2 (TROP-2) as a novel cancer target	TROP2_ADC	review	full_text	review states 50% of surface-bound RS7 internalized within ~1 h citing Stein 1993 and Shih 1995	review_cited_unverified_in_primary
cardillo2011	21372224	10.1158/1078-0432.CCR-10-2939	2011	Cardillo	Clin Cancer Res	Humanized anti-Trop-2 IgG-SN-38 conjugate for effective treatment of diverse epithelial cancers	TROP2_ADC	primary	abstract_only	drug substitution ~6; Kd ~1.2 nmol/L; IC50 ~2.2 nmol/L; serum t1/2 ~20 h	Linker/serum stability, not antigen internalization t1/2
goldenberg2015	26101915	10.18632/oncotarget.4318	2015	Goldenberg	Oncotarget	Trop-2 is a novel target for solid cancer therapy with sacituzumab govitecan (IMMU-132), an antibody-drug conjugate (ADC)	TROP2_ADC	primary	full_text	DAR 7.6:1; KD 0.564 ± 0.055 nM (hRS7) and 0.658 ± 0.140 nM (IMMU-132); up to 136-fold more SN-38 to xenograft vs irinotecan; CL2A SN-38 release half-life ~1 day (serum)	Rapid internalization stated; no % or t1/2 for endocytosis in retrieved text
cardillo2015	25915780	10.1021/acs.bioconjchem.5b00223	2015	Cardillo	Bioconjug Chem	Sacituzumab Govitecan (IMMU-132), an Anti-Trop-2/SN-38 Antibody-Drug Conjugate: Characterization and Efficacy in Pancreatic, Gastric, and Other Cancers	TROP2_ADC	primary	abstract_only	intact ADC MRT 15.4 h (mouse); carrier hRS7 MRT ~300 h; ADCC lost greater than 60% vs hRS7	No internalization rate in abstract
khera2022	36190986	NA	2022	Khera	Cancer Res	Antibody-Drug Conjugate Sacituzumab Govitecan Drives Efficient Tissue Penetration and Rapid Intracellular Drug Release	TROP2_ADC	primary	full_text	Trop-2 t1/2 = 4.16 h (Suppl Fig S2); receptor-bound SG extracellular release t1/2 = 21 h (ref 14); AF680 conjugation slowed hydrolysis ~3-fold (t1/2 = 58.7 h, Suppl Fig S8); doses 5 and 10 mg/kg; n=3 tumors/dose at 24 h; 8 h pulse	PMC9812893 HTML; S2 not re-fit here
goldenberg2019	31208270	10.1080/19420862.2019.1632115	2019	Goldenberg	mAbs	Antibody-drug conjugates targeting TROP-2 and incorporating SN-38: A case study of anti-TROP-2 sacituzumab govitecan	TROP2_ADC	review	full_text	SN-38 serum release half-life ~1 day; RN927C substitution ratio 2.0; Phase 1 doses 0.15 to 4.8 mg/kg	Clinical/design review
okajima2021	34413126	10.1158/1535-7163.MCT-21-0206	2021	Okajima	Mol Cancer Ther	Datopotamab Deruxtecan, a Novel TROP2-directed Antibody-drug Conjugate, Demonstrates Potent Antitumor Activity by Efficient Drug Delivery to Tumor Cells	TROP2_ADC	primary	full_text	average internalization 68.5% at 3 h; >50% at 3 h in all lines tested; AF488-Dato-DXd 10 ug/mL; times 0/15/30/60/120/180 min; DAR target 4; DXd vs TROP2 Spearman rho=0.60 at 24 h (100 nmol/L); Dato-DXd T1/2 45.12 ± 13.92 h at 6 mg/kg monkey; SG T1/2 14.4 ± 3.3 h (8 mg/kg) and 11.7 ± 3.3 h (10 mg/kg) human; SG plasma half-life approx 11-15 h (intro)	Partial LAMP-2 colocalization qualitative; per-line % not extracted from Fig 2A
strop2016	27582525	10.1158/1535-7163.MCT-16-0431	2016	Strop	Mol Cancer Ther	RN927C, a Site-Specific Trop-2 Antibody-Drug Conjugate (ADC) with Enhanced Stability, Is Highly Efficacious in Preclinical Solid Tumor Models	TROP2_ADC	primary	abstract_only	IC50 generally subnanomolar; single dose 0.75 to 3 mg/kg	No internalization % in abstract
devay2017	28151644	10.1021/acs.bioconjchem.7b00013	2017	DeVay	Bioconjug Chem	Improved Lysosomal Trafficking Can Modulate the Potency of Antibody Drug Conjugates	TROP2_ADC	primary	abstract_only	none extracted	Abstract: Trop2 has less efficient lysosomal targeting than APLP2; no rate given
king2018	29333575	NA	2018	King	Invest New Drugs	A phase 1, dose-escalation study of PF-06664178, an anti-Trop-2/Aur0101 antibody-drug conjugate	TROP2_ADC	primary	full_text	DAR 2	PMC7519583: qualitative lysosomal trafficking after Trop-2 binding
cong2015	25948584	10.1242/jcs.165878	2015	Cong	J Cell Sci	Claudin-4 is required for modulation of paracellular permeability by muscarinic acetylcholine receptor in epithelial cells	CLDN4_TRAFFIC	primary	full_text	basal TER 632.8±107.1 ohm cm2; carbachol 0.01/0.1/1/10 umol/l; TER change from 20 min (0.01), 10-60 min (0.1), 5 min (1 and 10); 4-kDa dextran up at 10 and 30 min; 40-kDa unchanged; cevimeline 10 umol/l; 4-DAMP 10 umol/l; membrane CLDN4 down 5-60 min; cytoplasmic CLDN4 up at 10 min, baseline 30 and 60 min; phospho-site S195	Clathrin / beta-arrestin2 / ubiquitin stated; no % internalized
ivanov2004	14528017	10.1091/mbc.e03-05-0319	2004	Ivanov	Mol Biol Cell	Endocytosis of Epithelial Apical Junctional Proteins by a Clathrin-mediated Pathway into a Unique Storage Compartment	CLDN4_TRAFFIC	primary	full_text	Ca2+ depletion 30-120 min to subapical rings	CLDN1 and CLDN4 included; clathrin not caveolae/macropinocytosis; syntaxin-4 store, not lysosome
tanaka2005	16236711	10.1074/jbc.M503786200	2005	Tanaka	J Biol Chem	EphA2 Phosphorylates the Cytoplasmic Tail of Claudin-4 and Mediates Paracellular Permeability	CLDN4_TRAFFIC	primary	abstract_only	phosphorylation site Tyr-208	Localization/permeability; no endocytic t1/2
stamatovic2017	28415156	NA	2017	Stamatovic	Tissue Barriers	Endocytosis of tight junction proteins and the regulation of degradation and recycling	CLDN4_TRAFFIC	review	full_text	none new	PMC5479724 compiles Cong, Ivanov, PLA/Caco-2 examples
horowitz2021	NA	NA	2021	Horowitz	Front Immunol	Endocytosis of Intestinal Tight Junction Proteins: In Time and Space	CLDN4_TRAFFIC	review	full_text	none new	PMC7813749 restates Cong CLDN4/beta-arrestin2/clathrin
fredriksson2015	25789658	10.1371/journal.pone.0117074	2015	Fredriksson	PLoS ONE	Proteomic Analysis of Proteins Surrounding Occludin and Claudin-4 Reveals Their Proximity to Signaling and Trafficking Networks	CLDN4_TRAFFIC;INTERSECTION	primary	full_text	biotin 50 uM for 16 h; enrichment cutoff >=3-fold vs ligase alone; mean CV 0.4 (range 0.1-1) for top 5 proteins	TROP-2 named in Table 2 as Cldn4-only signaling neighbor; TROP-2 PSM not in retrieved HTML
shashikanth2022	NA	10.1038/s41467-022-31587-8	2022	Shashikanth	Nat Commun	Tight junction channel regulation by interclaudin interference	CLDN4_TRAFFIC	primary	full_text	none for CLDN4 self-internalization	CLDN4 removes CLDN2/15; dynamin/clathrin inhibitors did not block CLDN4-induced TER increase
nakatsukasa2010	20651236	10.2353/ajpath.2010.100149	2010	Nakatsukasa	Am J Pathol	Tumor-associated calcium signal transducer 2 is required for the proper subcellular localization of claudin 1 and 7	INTERSECTION	primary	full_text	GDLD prevalence 1 in 31546 (Japan estimate); EpCAM 48% identity over 1500 bp; MG-132 24 h	IP: TACSTD2 binds CLDN1 and CLDN7, not CLDN4; PLA positive TACSTD2-CLDN4 in cornea
szabo2022	NA	NA	2022	Szabo	Development	EPCAM and TROP2 share a role in claudin stabilization and development of intestinal and extraintestinal epithelia in mice	INTERSECTION	primary	full_text	none extracted	PMC9294608; lung among tissues needing combined EPCAM+TROP2 loss to further drop CLDN7
wu2020	NA	10.3390/cells9041027	2020	Wu	Cells	Matriptase Cleaves EpCAM and TROP2 in Keratinocytes, Destabilizing Both Proteins and Associated Claudins	INTERSECTION	primary	full_text	none extracted	CLDN1/7 context; chloroquine used for lysosomal degradation test
jitc2026_trop2_claudin	NA	NA	2026	NA	J Immunother Cancer	TROP2/claudin program mediates immune exclusion to impede checkpoint blockade in breast cancer	INTERSECTION	primary	full_text	none extracted	HTML https://jitc.bmj.com/content/14/4/e012265; TROP2-CLDN7 co-IP; hRS7 used for ICB access not ADC rate
