term	es	nes	nom_p	n_set_in_rank	mean_stat	lead_genes	n_lead	fdr	contrast	role	n_high	n_low	n_genes_ranked	label
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.5059747515109082	1.5081012020314446	0.000999000999000999	181	0.26028842908839783	Cxcl11,Sectm1a,Mettl7b,Cxcl9,Ccl5,Cxcl10,Gzma,Oas3,Oas2,Tnfaip6,Ido1,Rsad2,Oasl1,Isg15,Zbp1,Ccl7,Cdkn1a,Psmb9,Il2rb,Ifi44,Nlrc5,Gbp3,Upp1,Slamf7,Rtp4	66	0.004995004995004995	naive_KO_vs_WT	primary	1	1	21588	Hallmark IFN-γ
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.5909965654560809	1.5873141030188271	0.003996003996003996	89	0.2812065107865169	Cxcl11,Cxcl10,Rsad2,Oasl1,Isg15,Psmb9,Oas1a,Ifi44,Gbp3,Rtp4,B2m,Ly6e,Ube2l6,Ifitm1,Batf2,Ifi44l,Cd74,Ifitm3,Stat2,Bst2,Psmb8,Dhx58,Csf1,Irf9,Il15	47	0.00999000999000999	naive_KO_vs_WT	primary	1	1	21588	Hallmark IFN-α
CUSTOM_MHC_I_ANTIGEN_PRESENTATION	0.6730814449095177	1.4232382571581819	0.029970029970029972	21	0.3936352102380953	H2-Q10,H2-T23,Psmb9,Nlrc5,B2m,Calr,Psmb8,Irf1,Psmb10,H2-D1,Erap1,Tapbpl,H2-Q6	13	0.04995004995004995	naive_KO_vs_WT	primary	1	1	21588	MHC-I / APM
KEGG_TIGHT_JUNCTION	-0.3337042774096924	-0.9634539244982822	0.2827172827172827	154	-0.061565000701298674	Mapk8,Actg1,Arhgef18,Cacna1d,Runx1,Rapgef6,Prkag2,Tiam1,Tuba8,Magi1,Cldn18,Rock1,Cldn23,Cldn8,Mpp4,Prkaa2,Cldn15,Pard6b,Myl9,Prkag3,Cldn11,Mapk10,Myh11,Myl2,Cldn4	25	0.2827172827172827	naive_KO_vs_WT	primary	1	1	21588	KEGG tight junction
GOBP_KERATINIZATION	-0.41066284258959845	-1.060522635914249	0.16183816183816183	69	-0.03446116873913044	Cdh3,Cdsn,Krt4,Hrnr,Krt86,Krt5,Krt76,Krt82,Ivl,Krt73	10	0.20229770229770228	naive_KO_vs_WT	primary	1	1	21588	GO keratinization
HALLMARK_INTERFERON_GAMMA_RESPONSE	-0.2846166035416075	-0.8984044664632227	0.2757242757242757	181	-0.05121450773480667	Bank1,Xaf1,Irf2,Psmb9,Ifit2,Fcgr1,Lcp2,Rnf31,Irf5,Socs1,Herc6,Ripk2,Mx2,Il10ra,Batf2,Il7,Cd38,Bpgm,Epsti1,Cd274,Sp110,Pde4b,Plscr1,Nod1,Psmb10	60	0.2757242757242757	VILI_WT_vs_naive_WT	companion_induction	1	1	21588	Hallmark IFN-γ
HALLMARK_INTERFERON_ALPHA_RESPONSE	-0.5483546013353976	-1.5679581893826144	0.001998001998001998	89	-0.2657379679775281	Ifih1,Irf9,Ifitm3,Ifit3,Psme2,Parp9,Uba7,Cnp,Irf2,Psmb9,Ifit2,Rnf31,Herc6,Ripk2,Mx2,Oas1a,Batf2,Il7,Epsti1,Sp110,Ccrl2,Plscr1,Parp12,Rsad2,Tap1	43	0.00999000999000999	VILI_WT_vs_naive_WT	companion_induction	1	1	21588	Hallmark IFN-α
CUSTOM_MHC_I_ANTIGEN_PRESENTATION	-0.7143719230977941	-1.5797987070236001	0.013986013986013986	21	-0.4227774603333333	Tap2,Psmb9,H2-T23,Psmb10,H2-D1,Tap1,B2m,Irf1,H2-K1,Nlrc5,Psmb8,H2-Q6,H2-Q7	13	0.023310023310023312	VILI_WT_vs_naive_WT	companion_induction	1	1	21588	MHC-I / APM
KEGG_TIGHT_JUNCTION	0.42522821795418775	1.246719538872476	0.03996003996003996	154	0.15904495517532471	Cldn24,Cldn4,Cldn14,Cldn2,Cldn19,Cldn23,Cldn22,Actr3b,Ppp2r2d,Myl6b,Cldn9,Actg1,Ezr,Marveld3,Igsf5,Cldn7,Prkab1,Rapgef2,Tuba8,Nedd4l,Crb3,Jun,Pard3,Cftr,Cldn3	51	0.04995004995004995	VILI_WT_vs_naive_WT	companion_induction	1	1	21588	KEGG tight junction
GOBP_KERATINIZATION	0.6223230565213631	1.6421624213298076	0.003996003996003996	69	0.4089318769710144	Sfn,Krt17,Krt83,Krt81,Krt85,Lce6a,Lipm,Krt73,Lce3c,Krt72,Krt86,Ivl,Sprr1a,Il1a,Lipn	15	0.00999000999000999	VILI_WT_vs_naive_WT	companion_induction	1	1	21588	GO keratinization
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.5588327285940263	1.6794533354482322	0.000999000999000999	181	0.3110944235580111	Cxcl11,Cxcl9,Ccl7,Selp,Ifi44l,Il6,Socs3,Pim1,Rsad2,Oas3,Tnfaip2,Tnfaip6,Ido1,Oasl1,Socs1,Fgl2,Cdkn1a,Gpr18,Isg15,Cxcl10,Tnfaip3,Slamf7,Ly6e,Lcp2,Upp1	88	0.004995004995004995	VILI_KOhigh_vs_WT	companion_injury	1	1	21588	Hallmark IFN-γ
