contrast	set	n_listed	n_present	frac_present
naive_KO_vs_WT	HALLMARK_INTERFERON_GAMMA_RESPONSE	188	181	0.9627659574468085
naive_KO_vs_WT	HALLMARK_INTERFERON_ALPHA_RESPONSE	94	89	0.9468085106382979
naive_KO_vs_WT	CUSTOM_MHC_I_ANTIGEN_PRESENTATION	21	21	1.0
naive_KO_vs_WT	KEGG_TIGHT_JUNCTION	169	154	0.9112426035502958
naive_KO_vs_WT	GOBP_KERATINIZATION	83	69	0.8313253012048193
naive_KO_vs_WT	IFN_COMPACT	26	26	1.0
naive_KO_vs_WT	MHC_COMPACT	17	17	1.0
naive_KO_vs_WT	TJ_COMPACT	10	10	1.0
naive_KO_vs_WT	EPI_COMPACT	8	8	1.0
VILI_WT_vs_naive_WT	HALLMARK_INTERFERON_GAMMA_RESPONSE	188	181	0.9627659574468085
VILI_WT_vs_naive_WT	HALLMARK_INTERFERON_ALPHA_RESPONSE	94	89	0.9468085106382979
VILI_WT_vs_naive_WT	CUSTOM_MHC_I_ANTIGEN_PRESENTATION	21	21	1.0
VILI_WT_vs_naive_WT	KEGG_TIGHT_JUNCTION	169	154	0.9112426035502958
VILI_WT_vs_naive_WT	GOBP_KERATINIZATION	83	69	0.8313253012048193
VILI_WT_vs_naive_WT	IFN_COMPACT	26	26	1.0
VILI_WT_vs_naive_WT	MHC_COMPACT	17	17	1.0
VILI_WT_vs_naive_WT	TJ_COMPACT	10	10	1.0
VILI_WT_vs_naive_WT	EPI_COMPACT	8	8	1.0
VILI_KOhigh_vs_WT	HALLMARK_INTERFERON_GAMMA_RESPONSE	188	181	0.9627659574468085
VILI_KOhigh_vs_WT	HALLMARK_INTERFERON_ALPHA_RESPONSE	94	89	0.9468085106382979
VILI_KOhigh_vs_WT	CUSTOM_MHC_I_ANTIGEN_PRESENTATION	21	21	1.0
VILI_KOhigh_vs_WT	KEGG_TIGHT_JUNCTION	169	154	0.9112426035502958
VILI_KOhigh_vs_WT	GOBP_KERATINIZATION	83	69	0.8313253012048193
VILI_KOhigh_vs_WT	IFN_COMPACT	26	26	1.0
VILI_KOhigh_vs_WT	MHC_COMPACT	17	17	1.0
VILI_KOhigh_vs_WT	TJ_COMPACT	10	10	1.0
VILI_KOhigh_vs_WT	EPI_COMPACT	8	8	1.0
VILI_KOlow_vs_WT	HALLMARK_INTERFERON_GAMMA_RESPONSE	188	181	0.9627659574468085
VILI_KOlow_vs_WT	HALLMARK_INTERFERON_ALPHA_RESPONSE	94	89	0.9468085106382979
VILI_KOlow_vs_WT	CUSTOM_MHC_I_ANTIGEN_PRESENTATION	21	21	1.0
VILI_KOlow_vs_WT	KEGG_TIGHT_JUNCTION	169	154	0.9112426035502958
VILI_KOlow_vs_WT	GOBP_KERATINIZATION	83	69	0.8313253012048193
VILI_KOlow_vs_WT	IFN_COMPACT	26	26	1.0
VILI_KOlow_vs_WT	MHC_COMPACT	17	17	1.0
VILI_KOlow_vs_WT	TJ_COMPACT	10	10	1.0
VILI_KOlow_vs_WT	EPI_COMPACT	8	8	1.0
