contrast	role	Cldn4_present	Cldn4_logFC	Cldn4_logCPM	Cldn4_FDR
naive_KO_vs_WT	primary	True	-6.061296179	2.250629984	4.0673e-26
VILI_WT_vs_naive_WT	companion_induction	True	3.958568579	6.215956852	7.168849999999999e-91
VILI_KOhigh_vs_WT	companion_injury	True	-10.16213953	6.122599651	2.8879500000000004e-94
VILI_KOlow_vs_WT	companion_injury	True	-12.69283342	6.133145479	3.84e-122
