gsm	title	genotype	vili	cldn4_class	tissue	strain	sra_runs	n_sra_runs	processed_count_columns
GSM1232580	WT no VILI	WT	none	Cldn4-intact / Cldn4-high	whole lung	mixed 129S6, C57BL/6, BALB/c	SRR988118,SRR988119	2	0
GSM1232581	Cldn4 KO no VILI	Cldn4 KO	none	Cldn4-null / Cldn4-low	whole lung	mixed 129S6, C57BL/6, BALB/c	SRR988120,SRR988121	2	0
GSM1232582	WT VILI	WT	VILI 40 cmH2O 2h	Cldn4-intact / Cldn4-high	whole lung	mixed 129S6, C57BL/6, BALB/c	SRR988122,SRR988123	2	0
GSM1232583	Cldn4 KO VILIlow	Cldn4 KO	VILI 40 cmH2O 2h; injury similar to WT	Cldn4-null; KOlow = injury not Cldn4	whole lung	mixed 129S6, C57BL/6, BALB/c	SRR988124,SRR988125	2	0
GSM1232584	Cldn4 KO VILIhigh	Cldn4 KO	VILI 40 cmH2O 2h; injury higher than WT	Cldn4-null; KOhigh = injury not Cldn4	whole lung	mixed 129S6, C57BL/6, BALB/c	SRR988126,SRR988127	2	0
