contrast	symbol	present	logFC_KO_minus_WT_or_deposited	logFC_Cldn4high_minus_low	logCPM	PValue	FDR	panel
naive_KO_vs_WT	Aqp5	True	0.013262929	-0.013262929	8.476198953	0.9447145	1.0	EPI
naive_KO_vs_WT	B2m	True	0.655249264	-0.655249264	9.732933766	0.000930043	0.033588316	MHC
naive_KO_vs_WT	Bst2	True	0.442283218	-0.442283218	5.201331674	0.004688664	0.10006632	IFN
naive_KO_vs_WT	Ccl5	True	2.710310881	-2.710310881	4.955225331	1.18618e-05	0.001144781	IFN
naive_KO_vs_WT	Cd274	True	0.141225695	-0.141225695	5.124689187	0.45614702	1.0	MHC
naive_KO_vs_WT	Cdh1	True	-0.139780571	0.139780571	8.921905662	0.372915549	1.0	TJ
naive_KO_vs_WT	Ciita	True	0.279209397	-0.279209397	5.169493221	0.160922533	0.74150462	MHC
naive_KO_vs_WT	Cldn18	True	-0.452490177	0.452490177	9.995127489	0.041302892	0.376994602	TJ
naive_KO_vs_WT	Cldn3	True	0.091112223	-0.091112223	7.125918582	0.523842584	1.0	TJ
naive_KO_vs_WT	Cldn4	True	-6.061296179	6.061296179	2.250629984	1.7663000000000002e-29	4.0673e-26	Cldn4
naive_KO_vs_WT	Cldn5	True	0.208424808	-0.208424808	8.807902207	0.135865801	0.683571603	TJ
naive_KO_vs_WT	Cldn7	True	0.112854612	-0.112854612	5.420554985	0.473673217	1.0	TJ
naive_KO_vs_WT	Cxcl10	True	2.542898441	-2.542898441	0.761591903	0.004257013	0.093900892	IFN
naive_KO_vs_WT	Cxcl11	True	5.044394119	-5.044394119	-1.071298111	0.010305774	0.167807069	IFN
naive_KO_vs_WT	Cxcl9	True	2.883303775	-2.883303775	1.338092825	0.002282902	0.06232753	IFN
naive_KO_vs_WT	Dhx58	True	0.427253449	-0.427253449	2.983984324	0.117277206	0.644104695	IFN
naive_KO_vs_WT	Egr1	True	-2.141375745	2.141375745	7.868281103	1.76822e-07	3.28028e-05	focal
naive_KO_vs_WT	Eif2ak2	True	-0.140057489	0.140057489	4.977188763	0.410928389	1.0	IFN
naive_KO_vs_WT	Epcam	True	-0.088099852	0.088099852	5.990073081	0.527066536	1.0	EPI
naive_KO_vs_WT	Erap1	True	0.317319893	-0.317319893	6.337562325	0.032687497	0.32953187	MHC
