n_listed	n_present	n_used	n_low_cpm_dropped	mean_logFC_KO_minus_WT	median_logFC_KO_minus_WT	mean_logFC_Cldn4high_minus_low	n_up_in_KO	n_down_in_KO	wilcoxon_stat	wilcoxon_p	mwu_vs_background_stat	mwu_vs_background_p	genes_used	contrast	role	set	is_genotype_split
26	26	24	2	0.7970525930000001	0.579365378	-0.7970525930000001	21	3	10.0	5.125999450683594e-06	425281.5	4.2403980862386916e-08	Stat1,Stat2,Irf1,Irf7,Irf9,Isg15,Mx1,Oas1a,Oas2,Oasl1,Rsad2,Ifit1,Ifit2,Ifit3,Ifi44,Usp18,Gbp2,Gbp3,Cxcl9,Cxcl10,Ccl5,Eif2ak2,Bst2,Dhx58	naive_KO_vs_WT	primary	IFN_COMPACT	True
17	17	17	0	0.43173451088235293	0.317319893	-0.43173451088235293	14	3	15.0	0.0020904541015625	276045.0	0.00028975466538881786	H2-K1,H2-D1,H2-Q6,H2-Q7,H2-Q10,H2-T23,B2m,Tap1,Tap2,Tapbp,Nlrc5,Ciita,Psmb8,Psmb9,Psmb10,Erap1,Cd274	naive_KO_vs_WT	primary	MHC_COMPACT	True
10	10	10	0	-0.04854670549999999	-0.035811295	0.04854670549999999	3	7	19.0	0.431640625	89738.5	0.35485690804441783	Cldn3,Cldn5,Cldn7,Cldn18,Tjp1,Tjp2,Ocln,Marveld2,F11r,Cdh1	naive_KO_vs_WT	primary	TJ_COMPACT	True
8	8	8	0	-0.179473678	-0.13654408899999998	0.179473678	1	6	1.0	0.03125	51254.0	0.04568724338460852	Epcam,Krt8,Krt18,Krt19,Cdh1,Aqp5,Hopx,Sftpc	naive_KO_vs_WT	primary	EPI_COMPACT	True
26	26	23	3	-0.18078260478260874	-0.304854582	0.18078260478260874	6	17	70.0	0.03838014602661133	169073.0	0.007979025431284521	Stat1,Stat2,Irf1,Irf7,Irf9,Isg15,Mx1,Oas1a,Oas2,Oasl1,Rsad2,Ifit1,Ifit2,Ifit3,Ifi44,Usp18,Gbp2,Gbp3,Cxcl10,Ccl5,Eif2ak2,Bst2,Dhx58	VILI_WT_vs_naive_WT	companion_induction	IFN_COMPACT	False
17	17	17	0	-0.5597466160588235	-0.562160232	0.5597466160588235	2	15	3.0	7.62939453125e-05	68360.0	6.942887237362218e-06	H2-K1,H2-D1,H2-Q6,H2-Q7,H2-Q10,H2-T23,B2m,Tap1,Tap2,Tapbp,Nlrc5,Ciita,Psmb8,Psmb9,Psmb10,Erap1,Cd274	VILI_WT_vs_naive_WT	companion_induction	MHC_COMPACT	False
10	10	10	0	0.13610539609999997	0.054426189	-0.13610539609999997	5	5	16.0	0.275390625	122371.0	0.46053383970880213	Cldn3,Cldn5,Cldn7,Cldn18,Tjp1,Tjp2,Ocln,Marveld2,F11r,Cdh1	VILI_WT_vs_naive_WT	companion_induction	TJ_COMPACT	False
8	8	8	0	0.5475399005	0.2657536165	-0.5475399005	5	2	3.0	0.078125	119020.0	0.06245190792354074	Epcam,Krt8,Krt18,Krt19,Cdh1,Aqp5,Hopx,Sftpc	VILI_WT_vs_naive_WT	companion_induction	EPI_COMPACT	False
26	26	23	3	0.32163329217391307	0.168681835	-0.32163329217391307	16	7	61.0	0.01787281036376953	322093.5	0.012669379545155917	Stat1,Stat2,Irf1,Irf7,Irf9,Isg15,Mx1,Oas1a,Oas2,Oasl1,Rsad2,Ifit1,Ifit2,Ifit3,Ifi44,Usp18,Gbp2,Gbp3,Cxcl10,Ccl5,Eif2ak2,Bst2,Dhx58	VILI_KOhigh_vs_WT	companion_injury	IFN_COMPACT	True
17	17	17	0	0.3348331105294117	0.26127267	-0.3348331105294117	15	2	8.0	0.0003814697265625	272655.0	0.00047540048078398284	H2-K1,H2-D1,H2-Q6,H2-Q7,H2-Q10,H2-T23,B2m,Tap1,Tap2,Tapbp,Nlrc5,Ciita,Psmb8,Psmb9,Psmb10,Erap1,Cd274	VILI_KOhigh_vs_WT	companion_injury	MHC_COMPACT	True
