uid	accession	gdstype	entrytype	n_samples	platform	taxon	pdat	matched_queries	title	summary
100000570	GPL570			177529	570	Homo sapiens		ici_pneumonitis;ici_colitis;lung_ici	[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array	Affymetrix submissions are typically submitted to GEO using the GEOarchive method described at http://www.ncbi.nlm.nih.gov/projects/geo/info/geo_affy.html  June 03, 2009: annotation table updated with netaffx build 28 June 06, 2012: annotation table updated with netaffx build 32 June 23, 2016: annotation table updated with netaffx build 35 Protocol: see manufacturer's web site  Complete coverage o
100006947	GPL6947			26147	6947	Homo sapiens		ici_pneumonitis	Illumina HumanHT-12 V3.0 expression beadchip	The HumanHT-12 V3.0 Expression BeadChip features up-to-date content derived from the National Center for Biotechnology Information Reference Sequence (NCBI RefSeq) database (Build 36.2, Release 22).  Please use the GEO Data Submission Report Plug-in v1.0 for Gene Expression which may be downloaded from https://icom.illumina.com/icom/software.ilmn?id=234 to format the normalized and raw data.  Thes
200166148	GSE166148			2297	16791	Homo sapiens		ici_irae	Immunomodulatory effects of PI3Kδ inhibition in murine and human solid tumors [human]	Phosphoinositide 3-kinase δ (PI3Kδ) plays key roles in lymphocytes and inhibitors targeting this PI3K have been approved for hematological malignancies. While preclinical data in hematological and solid tumor models have demonstrated that PI3Kδ inhibitors (PI3Kδi) can induce anti-tumor immunity, the impact of PI3Kδi in human solid tumors remains unknown. Here, we assessed the effects of the PI3Kδi
200048762	GSE48762			621	6947	Homo sapiens		ici_pneumonitis	Genome-wide profiling of whole blood from healthy adult volunteers before and after receiving non-live vaccines including seasonal influenza or pneumococcal vaccine or placebo (saline) injections II	The objective of this study is to: 1) Characterize the immune responsiveness to administration of non-live vaccines in three cohorts of healthy adult subjects through the analysis of blood leukocytes transcriptional profiles. 2) Validate whole blood transcriptional profiles generated from standard 3mL blood draws versus 200uL blood draws obtained by finger stick. 3) Discover potential biomarkers f
200033341	GSE33341			321	1261;571	Mus musculus; Homo sapiens		ici_pneumonitis	Gene Expression-Based Classifiers Identify Staphylococcus aureus Infection in Mice and Humans	Staphylococcus aureus causes a spectrum of human infection. Diagnostic delays and uncertainty lead to treatment delays and inappropriate antibiotic use. A growing literature suggests the host’s inflammatory response to the pathogen represents a potential tool to improve upon current diagnostics. The hypothesis of this study is that the host responds differently to S. aureus than to E. coli infecti
200296826	GSE296826			256	24676	Homo sapiens		ici_irae	Raw RNA-sequencing data for deriving BCR sequences from the NIH U01 project: Finding the optimal balance of immunotherapy efficacy and toxicity.	IrAEs convey substantial morbidity, incur considerable costs, and in some cases may preclude further use of immune checkpoint blockades. Recent studies indicate that (1) up to 80% of individuals on ICIs experience some form of irAEs; (2) ~35% of patients require corticosteroid treatments to mitigate these events; and (3) up to 20% terminate their therapy due to irAEs. As immunotherapy use extends 
200108667	GSE108667			229	16791;20301	Homo sapiens		ici_pneumonitis	Multi-omics profiling for individualized precision wellness	This SuperSeries is composed of the SubSeries listed below.
200307931	GSE307931			164	30173	Homo sapiens		ici_irae	Circulating transcriptome analysis finds gene signatures and immune cell activation and abundance predict response to immunotherapy in bladder cancer	Background. Immune Checkpoint Blockers (ICB) have revolutionized oncology by achieving durable tumor responses in advanced cancers. Nevertheless, currently approved biomarkers (PD-L1, MSI, TMB) have suboptimal positive and negative predictive values for tumor response and survival. Patients and Methods. We aimed to assess the value of RNA sequencing from circulating blood, a new type of liquid bio
200206301	GSE206301			152	24676	Homo sapiens		ici_colitis	Colitis associated with immune checkpoint inhibitors	This SuperSeries is composed of 3 SubSeries listed below: - blood_cells - tissue_cells - tissue_nuclei
200287540	GSE287540			128	30173	Homo sapiens		ici_irae	Transcriptomic and proteomic characterization of cell and protein biomarkers of checkpoint inhibitor-induced liver injury [bulk RNA-seq]	Immune checkpoint inhibitors (ICI) targeting CTLA-4 and PD-1 have shown remarkable antitumor efficacy but can also cause immune-related adverse events, including checkpoint inhibitor-induced liver injury (ChILI). This multi-omic study aimed to investigate changes in blood samples from treated cancer patients who developed ChILI. PBMCs were analyzed by transcriptomic and T cell receptor sequencing 
