predicted_labels	n_cells	TACSTD2_mean	TACSTD2_det	CLDN4_mean	CLDN4_det	EPCAM_mean	EPCAM_det	PTPRC_mean	PTPRC_det
Alveolar macrophages	33261	0.0015446872	0.0012928054	0.00063437625	0.00045097864	0.00049551664	0.0010823488	1.0415778	0.6869607
CD8 T cells	16613	5.103422e-05	6.0193823e-05	0.00039630654	0.00018058147	0.0	0.0	2.1735294	0.8157467
CD4 T cells	14083	0.00038184752	0.0002130228	0.00022191873	0.0001420152	0.0	0.0	1.8949622	0.7406803
Monocyte-derived Mφ	4496	0.01822568	0.028692171	0.0002166383	0.00022241993	0.0011815416	0.003336299	0.9991216	0.7802491
DC2	1359	0.024691716	0.025018396	0.0011515011	0.0007358352	0.004984026	0.008094187	1.3613187	0.727741
T cells proliferating	744	0.0007288045	0.001344086	0.0	0.0	0.0	0.0	2.1634624	0.9502688
Classical monocytes	709	0.012779856	0.014104372	0.0	0.0	0.0	0.0	1.1185633	0.55853313
Non-classical monocytes	673	0.0	0.0	0.0	0.0	0.0	0.0	1.2511529	0.45468053
B cells	419	0.0	0.0	0.0	0.0	0.0	0.0	1.3770871	0.58472556
NK cells	405	0.0	0.0	0.0	0.0	0.0	0.0	1.5258086	0.5753086
Alveolar Mφ proliferating	389	0.0	0.0	0.002815996	0.002570694	0.0016804027	0.005141388	1.1251638	0.8457584
Plasmacytoid DCs	336	0.0	0.0	0.0	0.0	0.0015398534	0.0029761905	1.1001066	0.6666667
Alveolar Mφ CCL3+	284	0.0	0.0	0.0	0.0	0.0	0.0	1.1679571	0.77112675
DC1	262	0.9845969	0.66412216	0.0	0.0	0.14207703	0.16793893	1.4464289	0.83587784
Migratory DCs	129	0.009576441	0.007751938	0.0	0.0	0.0026554007	0.007751938	0.8660617	0.56589144
Mast cells	96	0.0	0.0	0.0	0.0	0.0	0.0	0.7648602	0.40625
EC general capillary	64	0.0	0.0	0.0	0.0	0.0	0.0	0.6349399	0.21875
Plasma cells	63	0.0	0.0	0.0	0.0	0.0	0.0	0.496598	0.4920635
Interstitial Mφ perivascular	47	0.019810474	0.021276595	0.0	0.0	0.0	0.0	1.0271088	0.61702126
Basal resting	22	0.0	0.0	0.0	0.0	0.0	0.0	0.8328512	0.3181818
Multiciliated (non-nasal)	17	0.0	0.0	0.0	0.0	0.0	0.0	1.3767987	0.5294118
Alveolar Mφ MT-positive	17	0.0	0.0	0.0	0.0	0.0	0.0	0.9217539	0.5882353
Club (nasal)	14	0.0	0.0	0.0	0.0	0.0	0.0	0.87271416	0.2857143
AT1	13	0.0	0.0	0.0	0.0	0.0	0.0	0.78088737	0.30769232
Smooth muscle	13	0.0	0.0	0.0	0.0	0.0	0.0	1.1369994	0.46153846
EC arterial	11	0.0	0.0	0.0	0.0	0.0	0.0	0.73366475	0.27272728
EC venous systemic	10	0.0	0.0	0.0	0.0	0.0	0.0	0.68547934	0.4
Goblet (nasal)	9	0.0	0.0	0.0	0.0	0.0	0.0	0.5941011	0.22222222
EC venous pulmonary	8	0.0	0.0	0.0	0.0	0.0	0.0	0.87627697	0.375
AT2	7	0.0	0.0	0.0	0.0	0.0	0.0	1.1704634	0.42857143
Adventitial fibroblasts	7	0.0	0.0	0.0	0.0	0.0	0.0	0.7705642	0.2857143
Multiciliated (nasal)	6	0.0	0.0	0.0	0.0	0.0	0.0	1.7223302	0.6666667
Suprabasal	5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alveolar fibroblasts	5	0.0	0.0	0.0	0.0	0.0	0.0	0.9794998	0.4
AT2 proliferating	4	0.0	0.0	0.0	0.0	0.0	0.0	2.5729003	1.0
Club (non-nasal)	3	0.0	0.0	0.0	0.0	0.0	0.0	0.90602094	0.33333334
EC aerocyte capillary	1	0.0	0.0	0.0	0.0	0.0	0.0	2.4650664	1.0
Goblet (subsegmental)	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Peribronchial fibroblasts	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Transitional Club-AT2	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
