uid	accession	gdstype	entrytype	n_samples	platform	taxon	pdat	matched_queries	title	summary	acc	irae	pneu	colitis	lung	ici	score
200210037	GSE210037			19	24676	Homo sapiens		ici_irae;ici_colitis	Checkpoint blockade-induced dermatitis and colitis are dominated by tissue resident memory T cells and  Th1/Tc1 cytokines	Immune checkpoint blockade (ICB) is therapeutically successful in multiple cancer types. However, immune-related adverse events (irAE) frequently occur and can sometimes be life-threatening. It is critical to understand the immunologic mechanisms of irAEs with the goal of finding novel treatment targets. Therefore, we studied tissues from irAE dermatitis cases using multiparameter immunofluorescen	GSE210037	True	False	True	False	True	3
200338317	GSE338317			9	18573	Homo sapiens		ici_irae;ici_colitis	Immune architecture of the colon in ICI-mediated colitis compared with ulcerative colitis	Despite clinical success of immune checkpoint inhibitors (ICI), many cancer patients experience immune-related adverse events (irAEs). Among these, ICI-mediated colitis (IC) is prevalent and is associated with a significant burden on patients and healthcare. Despite resemblance to ulcerative colitis (UC) with respect to clinical symptoms and treatment approaches, IC’s specific causes and cellular 	GSE338317	True	False	True	False	True	3
200242780	GSE242780			6	24676	Homo sapiens		lung_ici	Single-cell RNA sequencing analysis of peripheral blood mononuclear cells in PD-1-induced renal toxicity in patients with lung cancer	The purpose of the study was to investigate the potential role of the immune system in renal irAEs by analyzing the features of peripheral blood mononuclear cells (PBMC) from patients with renal irAEs using single-cell RNA sequencing (scRNA-seq).	GSE242780	True	False	False	True	True	3
200253720	GSE253720			6	24676	Homo sapiens		ici_irae;ici_colitis	Reverse translational discovery reveals dysregulation of CD4+ and CD8+ resident memory T, myeloid, and stromal cells in steroid-refractory, checkpoint inhibitor colitis [biopsy scRNA_TCR-seq]	Checkpoint inhibitor colitis (CPI colitis) is a frequent immune-related adverse event resulting from cancer immunotherapy that is currently treated with empiric immunosuppression such as corticosteroids. A greater understanding of the pathogenesis of CPI colitis in the steroid-refractory setting is required to develop better colitis interventions targeted to each patient. Using paired colon biopsi	GSE253720	True	False	True	False	True	3
200253721	GSE253721			4	24676	Homo sapiens		ici_irae;ici_colitis	Reverse translational discovery reveals dysregulation of CD4+ and CD8+ resident memory T, myeloid, and stromal cells in steroid-refractory, checkpoint inhibitor colitis [blood CITE_TCR-seq]	Checkpoint inhibitor colitis (CPI colitis) is a frequent immune-related adverse event resulting from cancer immunotherapy that is currently treated with empiric immunosuppression such as corticosteroids. A greater understanding of the pathogenesis of CPI colitis in the steroid-refractory setting is required to develop better colitis interventions targeted to each patient. Using paired colon biopsi	GSE253721	True	False	True	False	True	3
200253719	GSE253719			2	24676	Homo sapiens		ici_irae;ici_colitis	Reverse translational discovery reveals dysregulation of CD4+ and CD8+ resident memory T, myeloid, and stromal cells in steroid-refractory, checkpoint inhibitor colitis [biopsy CITEseq]	Checkpoint inhibitor colitis (CPI colitis) is a frequent immune-related adverse event resulting from cancer immunotherapy that is currently treated with empiric immunosuppression such as corticosteroids. A greater understanding of the pathogenesis of CPI colitis in the steroid-refractory setting is required to develop better colitis interventions targeted to each patient. Using paired colon biopsi	GSE253719	True	False	True	False	True	3
200285888	GSE285888			1	16791	Homo sapiens		ici_irae;lung_ici	Single-Cell RNA Sequencing of Baseline PBMCs Predicts ICI efficacy and irAE Severity in NSCLC Patients	Immune checkpoint inhibitors (ICIs) have revolutionized by offering remarkable clinical benefits and durable responses for patients with advanced non-small cell lung cancer (NSCLC). However, a very small percentage of patients responded to ICI treatment, and immune-related adverse events (irAEs) leading to treatment discontinuation remain challenges. Despite the recognized need for biomarkers that	GSE285888	True	False	False	True	True	3
200296826	GSE296826			256	24676	Homo sapiens		ici_irae	Raw RNA-sequencing data for deriving BCR sequences from the NIH U01 project: Finding the optimal balance of immunotherapy efficacy and toxicity.	IrAEs convey substantial morbidity, incur considerable costs, and in some cases may preclude further use of immune checkpoint blockades. Recent studies indicate that (1) up to 80% of individuals on ICIs experience some form of irAEs; (2) ~35% of patients require corticosteroid treatments to mitigate these events; and (3) up to 20% terminate their therapy due to irAEs. As immunotherapy use extends 	GSE296826	True	False	False	False	True	2
200206301	GSE206301			152	24676	Homo sapiens		ici_colitis	Colitis associated with immune checkpoint inhibitors	This SuperSeries is composed of 3 SubSeries listed below: - blood_cells - tissue_cells - tissue_nuclei	GSE206301	False	False	True	False	True	2
200287540	GSE287540			128	30173	Homo sapiens		ici_irae	Transcriptomic and proteomic characterization of cell and protein biomarkers of checkpoint inhibitor-induced liver injury [bulk RNA-seq]	Immune checkpoint inhibitors (ICI) targeting CTLA-4 and PD-1 have shown remarkable antitumor efficacy but can also cause immune-related adverse events, including checkpoint inhibitor-induced liver injury (ChILI). This multi-omic study aimed to investigate changes in blood samples from treated cancer patients who developed ChILI. PBMCs were analyzed by transcriptomic and T cell receptor sequencing 	GSE287540	True	False	False	False	True	2
