gene	mean_AE	mean_HC	n_AE	n_HC	mwu_U	p_value
TACSTD2	0.008100102	0.002472208	4	3	12.0	0.057142857
CLDN4	0.000119850694	0.000889767	4	3	2.0	0.21179837
EPCAM	0.0010248605	0.0009408424	4	3	6.0	1.0
PTPRC	1.7264669	1.1788989	4	3	9.0	0.4
