gene	measurable	n_yes	n_no	mean_cpm_yes	mean_cpm_no	log2FC_yes_over_no	mwu_U	p_value
TACSTD2	False							
CLDN4	True	29.0	22.0	0.5017693719767263	0.5296744374393362	-0.07793029045213487	308.5	0.8428124855295305
