dataset	unit_id	unit_type	tissue	n_cells	n_malignant	n_tnk	frac_tnk	mal_CLDN4_pct	mal_CLDN4_mean	eligible	malig_def	cldn4_quartile	ifn_score	mhc_score	tj_score
GSE123902	LX255B	donor	METASTASIS	3886	228	1583	0.407359752959341	35.0877192982456	0.448801651463958	TRUE	marker_malig	Q2	3.80232618752314	5.90575280988569	3.13074210054713
GSE123902	LX653	donor	PRIMARY	392	145	49	0.125	71.7241379310345	1.25240682713422	TRUE	marker_malig	Q4	4.19058257970432	6.2665626477526	4.12731788826093
GSE123902	LX661	donor	PRIMARY	4566	117	3726	0.816031537450723	58.974358974359	0.857608568422848	TRUE	marker_malig	Q3	4.37926445275215	6.5841079980962	3.76599166931212
GSE123902	LX666	donor	METASTASIS	1316	786	177	0.134498480243161	67.175572519084	0.992395211788715	TRUE	marker_malig	Q3	3.69177140088097	6.37288618176613	2.84643811135261
GSE123902	LX675	donor	PRIMARY	3435	618	1336	0.388937409024745	31.3915857605178	0.582960587751478	TRUE	marker_malig	Q1	4.72803377054024	6.83058355231828	4.17170794753075
GSE123902	LX676	donor	PRIMARY	4014	147	2606	0.649227703039362	42.1768707482993	0.831390019521496	TRUE	marker_malig	Q2	4.52243871913172	6.3092001929736	3.77934300252489
GSE123902	LX679	donor	PRIMARY	2017	497	625	0.309866137828458	43.2595573440644	0.564371224044842	TRUE	marker_malig	Q2	4.10866442052731	6.95854473001303	3.77894972433892
GSE123902	LX680	donor	PRIMARY	941	258	344	0.365568544102019	73.2558139534884	1.85907788462344	TRUE	marker_malig	Q4	3.94410189804447	6.54094968031744	3.87353492322282
GSE123902	LX681	donor	METASTASIS	1630	1207	86	0.052760736196319	63.2974316487158	1.17753504578178	TRUE	marker_malig	Q3	3.54260645192572	4.92106471299153	3.52674757339171
GSE123902	LX682	donor	PRIMARY	4092	421	2558	0.625122189638319	18.7648456057007	0.461318234025586	TRUE	marker_malig	Q1	5.54683579639357	8.06903121012987	4.03060113968979
GSE123902	LX684	donor	PRIMARY	378	173	92	0.243386243386243	72.8323699421965	0.911897294127077	TRUE	marker_malig	Q4	4.49264859361721	6.74563739361184	4.22705743693152
GSE123902	LX699	donor	METASTASIS	2671	46	2263	0.847248221639835	15.2173913043478	0.314117764314781	TRUE	marker_malig	Q1	4.74661340931235	6.93426669761363	4.04587315875025
GSE123902	LX701	donor	METASTASIS	788	90	322	0.408629441624365	11.1111111111111	0.111610967942331	TRUE	marker_malig	Q1	1.79378702935851	3.84720741324377	1.2881826669792
GSE131907	BRONCHO_11	sample	mLN	3178	203	809	0.254562617998741	80.7881773399015	1.80595997088303	TRUE	author_malig	Q2	4.3895269460006	6.21949106456306	3.80091436030115
GSE131907	BRONCHO_58	sample	tL/B	2813	460	1546	0.549591183789549	72.1739130434783	1.42635333622356	TRUE	author_malig	Q2	4.20857120490724	6.61213837670256	3.31772622423494
GSE131907	EBUS_06	sample	tL/B	2303	1186	611	0.26530612244898	71.1635750421585	1.35522930358697	TRUE	author_malig	Q2	3.22019978480028	4.69691023518111	4.11454705396714
GSE131907	EBUS_10	sample	mLN	5144	367	1530	0.297433903576983	84.4686648501362	1.90497348559425	TRUE	author_malig	Q3	3.95505926651064	5.93098442405652	3.27702392282469
GSE131907	EBUS_12	sample	mLN	3115	257	328	0.10529695024077	88.3268482490272	2.35490406103567	TRUE	author_malig	Q3	4.88010454177949	7.31081708448919	3.7509248019398
GSE131907	EBUS_13	sample	mLN	3550	376	1150	0.323943661971831	0.265957446808511	0.00184347654404241	TRUE	author_malig	Q1	3.8936943212106	6.13805873588745	3.74425357182411
GSE131907	EBUS_15	sample	mLN	1105	256	479	0.433484162895928	47.265625	1.12949283928218	TRUE	author_malig	Q1	4.20150891922362	6.99727241470976	3.72056286365153
GSE131907	EBUS_19	sample	mLN	2112	217	1427	0.675662878787879	94.0092165898618	2.47790353342301	TRUE	author_malig	Q4	4.53889854954125	6.37506079632547	4.02997709367261
