nhood	n_cells	n_tnk	n_malig	frac_tnk	frac_malig	cldn4_all_mean	cldn4_malig_mean	dominant_lineage	n_samples_present	n_cells_cldn4	spearman_rho	p	testable	BH_FDR	SpatialFDR	recist_logFC_NR_minus_R	recist_t	recist_p	recist_testable	recist_BH_FDR	recist_SpatialFDR	recist_n_R	recist_n_NR
0	31	0	30	0.0	0.967741935483871	0.6623007655143738	0.6334640383720398	Epithelial cells	1	31			False						False			1	0
1	31	0	0	0.0	0.0	0.0		Myeloid cells	1	31			False						False			1	0
2	31	0	31	0.0	1.0	1.1414003372192383	1.1414003372192383	Epithelial cells	1	31			False						False			1	0
3	31	31	0	1.0	0.0	0.0		T/NK cells	1	31			False						False			1	0
4	31	0	31	0.0	1.0	1.0711077451705933	1.0711077451705933	Epithelial cells	1	31			False						False			1	0
5	31	31	0	1.0	0.0	0.0		T/NK cells	1	31			False						False			1	0
6	31	0	31	0.0	1.0	1.8633615970611572	1.8633615970611572	Epithelial cells	1	31			False						False			1	0
7	31	0	0	0.0	0.0	0.07520066946744919		Myeloid cells	1	31			False						False			1	0
8	31	0	31	0.0	1.0	1.9839609861373901	1.9839609861373901	Epithelial cells	1	31			False						False			1	0
9	31	0	31	0.0	1.0	1.9421483278274536	1.9421483278274536	Epithelial cells	1	31			False						False			1	0
10	31	0	0	0.0	0.0	0.04006938263773918		Myeloid cells	1	31			False						False			1	0
11	31	0	31	0.0	1.0	1.2258148193359375	1.2258148193359375	Epithelial cells	1	31			False						False			1	0
12	31	0	0	0.0	0.0	0.11133018136024475		Endothelial cells	7	31	-0.6071428571428572	0.14823116148116164	True	0.9648089924796812	0.9367491602290554				False			1	3
13	31	31	0	1.0	0.0	0.0		T/NK cells	1	31			False						False			1	0
14	31	27	4	0.8709677419354839	0.12903225806451613	0.1737254410982132	0.0	T/NK cells	5	31	0.6	0.28475697986529386	True	0.9648089924796812	0.9367491602290554				False			1	2
15	31	0	31	0.0	1.0	1.6505348682403564	1.6505348682403564	Epithelial cells	1	31			False						False			1	0
16	31	0	31	0.0	1.0	1.3314372301101685	1.3314372301101685	Epithelial cells	1	31			False						False			1	0
17	31	0	31	0.0	1.0	1.4990179538726807	1.4990179538726807	Epithelial cells	1	31			False						False			1	0
18	31	0	0	0.0	0.0	0.24481286108493805		Myeloid cells	2	31			False						False			1	1
19	31	0	31	0.0	1.0	1.9831002950668335	1.9831002950668335	Epithelial cells	1	31			False						False			1	0
20	31	0	0	0.0	0.0	0.137233704328537		Myeloid cells	1	31			False						False			1	0
21	31	31	0	1.0	0.0	0.05066445469856262		T/NK cells	1	31			False						False			1	0
22	31	31	0	1.0	0.0	0.04615979269146919		T/NK cells	1	31			False						False			1	0
23	31	0	31	0.0	1.0	1.9725300073623657	1.9725300073623657	Epithelial cells	1	31			False						False			1	0
24	31	1	29	0.03225806451612903	0.9354838709677419	0.903721034526825	0.9660466909408569	Epithelial cells	1	31			False						False			1	0
25	31	0	31	0.0	1.0	1.4817132949829102	1.4817132949829102	Epithelial cells	1	31			False						False			1	0
26	31	31	0	1.0	0.0	0.056967150419950485		T/NK cells	1	31			False						False			1	0
27	31	0	31	0.0	1.0	2.0898523330688477	2.0898523330688477	Epithelial cells	1	31			False						False			1	0
28	31	0	31	0.0	1.0	1.9524937868118286	1.9524937868118286	Epithelial cells	1	31			False						False			1	0
29	31	17	13	0.5483870967741935	0.41935483870967744	0.38615164160728455	0.4166119396686554	T/NK cells	5	31	0.6	0.28475697986529386	True	0.9648089924796812	0.9367491602290554				False			1	2
30	31	0	31	0.0	1.0	1.2951312065124512	1.2951312065124512	Epithelial cells	1	31			False						False			1	0
31	31	0	0	0.0	0.0	0.08534728735685349		Myeloid cells	1	31			False						False			1	0
32	31	0	0	0.0	0.0	0.04748399183154106		Myeloid cells	1	31			False						False			1	0
33	31	0	0	0.0	0.0	0.0624363012611866		Myeloid cells	1	31			False						False			1	0
34	31	0	31	0.0	1.0	1.3801690340042114	1.3801690340042114	Epithelial cells	1	31			False						False			1	0
35	31	0	0	0.0	0.0	0.05188640579581261		Myeloid cells	1	31			False						False			1	0
36	31	0	31	0.0	1.0	1.9868578910827637	1.9868578910827637	Epithelial cells	1	31			False						False			1	0
37	31	0	31	0.0	1.0	1.9238078594207764	1.9238078594207764	Epithelial cells	1	31			False						False			1	0
38	31	0	31	0.0	1.0	0.35032764077186584	0.35032764077186584	Epithelial cells	1	31			False						False			1	0
39	31	0	0	0.0	0.0	0.07149554789066315		Myeloid cells	1	31			False						False			1	0
40	31	3	28	0.0967741935483871	0.9032258064516129	0.28921952843666077	0.3202073276042938	Epithelial cells	1	31			False						False			1	0
41	31	0	31	0.0	1.0	1.4817785024642944	1.4817785024642944	Epithelial cells	1	31			False						False			1	0
42	31	0	31	0.0	1.0	0.8611345887184143	0.8611345887184143	Epithelial cells	1	31			False						False			1	0
43	31	0	0	0.0	0.0	0.06478194147348404		Myeloid cells	4	31			False						False			1	2
44	31	0	0	0.0	0.0	0.04748399183154106		Myeloid cells	1	31			False						False			1	0
45	31	0	4	0.0	0.12903225806451613	0.08228102326393127	0.19059598445892334	Epithelial cells	3	31			False						False			1	1
46	31	0	31	0.0	1.0	1.798829197883606	1.798829197883606	Epithelial cells	1	31			False						False			1	0
47	31	0	0	0.0	0.0	0.14908595383167267		Myeloid cells	3	31			False						False			1	1
48	31	0	31	0.0	1.0	1.542986273765564	1.542986273765564	Epithelial cells	1	31			False						False			1	0
49	31	23	7	0.7419354838709677	0.22580645161290322	0.09134544432163239	0.0	T/NK cells	6	31	-0.4285714285714286	0.3965014577259473	True	0.9648089924796812	0.9367491602290554				False			1	2
50	31	0	0	0.0	0.0	0.09404387325048447		Myeloid cells	4	31			False						False			1	2
51	31	31	0	1.0	0.0	0.0		T/NK cells	1	31			False						False			1	0
52	31	0	31	0.0	1.0	1.6476881504058838	1.6476881504058838	Epithelial cells	1	31			False						False			1	0
53	31	0	31	0.0	1.0	1.4068104028701782	1.4068104028701782	Epithelial cells	1	31			False						False			1	0
54	31	0	31	0.0	1.0	1.4848097562789917	1.4848097562789917	Epithelial cells	1	31			False						False			1	0
55	31	0	0	0.0	0.0	0.07767365872859955		Myeloid cells	1	31			False						False			1	0
56	31	1	29	0.03225806451612903	0.9354838709677419	0.40953052043914795	0.43777400255203247	Epithelial cells	1	31			False						False			1	0
57	31	0	0	0.0	0.0	0.0		Myeloid cells	1	31			False						False			1	0
58	31	0	29	0.0	0.9354838709677419	0.7423790693283081	0.7409085035324097	Epithelial cells	1	31			False						False			1	0
59	31	0	0	0.0	0.0	0.04748399183154106		Myeloid cells	1	31			False						False			1	0
60	31	0	31	0.0	1.0	1.8938984870910645	1.8938984870910645	Epithelial cells	1	31			False						False			1	0
61	31	0	31	0.0	1.0	0.6864848732948303	0.6864848732948303	Epithelial cells	1	31			False						False			1	0
62	31	0	0	0.0	0.0	0.033159706741571426		Myeloid cells	5	31	0.3	0.623837664781073	True	0.9648089924796812	0.9551469332637158				False			1	1
63	31	0	31	0.0	1.0	1.6208347082138062	1.6208347082138062	Epithelial cells	1	31			False						False			1	0
64	31	0	31	0.0	1.0	2.027660846710205	2.027660846710205	Epithelial cells	1	31			False						False			1	0
65	31	0	31	0.0	1.0	1.3806700706481934	1.3806700706481934	Epithelial cells	1	31			False						False			1	0
66	31	0	31	0.0	1.0	1.652766227722168	1.652766227722168	Epithelial cells	1	31			False						False			1	0
67	31	0	31	0.0	1.0	1.632262110710144	1.632262110710144	Epithelial cells	1	31			False						False			1	0
68	31	0	31	0.0	1.0	1.828589916229248	1.828589916229248	Epithelial cells	1	31			False						False			1	0
69	31	31	0	1.0	0.0	0.0		T/NK cells	1	31			False						False			1	0
70	31	0	0	0.0	0.0	0.053871579468250275		Myeloid cells	1	31			False						False			1	0
71	31	0	31	0.0	1.0	1.9517790079116821	1.9517790079116821	Epithelial cells	1	31			False						False			1	0
72	31	0	0	0.0	0.0	0.04006938263773918		Myeloid cells	2	31			False						False			1	0
73	31	0	31	0.0	1.0	1.5284943580627441	1.5284943580627441	Epithelial cells	1	31			False						False			1	0
74	31	0	31	0.0	1.0	1.557945728302002	1.557945728302002	Epithelial cells	1	31			False						False			1	0
75	31	31	0	1.0	0.0	0.0		T/NK cells	1	31			False						False			1	0
76	31	0	0	0.0	0.0	0.0		Myeloid cells	1	31			False						False			1	0
77	31	0	31	0.0	1.0	1.619126796722412	1.619126796722412	Epithelial cells	1	31			False						False			1	0
78	31	12	19	0.3870967741935484	0.6129032258064516	0.5520420670509338	0.46801918745040894	Epithelial cells	3	31			False						False			1	2
79	31	0	0	0.0	0.0	0.08534728735685349		Myeloid cells	1	31			False						False			1	0
80	31	0	0	0.0	0.0	0.08885873109102249		Myeloid cells	6	31	-0.7142857142857143	0.11078717201166179	True	0.9648089924796812	0.9367491602290554				False			1	2
81	31	5	26	0.16129032258064516	0.8387096774193549	0.6944848299026489	0.619290292263031	Epithelial cells	2	31			False						False			1	1
82	31	0	0	0.0	0.0	0.04748399183154106		Myeloid cells	1	31			False						False			1	0
83	31	0	31	0.0	1.0	1.7230006456375122	1.7230006456375122	Epithelial cells	1	31			False						False			1	0
84	31	0	31	0.0	1.0	1.221563696861267	1.221563696861267	Epithelial cells	1	31			False						False			1	0
85	31	31	0	1.0	0.0	0.04615979269146919		T/NK cells	1	31			False						False			1	0
86	31	0	31	0.0	1.0	1.4846147298812866	1.4846147298812866	Epithelial cells	1	31			False						False			1	0
87	31	0	31	0.0	1.0	0.550204873085022	0.550204873085022	Epithelial cells	1	31			False						False			1	0
88	31	0	31	0.0	1.0	1.7962771654129028	1.7962771654129028	Epithelial cells	1	31			False						False			1	0
89	31	0	29	0.0	0.9354838709677419	0.9056248664855957	0.9154126644134521	Epithelial cells	1	31			False						False			1	0
90	31	0	31	0.0	1.0	0.33185645937919617	0.33185645937919617	Epithelial cells	1	31			False						False			1	0
91	31	0	31	0.0	1.0	1.91730797290802	1.91730797290802	Epithelial cells	1	31			False						False			1	0
92	31	0	31	0.0	1.0	1.7974624633789062	1.7974624633789062	Epithelial cells	1	31			False						False			1	0
93	31	0	0	0.0	0.0	0.10771102458238602		Myeloid cells	3	31			False						False			1	2
94	31	0	31	0.0	1.0	2.0861594676971436	2.0861594676971436	Epithelial cells	1	31			False						False			1	0
95	31	0	31	0.0	1.0	1.7075144052505493	1.7075144052505493	Epithelial cells	1	31			False						False			1	0
96	31	0	0	0.0	0.0	0.0		Myeloid cells	3	31			False						False			1	2
97	31	0	0	0.0	0.0	0.02123592607676983		Myeloid cells	3	31			False						False			1	2
98	31	0	31	0.0	1.0	1.3212932348251343	1.3212932348251343	Epithelial cells	1	31			False						False			1	0
99	31	0	31	0.0	1.0	1.1699806451797485	1.1699806451797485	Epithelial cells	1	31			False						False			1	0
100	31	0	31	0.0	1.0	1.4212332963943481	1.4212332963943481	Epithelial cells	1	31			False						False			1	0
