sample	gsm	genotype	library_expected_counts	size_factor	day	cell_line	organism
WT1	GSM8462258	WT	24756733.2	1.0318550205813006	7	EpH4	Mus musculus
WT2	GSM8462259	WT	25475546.929999948	1.0740318866364427	7	EpH4	Mus musculus
WT3	GSM8462260	WT	26437263.6899999	1.112767147370025	7	EpH4	Mus musculus
KO1	GSM8462261	Cldn-null	21126459.66000003	0.8611923371421346	7	EpH4	Mus musculus
KO2	GSM8462262	Cldn-null	25048288.03000001	1.076843656951933	7	EpH4	Mus musculus
KO3	GSM8462263	Cldn-null	21806782.699999917	0.9211194107123177	7	EpH4	Mus musculus
