set_name	gene	thesis_expect
NHEJ_CORE	Prkdc	down
NHEJ_CORE	Lig4	down
NHEJ_CORE	Xrcc4	down
NHEJ_CORE	Xrcc5	down
NHEJ_CORE	Xrcc6	down
NHEJ_CORE	Nhej1	down
NHEJ_PLUS_POL	Prkdc	down
NHEJ_PLUS_POL	Lig4	down
NHEJ_PLUS_POL	Xrcc4	down
NHEJ_PLUS_POL	Xrcc5	down
NHEJ_PLUS_POL	Xrcc6	down
NHEJ_PLUS_POL	Nhej1	down
NHEJ_PLUS_POL	Polm	down
NHEJ_PLUS_POL	Poll	down
NHEJ_PLUS_POL	Dclre1c	down
NHEJ_PLUS_POL	Xrcc1	down
CGAS_STING_CORE	Cgas	up
CGAS_STING_CORE	Sting1	up
CGAS_STING_CORE	Tbk1	up
CGAS_STING_CORE	Irf3	up
IFN_ISG_COMPACT	Isg15	up
IFN_ISG_COMPACT	Ifit1	up
IFN_ISG_COMPACT	Ifit2	up
IFN_ISG_COMPACT	Ifit3	up
IFN_ISG_COMPACT	Mx1	up
IFN_ISG_COMPACT	Mx2	up
IFN_ISG_COMPACT	Oas1a	up
IFN_ISG_COMPACT	Oas2	up
IFN_ISG_COMPACT	Oas3	up
IFN_ISG_COMPACT	Oasl1	up
IFN_ISG_COMPACT	Oasl2	up
IFN_ISG_COMPACT	Stat1	up
IFN_ISG_COMPACT	Stat2	up
IFN_ISG_COMPACT	Irf7	up
IFN_ISG_COMPACT	Irf9	up
IFN_ISG_COMPACT	Ifih1	up
IFN_ISG_COMPACT	Bst2	up
IFN_ISG_COMPACT	Rsad2	up
IFN_ISG_COMPACT	Usp18	up
IFN_ISG_COMPACT	Ifi27	up
IFN_ISG_COMPACT	Ifi27l2a	up
IFN_ISG_COMPACT	Ifi44	up
IFN_ISG_COMPACT	Ifitm1	up
IFN_ISG_COMPACT	Ifitm2	up
IFN_ISG_COMPACT	Ifitm3	up
IFN_ISG_COMPACT	Ly6e	up
IFN_ISG_COMPACT	Eif2ak2	up
IFN_ISG_COMPACT	Zbp1	up
IFN_ISG_COMPACT	Cmpk2	up
IFN_ISG_COMPACT	Xaf1	up
IFN_ISG_COMPACT	Herc6	up
IFN_ISG_COMPACT	Samd9l	up
IFN_ISG_COMPACT	Epsti1	up
IFN_ISG_COMPACT	Trim30a	up
APM_MHC1_CORE	B2m	up
APM_MHC1_CORE	H2-K1	up
APM_MHC1_CORE	H2-D1	up
APM_MHC1_CORE	H2-Q7	up
APM_MHC1_CORE	H2-T23	up
APM_MHC1_CORE	Tap1	up
APM_MHC1_CORE	Tap2	up
APM_MHC1_CORE	Tapbp	up
APM_MHC1_CORE	Psmb8	up
APM_MHC1_CORE	Psmb9	up
APM_MHC1_CORE	Psmb10	up
APM_MHC1_CORE	Nlrc5	up
APM_MHC1_CORE	Calr	up
APM_MHC1_CORE	Canx	up
APM_MHC1_CORE	Pdia3	up
APM_MHC1_CORE	Erap1	up
HALLMARK_INTERFERON_ALPHA_RESPONSE	Adar	up
HALLMARK_INTERFERON_ALPHA_RESPONSE	B2m	up
HALLMARK_INTERFERON_ALPHA_RESPONSE	Batf2	up
HALLMARK_INTERFERON_ALPHA_RESPONSE	Bst2	up
HALLMARK_INTERFERON_ALPHA_RESPONSE	C1s1	up
HALLMARK_INTERFERON_ALPHA_RESPONSE	Casp1	up
HALLMARK_INTERFERON_ALPHA_RESPONSE	Casp8	up
HALLMARK_INTERFERON_ALPHA_RESPONSE	Ccrl2	up
HALLMARK_INTERFERON_ALPHA_RESPONSE	Cd47	up
HALLMARK_INTERFERON_ALPHA_RESPONSE	Cd74	up
HALLMARK_INTERFERON_ALPHA_RESPONSE	Cmpk2	up
HALLMARK_INTERFERON_ALPHA_RESPONSE	Cmtr1	up
HALLMARK_INTERFERON_ALPHA_RESPONSE	Cnp	up
HALLMARK_INTERFERON_ALPHA_RESPONSE	Csf1	up
HALLMARK_INTERFERON_ALPHA_RESPONSE	Cxcl10	up
HALLMARK_INTERFERON_ALPHA_RESPONSE	Cxcl11	up
HALLMARK_INTERFERON_ALPHA_RESPONSE	Ddx60	up
HALLMARK_INTERFERON_ALPHA_RESPONSE	Dhx58	up
