contrast	filter	variant	method	set_name	thesis_expect	n_genes	effect	effect_name	p_method	p_kind	thesis_match	thesis_p	extra
all_null_vs_WT	cpmfilter_ge10_in2	as_is	prerank_gsea:deseq2_logFC	APM_MHC1_CORE	up	15	-1.349190646494272	NES	0.1595	prerank_gsea_two_sided_absES	False	0.92025	ES=-0.5957;nperm=2000;leadingEdge_n=1;leading=Psmb8
all_null_vs_WT	cpmfilter_ge10_in2	as_is	prerank_gsea:deseq2_logFC	CGAS_STING_CORE	up	4	-0.8650308011350404	NES	0.633	prerank_gsea_two_sided_absES	False	0.6835	ES=-0.4965;nperm=2000;leadingEdge_n=1;leading=Sting1
all_null_vs_WT	cpmfilter_ge10_in2	as_is	prerank_gsea:deseq2_logFC	GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I	up	28	0.5303652659718647	NES	0.974	prerank_gsea_two_sided_absES	True	0.487	ES=0.2075;nperm=2000;leadingEdge_n=8;leading=H2-Q6,H2-Q7,Raet1e,Raet1d,H2-Q1,Mfsd6,H2-T23,Ifi30
all_null_vs_WT	cpmfilter_ge10_in2	as_is	prerank_gsea:deseq2_logFC	GOBP_CGAS_STING_SIGNALING_PATHWAY	up	33	-0.754701695621941	NES	0.794	prerank_gsea_two_sided_absES	False	0.603	ES=-0.2897;nperm=2000;leadingEdge_n=4;leading=Irgm2,Lyplal1,Smpdl3a,Sting1
all_null_vs_WT	cpmfilter_ge10_in2	as_is	prerank_gsea:deseq2_logFC	GOBP_DOUBLE_STRAND_BREAK_REPAIR_VIA_NONHOMOLOGOUS_END_JOINING	down	74	0.611496797287434	NES	0.9865	prerank_gsea_two_sided_absES	False	0.50675	ES=0.1998;nperm=2000;leadingEdge_n=5;leading=Plk1,Aunip,Lig1,Polq,Polm
all_null_vs_WT	cpmfilter_ge10_in2	as_is	prerank_gsea:deseq2_logFC	GOBP_POSITIVE_REGULATION_OF_TYPE_I_INTERFERON_PRODUCTION	up	79	0.6686043655947731	NES	0.966	prerank_gsea_two_sided_absES	True	0.483	ES=0.2171;nperm=2000;leadingEdge_n=6;leading=Ptpn22,Cgas,Trim65,Ticam1,Kpna2,Usp22
all_null_vs_WT	cpmfilter_ge10_in2	as_is	prerank_gsea:deseq2_logFC	HALLMARK_DNA_REPAIR	down	142	-0.7282721121324635	NES	0.966	prerank_gsea_two_sided_absES	True	0.483	ES=-0.2172;nperm=2000;leadingEdge_n=5;leading=Ak1,Pde4b,Rev3l,Bcam,Nme4
all_null_vs_WT	cpmfilter_ge10_in2	as_is	prerank_gsea:deseq2_logFC	HALLMARK_INTERFERON_ALPHA_RESPONSE	up	80	-1.452148198801403	NES	0.0315	prerank_gsea_two_sided_absES	False	0.98425	ES=-0.4746;nperm=2000;leadingEdge_n=10;leading=Samd9l,Txnip,Casp1,Ncoa7,Ddx60,Gbp3,Rtp4,Psmb8
all_null_vs_WT	cpmfilter_ge10_in2	as_is	prerank_gsea:deseq2_logFC	HALLMARK_INTERFERON_GAMMA_RESPONSE	up	140	-1.2463738125118853	NES	0.0955	prerank_gsea_two_sided_absES	False	0.95225	ES=-0.3738;nperm=2000;leadingEdge_n=25;leading=Casp7,Isoc1,Irf9,Herc6,Nfkbia,Il18bp,Sspn,Nfkb1
all_null_vs_WT	cpmfilter_ge10_in2	as_is	prerank_gsea:deseq2_logFC	IFN_ISG_COMPACT	up	26	-1.6115367667746983	NES	0.021	prerank_gsea_two_sided_absES	False	0.9895	ES=-0.6452;nperm=2000;leadingEdge_n=6;leading=Irf9,Herc6,Samd9l,Oas3,Mx2,Trim30a
