set_name	thesis_expect	mean_limma_logFC	best_thesis_method	best_thesis_effect	best_thesis_p	best_thesis_primary_q	strongest_twosided_method	strongest_twosided_effect	strongest_twosided_p	strongest_matches_thesis
NHEJ_CORE	down	-0.0697446248241906	fry_voom	-1.0	0.440954317830577	0.999930595326927	roast_voom_mean	0.33663263475198	0.460646064606461	True
NHEJ_PLUS_POL	down	0.0847862289622315					prerank_gsea:limma_t	1.2593020077016472	0.2265	False
REACTOME_NONHOMOLOGOUS_END_JOINING_NHEJ	down	0.721201850300427					prerank_gsea:limma_t	1.6728304913506304	0.0105	False
GOBP_DOUBLE_STRAND_BREAK_REPAIR_VIA_NONHOMOLOGOUS_END_JOINING	down	-0.0451121880311581	zmean_welch	-0.0892372508363524	0.265704447233067	0.999930595326927	roast_voom_mean	0.559204867901007	0.275927592759276	True
HALLMARK_DNA_REPAIR	down	-0.0155310996212488	prerank_gsea:signal_to_noise	-0.8956416987055916	0.30075	0.999930595326927	prerank_gsea:deseq2_wald	1.0562281785078165	0.3145	False
CGAS_STING_CORE	up	-0.228580722478594	prerank_gsea:signal_to_noise	0.7418139844787959	0.389	0.999930595326927	ssgsea	-0.080921517947805	0.236343376264703	False
GOBP_CGAS_STING_SIGNALING_PATHWAY	up	-0.0528260321251407	gsva	0.122637788608413	0.0692139599205648	0.999930595326927	fry_voom	-1.0	0.0539618362305024	False
REACTOME_STING_MEDIATED_INDUCTION_OF_HOST_IMMUNE_RESPONSES	up	-0.550195281531263					fry_voom	-1.0	0.0541013884783792	False
HALLMARK_INTERFERON_ALPHA_RESPONSE	up	-0.332458085168905					prerank_gsea:limma_t	-1.3483306985188526	0.044	False
HALLMARK_INTERFERON_GAMMA_RESPONSE	up	-0.211089799533522					prerank_gsea:limma_t	-1.5983326500948896	0.001	False
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	up	-0.0610843506301635	gsva	0.149810464537626	0.08830493795682	0.999930595326927	gsva	0.149810464537626	0.17660987591364	True
IFN_ISG_COMPACT	up	-0.673827666938137	ssgsea	0.003780617045773	0.480421978416092	0.999930595326927	camera_voom:mild	-1.0	0.298531844723351	False
APM_MHC1_CORE	up	-0.386170020106612					prerank_gsea:deseq2_wald	-1.6061225830672534	0.028	False
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I	up	-0.0225926263696046	gsva	0.048362877753842	0.437930832977996	0.999930595326927	roast_voom_mean	-0.217555615883663	0.605960596059606	False
