leiden	score_Epithelial	score_T_NK	score_B_Plasma	score_Myeloid	score_Mast	score_Endothelial	score_Fibroblast	lineage	n_cells	W1	W2	W3	mean_TACSTD2	mean_EPCAM	mean_PTPRC	mean_KRT19	mean_CD3D	mean_LYZ
0	-0.1631150942621153	0.6922071872176694	-0.1333184179743257	-0.2705948162977742	-0.04458045714660241	-0.015035965733955959	-0.009036734139594787	T_NK	1396	735	416	245	0.034185793	0.012181698	2.5160975	0.029734055	1.9477224	0.29580948
1	0.0215691077131969	0.3008898304089411	0.0841454967962488	-0.06266286721817847	-0.03558793860783545	-0.033047234806229044	-0.011353505743852294	T_NK	598	301	199	98	0.031337965	0.013429425	3.0319726	0.07732036	1.1255503	0.44138926
2	-0.17872165529651246	0.9597431407442959	-0.1926178953929042	-0.28556814764264776	-0.04865612958567596	-0.027073669863006588	-0.023216536691167383	T_NK	1057	271	672	114	0.017643135	0.011582798	2.5048501	0.031322427	2.536214	0.27432337
3	-0.12116484297491259	0.42414885909058725	-0.2597299041036982	-0.18247142928166055	-0.043919781796595184	-0.04236486430661217	-0.021046538275885956	T_NK	955	120	215	620	0.044782743	0.027140971	2.156571	0.052421402	1.7537676	0.5003344
4	-0.19200745066167724	0.39301019741913046	-0.1449714179837904	-0.31410740280221117	-0.04461706267475403	-0.04700518333821414	-0.019659604260828738	T_NK	1054	665	231	158	0.02586449	0.010746019	2.1341078	0.021075558	1.6284641	0.23004496
5	-0.19315570263624204	-0.39525841056096434	-0.24142303823429492	-0.32870431149060364	3.3244594971171186	-0.05222491297370944	-0.03652003453106419	Mast	231	121	76	34	0.022690313	0.008579808	0.69691044	0.4344138	0.11890885	0.13391137
6	-0.17449817560100916	-0.3491623608718634	-0.16176913657836314	-0.22975151297978608	-0.11980523856834342	-0.08474267283359017	2.2623677695160493	Fibroblast	156	81	23	52	0.03747971	0.022632807	0.17322426	0.03267471	0.10376791	0.38912258
7	-0.22093245389522273	-0.3706071668565702	0.9224819675301261	-0.3316140997383772	-0.06202155562470956	-0.052194244329785484	-0.04921202694932962	B_Plasma	464	370	88	6	0.0012695458	0.016391883	1.4365822	0.0274679	0.12899229	0.20674723
8	-0.1913273784276316	0.5560986976855788	-0.1481790505163249	-0.2665748061126034	-0.04898863149025748	-0.04893565787148366	-0.012457749982995371	T_NK	868	366	347	155	0.01910767	0.008678349	2.316782	0.031204408	2.1380103	0.30289832
9	-0.208101313627855	0.38103690065088724	-0.16082105451989787	-0.3245403131831756	-0.04733063283583598	-0.04808023252308508	-0.01944430437825975	T_NK	427	267	113	47	0.023678295	0.011071003	2.2860506	0.023390252	1.7625515	0.221896
10	-0.3490876113798168	-0.512393685048196	-0.39573338417068815	1.4773940954458213	-0.10182406988009991	0.02475861403603464	-0.06326301870538317	Myeloid	741	63	460	218	0.02524087	0.026400844	1.3332485	0.02372235	0.052554853	3.3961618
11	-0.2722385387053655	-0.4092857531644668	-0.34482291088003636	0.8279640792652173	-0.07258858259986428	-4.1947685696585277e-05	-0.04877153769027496	Myeloid	391	47	104	240	0.049639266	0.03127123	1.6446825	0.039634954	0.07885576	3.2248356
12	-0.16060074569028482	0.7281216247541061	-0.23376233424390291	-0.03985699664116849	-0.06272079975377394	-0.018252296441967047	-0.017688729013954293	T_NK	309	93	62	154	0.046008766	0.015308914	2.1391697	0.030034196	0.1949099	0.40639257
13	-0.17725981652023742	-0.38471964994294794	-0.21029290592212835	-0.24792123014790177	-0.1265832633104454	1.6491618691754786	-0.05960018078317178	Endothelial	147	54	48	45	0.18746622	0.026785223	0.14408621	0.077267855	0.112314954	0.26615754
14	-0.09256864707521623	-0.23321924830913046	2.6994779779546967	-0.23609731713114265	-0.03524339905748629	0.036084834730176076	-0.0378520574845952	B_Plasma	146	123	21	2	0.028854154	0.017682968	0.4199397	0.017332558	0.19257064	0.23135434
15	1.7052001703909054	-0.45215009273486834	-0.301628982962861	-0.2790266347185158	-0.16206462789971854	-0.1236256468825485	-0.06621106155312954	Epithelial	387	70	155	162	1.4931792	1.3608071	0.1694732	1.5433837	0.090629175	0.46085426
16	1.108568312726465	-0.21456882824332668	-0.18043486293283553	0.10671154214833513	-0.04768104367591197	-0.02643788421222197	-0.02694990352104562	Epithelial	153	14	31	108	0.62334937	0.57408476	0.2594123	0.60261905	0.20982535	0.8193779
17	1.0056495752437964	-0.3785726969914175	-0.26534749726853984	-0.1514431681975867	-0.0965703288588709	-0.05784638764752636	-0.037117559824223274	Epithelial	103	16	25	62	1.9136546	1.079681	0.14453658	2.8655977	0.07642037	0.7019096
18	0.01822916264170656	-0.23991913597777853	-0.1389952091081807	0.6117109709305252	-0.04425887893657718	-0.005874456406674452	-0.011548672785016673	Myeloid	360	78	129	153	0.279417	0.059196223	0.903343	0.0430028	0.1318142	2.079578
19	0.01322730174764483	-0.1790782663181228	-0.08150413709965515	0.11376045063502821	-0.026807181809918354	0.032715576457775244	-0.009595394627859364	Myeloid	59	6	46	7	0.030495187	0.06493619	1.6129862	0.0	0.18734977	0.8791067
20	-0.1723458858610699	0.7647039616275302	-0.20480467453514442	-0.2587066451043811	-0.05324794627699181	-0.02757304439045462	-0.02455294574892191	T_NK	277	118	66	93	0.023924971	0.007086473	2.2288363	0.03060855	1.0509554	0.30491376
21	0.5160610322904018	-0.5237541181224497	-0.43146279868479825	-0.33050543290658274	-0.19929129402075924	-0.1810295142431837	-0.14806396478003508	Epithelial	229	22	23	184	1.6198405	1.4548286	0.10016741	2.0084841	0.05122857	0.43105248
22	-0.34579303853489735	-0.5427026631619599	-0.4472723773281348	1.8441010692838231	-0.10982901735733899	0.09103325600307138	-0.05260823788155836	Myeloid	756	46	74	636	0.044238232	0.029553318	1.5763273	0.028601035	0.06779612	3.6468663
23	-0.24445554525838306	0.7678085258208357	-0.2704237423581477	-0.34145517664661174	-0.06978309543212739	-0.041608350674917055	-0.03390421566803281	T_NK	82	8	61	13	0.02161619	0.0	2.073136	0.03704507	2.1821046	0.20159365
24	1.2671115323812239	-0.5318862847998354	-0.4178580733499135	-0.2773632739804069	-0.192490629397368	-0.15173578467732074	-0.09055730095089047	Epithelial	211	2	2	207	2.0713995	1.7725564	0.13383749	1.6600398	0.075599276	0.50989866
25	-0.34401466401285574	-0.5162275911198633	-0.4229437699942745	1.513608281514062	-0.11285181035363193	0.024422674753980054	-0.07720246791470427	Myeloid	37	2	16	19	0.02608756	0.048513535	1.2163786	0.024742749	0.037753105	3.231692
26	-0.23369453395315432	-0.3223066270057066	0.5276291414504013	-0.2508075841856592	-0.0780054248869419	-0.05255421198076672	-0.060363105127105	B_Plasma	18	3	13	2	0.0	0.0	0.7784245	0.0	0.056145303	0.06922131
