compartment	contrast	score	n_high	n_low	q1	q3	median_score_high	median_score_low	mean_score_high	mean_score_low	delta_mean	U	p	pct_pos_high	pct_pos_low	odds_ratio	n_cells	rho	method
MPE_carcinoma_like	TACSTD2_Q4_vs_Q1	TJ_core	65.0	65.0	0.7611800541475333	2.4187167341444096	0.4810783519100715	0.2958812063075873	0.44168021065207275	0.2792738419833864	0.16240636866868635	3259.0	9.493714441512572e-08						
MPE_carcinoma_like	TACSTD2_Q4_vs_Q1	TJ_core_no_CLDN4	65.0	65.0	0.7611800541475333	2.4187167341444096	0.4230107307304423	0.2338575666316481	0.3877047638187152	0.22796632013031304	0.15973844368840218	3286.0	4.6883175487772006e-08						
MPE_carcinoma_like	TACSTD2_Q4_vs_Q1_gene_detection	AMOT	65.0	65.0									0.11297674675321148	33.84615384615385	20.0	2.046511627906977			
MPE_carcinoma_like	TACSTD2_Q4_vs_Q1_gene_detection	AMOTL1	65.0	65.0									0.01790719457457992	30.76923076923077	12.307692307692308	3.1666666666666665			
MPE_carcinoma_like	TACSTD2_Q4_vs_Q1_gene_detection	CGN	65.0	65.0									0.004092294883995863	53.84615384615385	27.692307692307693	3.0462962962962963			
MPE_carcinoma_like	TACSTD2_Q4_vs_Q1_gene_detection	CGNL1	65.0	65.0									0.00019720200667887187	35.38461538461539	7.6923076923076925	6.571428571428571			
MPE_carcinoma_like	TACSTD2_Q4_vs_Q1_gene_detection	CLDN1	65.0	65.0									0.007528949827614201	13.846153846153847	35.38461538461539	0.29347826086956524			
MPE_carcinoma_like	TACSTD2_Q4_vs_Q1_gene_detection	CLDN3	65.0	65.0									0.0210641522643692	86.15384615384616	67.6923076923077	2.9696969696969697			
MPE_carcinoma_like	TACSTD2_Q4_vs_Q1_gene_detection	CLDN4	65.0	65.0									0.020117043810399422	90.76923076923077	73.84615384615385	3.482638888888889			
MPE_carcinoma_like	TACSTD2_Q4_vs_Q1_gene_detection	CLDN7	65.0	65.0									0.0027248479608075037	92.3076923076923	70.76923076923077	4.956521739130435			
MPE_carcinoma_like	TACSTD2_Q4_vs_Q1_gene_detection	CLDN8	65.0	65.0									0.4401025453213697	3.076923076923077	7.6923076923076925	0.38095238095238093			
MPE_carcinoma_like	TACSTD2_Q4_vs_Q1_gene_detection	CRB3	65.0	65.0									0.06466779498156566	73.84615384615385	56.92307692307692	2.136724960254372			
MPE_carcinoma_like	TACSTD2_Q4_vs_Q1_gene_detection	F11R	65.0	65.0									0.06981836702623388	70.76923076923077	53.84615384615385	2.075187969924812			
MPE_carcinoma_like	TACSTD2_Q4_vs_Q1_gene_detection	INADL	65.0	65.0									0.0012964358715551857	56.92307692307692	27.692307692307693	3.4503968253968256			
MPE_carcinoma_like	TACSTD2_Q4_vs_Q1_gene_detection	JAM2	65.0	65.0									1.0	0.0	0.0				
MPE_carcinoma_like	TACSTD2_Q4_vs_Q1_gene_detection	JAM3	65.0	65.0									1.0	0.0	0.0				
MPE_carcinoma_like	TACSTD2_Q4_vs_Q1_gene_detection	MAGI1	65.0	65.0									1.8692799271264542e-07	53.84615384615385	10.76923076923077	9.666666666666666			
MPE_carcinoma_like	TACSTD2_Q4_vs_Q1_gene_detection	MAGI3	65.0	65.0									2.819023834816441e-07	55.38461538461539	12.307692307692308	8.844827586206897			
