compartment	gene	n_cells	pct_pos	mean_log1p	median_log1p
MPE_carcinoma_like	TACSTD2	259	83.78378378378379	1.6479366796071722	1.8626993471908553
MPE_carcinoma_like	CLDN4	259	83.3976833976834	1.5593609709772416	1.73647021481081
MPE_mesothelial_like	TACSTD2	76	6.578947368421052	0.022085163101915366	0.0
MPE_mesothelial_like	CLDN4	76	2.631578947368421	0.007695718635328153	0.0
MPE_all_epithelial	TACSTD2	396	63.13131313131313	1.2180830548181796	1.164855274388612
MPE_all_epithelial	CLDN4	396	59.84848484848485	1.117034018481562	1.3913001894661252
primary_tS	TACSTD2	6352	88.23992443324937	1.6690620953226294	1.8037695021486826
primary_tS	CLDN4	6352	87.98803526448363	1.617796741035265	1.7292884692915491
author_malignant_all_sites	TACSTD2	24784	72.09086507424145	1.0590481974308241	1.0691761327570046
author_malignant_all_sites	CLDN4	24784	85.24854744996773	1.6769938042338486	1.819460732827648
MPE_immune_T	TACSTD2	11974	1.4113913479204943	0.019534616524048344	0.0
MPE_immune_T	CLDN4	11974	1.0188742274929012	0.013588319426628337	0.0
MPE_immune_NK	TACSTD2	1297	3.084040092521203	0.04671718080034835	0.0
MPE_immune_NK	CLDN4	1297	1.156515034695451	0.016783580091361272	0.0
MPE_immune_B	TACSTD2	3285	1.308980213089802	0.015017944780621262	0.0
MPE_immune_B	CLDN4	3285	0.9436834094368342	0.011421344398908727	0.0
MPE_immune_myeloid	TACSTD2	3063	5.648057460006529	0.05312383578220981	0.0
MPE_immune_myeloid	CLDN4	3063	1.9262161279791055	0.01680957048279904	0.0
primary_tLung_immune_T	TACSTD2	18587	3.201162102544789	0.05126994135947642	0.0
primary_tLung_immune_T	CLDN4	18587	3.0236186582019693	0.048785330328377105	0.0
primary_tLung_immune_NK	TACSTD2	1004	3.187250996015936	0.05450111403389593	0.0
primary_tLung_immune_NK	CLDN4	1004	2.9880478087649402	0.05496860170694126	0.0
primary_tLung_immune_B	TACSTD2	5312	3.5956325301204823	0.033534224544786	0.0
primary_tLung_immune_B	CLDN4	5312	3.9721385542168677	0.03649000729127339	0.0
primary_tLung_immune_myeloid	TACSTD2	8794	10.09779395042074	0.10227183767206804	0.0
primary_tLung_immune_myeloid	CLDN4	8794	7.254946554468956	0.0623441638686259	0.0
all_tumorish_immune_T	TACSTD2	43285	2.7515305533094607	0.04301847291390837	0.0
all_tumorish_immune_T	CLDN4	43285	2.878595356359016	0.046345821225368546	0.0
all_tumorish_immune_NK	TACSTD2	4727	3.215570129045907	0.05290919051662218	0.0
all_tumorish_immune_NK	CLDN4	4727	3.0040194626613075	0.0499510956083604	0.0
all_tumorish_immune_B	TACSTD2	16439	2.6035646937161627	0.027554013563624417	0.0
all_tumorish_immune_B	CLDN4	16439	3.0415475393880405	0.03178897202864051	0.0
all_tumorish_immune_myeloid	TACSTD2	24285	9.705579575869878	0.10182220161787066	0.0
all_tumorish_immune_myeloid	CLDN4	24285	8.013176858142886	0.0776514265602459	0.0
