n_a	n_b	median_a	median_b	mean_a	mean_b	U	p	gene	compartment_a	compartment_b	pct_pos_a	pct_pos_b
259	11974	1.8626993471908553	0.0	1.6479366796071722	0.019534616524048344	2836103.5	0.0	TACSTD2	MPE_carcinoma_like	MPE_immune_T	83.78378378378379	1.4113913479204943
259	1297	1.8626993471908553	0.0	1.6479366796071722	0.04671718080034835	305119.0	1.8529771987441636e-226	TACSTD2	MPE_carcinoma_like	MPE_immune_NK	83.78378378378379	3.084040092521203
259	3285	1.8626993471908553	0.0	1.6479366796071722	0.015017944780621262	778951.0	0.0	TACSTD2	MPE_carcinoma_like	MPE_immune_B	83.78378378378379	1.308980213089802
259	3063	1.8626993471908553	0.0	1.6479366796071722	0.05312383578220981	719635.0	0.0	TACSTD2	MPE_carcinoma_like	MPE_immune_myeloid	83.78378378378379	5.648057460006529
6352	18587	1.8037695021486826	0.0	1.6690620953226294	0.05126994135947642	109753576.5	0.0	TACSTD2	primary_tS	primary_immune_T	88.23992443324937	3.201162102544789
6352	1004	1.8037695021486826	0.0	1.6690620953226294	0.05450111403389593	5920448.5	0.0	TACSTD2	primary_tS	primary_immune_NK	88.23992443324937	3.187250996015936
24784	79676	1.0691761327570046	0.0	1.0590481974308241	0.02516281292254291	1681561721.0	0.0	TACSTD2	author_malignant	all_immune_T	72.09086507424145	1.6127817661529191
24784	11551	1.0691761327570046	0.0	1.0590481974308241	0.03083436848080935	243203597.0	0.0	TACSTD2	author_malignant	all_immune_NK	72.09086507424145	1.8266816725824604
259	11974	1.73647021481081	0.0	1.5593609709772416	0.013588319426628337	2836715.0	0.0	CLDN4	MPE_carcinoma_like	MPE_immune_T	83.3976833976834	1.0188742274929012
259	1297	1.73647021481081	0.0	1.5593609709772416	0.016783580091361272	306990.5	4.249873594215119e-254	CLDN4	MPE_carcinoma_like	MPE_immune_NK	83.3976833976834	1.156515034695451
259	3285	1.73647021481081	0.0	1.5593609709772416	0.011421344398908727	778429.0	0.0	CLDN4	MPE_carcinoma_like	MPE_immune_B	83.3976833976834	0.9436834094368342
259	3063	1.73647021481081	0.0	1.5593609709772416	0.01680957048279904	725216.0	0.0	CLDN4	MPE_carcinoma_like	MPE_immune_myeloid	83.3976833976834	1.9262161279791055
6352	18587	1.7292884692915491	0.0	1.617796741035265	0.048785330328377105	109586410.5	0.0	CLDN4	primary_tS	primary_immune_T	87.98803526448363	3.0236186582019693
6352	1004	1.7292884692915491	0.0	1.617796741035265	0.05496860170694126	5898001.5	0.0	CLDN4	primary_tS	primary_immune_NK	87.98803526448363	2.9880478087649402
24784	79676	1.819460732827648	0.0	1.6769938042338486	0.026833026837732803	1817626725.5	0.0	CLDN4	author_malignant	all_immune_T	85.24854744996773	1.673025754304935
24784	11551	1.819460732827648	0.0	1.6769938042338486	0.026888674579612217	263443344.5	0.0	CLDN4	author_malignant	all_immune_NK	85.24854744996773	1.6015929356765646
