donor	cohort_id	matrix	compartment	CLDN4	PRKDC	LIG4	STING1	HLA-A	HLA-B	HLA-C	PTPRC	EPCAM	n_aliquots	NHEJ_mean	MHC_I
TCGA-OR-A5J1	TCGA-ACC	Toil	TCGA_solid_primary	-0.8599	3.6737	2.0535	1.7575	9.4135	7.5712	6.3973	0.24	-3.816	1	2.8636	7.7940000000000005
TCGA-OR-A5J2	TCGA-ACC	Toil	TCGA_solid_primary	0.8726	4.7165	2.5852	3.1129	8.3961	7.9284	7.442	1.3679	3.6289	1	3.65085	7.922166666666667
TCGA-OR-A5J3	TCGA-ACC	Toil	TCGA_solid_primary	3.6266	4.554	2.1862	1.816	9.8794	9.104	8.4984	-1.4699	2.3308	1	3.3701	9.1606
TCGA-OR-A5J5	TCGA-ACC	Toil	TCGA_solid_primary	-1.7322	1.6234	1.6604	-0.0425	8.5499	7.9174	6.203	-2.114	3.695	1	1.6419000000000001	7.5567666666666655
TCGA-OR-A5J6	TCGA-ACC	Toil	TCGA_solid_primary	-2.9324	4.4836	1.4911	2.4359	9.5247	9.3885	8.1162	0.3796	-0.2159	1	2.98735	9.0098
TCGA-OR-A5J7	TCGA-ACC	Toil	TCGA_solid_primary	-0.7108	4.691	0.8082	2.9544	8.823	8.4385	7.9635	-2.6349	5.4657	1	2.7496	8.408333333333333
TCGA-OR-A5J8	TCGA-ACC	Toil	TCGA_solid_primary	-0.5332	5.4761	0.9038	5.6476	9.8126	10.4093	9.3836	3.0181	-3.6259	1	3.18995	9.8685
TCGA-OR-A5J9	TCGA-ACC	Toil	TCGA_solid_primary	-1.3921	5.429	1.8643	2.4465	8.4911	7.6315	6.7861	-0.3383	1.5563	1	3.64665	7.636233333333333
TCGA-OR-A5JA	TCGA-ACC	Toil	TCGA_solid_primary	4.4713	3.9421	2.4412	2.1345	10.6044	11.1096	10.1615	-0.5973	0.5568	1	3.19165	10.625166666666667
TCGA-OR-A5JB	TCGA-ACC	Toil	TCGA_solid_primary	4.3541	4.9165	-0.0725	4.6674	10.464	10.6331	9.4541	2.5972	2.1638	1	2.422	10.183733333333334
TCGA-OR-A5JC	TCGA-ACC	Toil	TCGA_solid_primary	-1.6394	3.9506	0.8647	2.3394	10.6342	10.033	9.3568	-0.8339	2.6302	1	2.4076500000000003	10.008000000000001
TCGA-OR-A5JD	TCGA-ACC	Toil	TCGA_solid_primary	-1.8314	4.1094	1.2576	2.3981	7.6387	7.5378	6.4552	1.7053	0.8408	1	2.6835	7.210566666666668
TCGA-OR-A5JE	TCGA-ACC	Toil	TCGA_solid_primary	-2.7274	4.0216	-0.1187	2.7401	9.2274	9.015	8.9775	-1.2481	4.1203	1	1.9514500000000001	9.0733
TCGA-OR-A5JF	TCGA-ACC	Toil	TCGA_solid_primary	0.03	4.0584	2.0707	1.9264	9.3108	8.2425	7.6003	-2.0529	4.6288	1	3.0645499999999997	8.384533333333334
TCGA-OR-A5JG	TCGA-ACC	Toil	TCGA_solid_primary	0.2277	4.7898	1.7702	2.1541	6.0299	7.8959	6.1908	-0.8339	-0.5125	1	3.28	6.7055333333333325
TCGA-OR-A5JI	TCGA-ACC	Toil	TCGA_solid_primary	-2.7274	2.6208	0.0854	2.3871	9.5177	8.0322	8.2758	0.537	2.4701	1	1.3531	8.608566666666666
TCGA-OR-A5JJ	TCGA-ACC	Toil	TCGA_solid_primary	2.043	5.1859	1.5216	2.4518	8.6232	9.48	9.4888	0.03	2.5852	1	3.3537500000000002	9.197333333333333
TCGA-OR-A5JK	TCGA-ACC	Toil	TCGA_solid_primary	-2.5479	3.1195	1.7489	2.3732	10.8297	10.4135	8.8478	2.2573	3.0199	1	2.4341999999999997	10.030333333333333
