set	endpoint	n_cohorts	median_rho	q25_rho	q75_rho	min_rho	max_rho	n_positive	n_negative	n_q_pos	n_q_neg
TCGA_solid_primary	PRKDC	32	0.16525515106132693	0.02817938246433169	0.2555044576466136	-0.20845216489499613	0.44440143964456963	25	7	16	1
TCGA_solid_primary	LIG4	32	0.11874131425353729	-0.01373550084276581	0.22445563370957622	-0.2113053812138129	0.41942428874868687	23	9	14	1
TCGA_solid_primary	STING1	32	0.1784617017014909	0.03195417624722709	0.27809742013118555	-0.13974373114747318	0.48138107427506927	26	6	15	0
TCGA_solid_primary	HLA-A	32	0.10537759656313046	0.0003224866923252044	0.17048261461694802	-0.3590733590733591	0.4505066585011543	24	8	11	2
TCGA_solid_primary	HLA-B	32	0.0790533935043003	-0.05583492883982934	0.2020163334827866	-0.33012538390807405	0.4593659281792721	21	11	10	3
TCGA_solid_primary	HLA-C	32	0.13051974841353242	-0.018046855376624225	0.2031688122176704	-0.3090499798930365	0.527352864920923	23	9	12	1
GTEx_normal_n_ge_30	PRKDC	46	0.07740598200162405	-0.06709217318027973	0.351796110416209	-0.5152351155156204	0.745498645019816	28	18	18	6
GTEx_normal_n_ge_30	LIG4	46	0.08671277834290073	-0.09168122522346525	0.32350248899970935	-0.3574964555138527	0.7607765358617982	29	17	17	7
GTEx_normal_n_ge_30	STING1	46	0.17021981477405815	-0.07755507724500285	0.31458734430198637	-0.5902647467976355	0.6256745758059181	31	15	23	8
GTEx_normal_n_ge_30	HLA-A	46	0.18673522505514983	0.0576047286289975	0.31935155656211967	-0.40402777031833736	0.7726533688113543	39	7	23	3
GTEx_normal_n_ge_30	HLA-B	46	0.18353179713561757	0.09649734520178904	0.33896438955967817	-0.4615129055796023	0.6871654685131146	38	8	23	3
GTEx_normal_n_ge_30	HLA-C	46	0.17942314377260046	0.06937725413990678	0.258409797610784	-0.40775067300991347	0.6540119865731491	41	5	20	3
