Sample	B	Endothelial	Epithelial	Fibroblast	Mast	Myeloid	NK	Neutrophil	Plasma	T	Unassigned	All
BD_immune01	38	11	588	24	47	1010	221	2013	327	453	9	4741
BD_immune02	1898	6	107	7	7	125	111	234	53	2788	9	5345
BD_immune03	850	10	804	27	75	611	403	122	1639	4657	61	9259
BD_immune04	438	11	145	33	64	1340	451	581	162	5165	8	8398
BD_immune05	202	4	1484	21	9	229	81	75	273	732	3	3113
BD_immune06	87	15	64	4	86	881	360	558	29	2564	1	4649
BD_immune07	69	116	5121	277	153	1789	166	23	469	921	27	9131
BD_immune08	182	33	190	471	199	630	153	184	738	3021	24	5825
BD_immune09	135	3	271	20	14	908	243	55	156	3040	4	4849
BD_immune10	68	7	208	75	29	1261	614	443	403	3466	69	6643
BD_immune11	249	18	439	2	34	979	313	322	24	1377	2	3759
BD_immune12	1221	2	482	3	73	785	111	2021	258	1275	2	6233
BD_immune13	117	5	35	12	13	3522	82	1625	70	1265	7	6753
BD_immune14	1684	36	186	17	59	400	246	184	105	2617	12	5546
BD_immune15	366	22	545	11	54	3897	468	1613	38	1057	15	8086
All	7604	299	10669	1004	916	18367	4023	10053	4744	34398	253	92330
