n_a	n_b	median_a	median_b	U	p	scope	metric	group_a	group_b
8	4	1.7213247915153917	1.3327554347837836	24.0	0.21414141414141416	post_malignant_MPR_vs_NMPR	mal_mean_log1p_cp10k	NMPR	MPR
8	4	87.97955822515017	86.10571946169773	14.0	0.8080808080808081	post_malignant_MPR_vs_NMPR	mal_pct_pos	NMPR	MPR
8	4	853.3292706749079	422.52233774903016	25.0	0.15353535353535355	post_malignant_MPR_vs_NMPR	mal_pb_cpm	NMPR	MPR
10	4	1.7213247915153917	1.3327554347837836	31.0	0.14185814185814188	all_malignant_MPR_vs_NMPR	mal_mean_log1p_cp10k	NMPR	MPR
10	4	87.97955822515017	86.10571946169773	18.0	0.8391608391608392	all_malignant_MPR_vs_NMPR	mal_pct_pos	NMPR	MPR
10	4	830.363815942105	422.52233774903016	31.0	0.14185814185814188	all_malignant_MPR_vs_NMPR	mal_pb_cpm	NMPR	MPR
8	4	1.6955302888753438	1.3291011543487352	26.0	0.1090909090909091	post_epithelial_MPR_vs_NMPR	epi_mean_log1p_cp10k	NMPR	MPR
8	4	82.61309712116419	80.65356182795699	15.0	0.9333333333333333	post_epithelial_MPR_vs_NMPR	epi_pct_pos	NMPR	MPR
8	4	830.5556671159934	429.45302097278693	26.0	0.1090909090909091	post_epithelial_MPR_vs_NMPR	epi_pb_cpm	NMPR	MPR
10	4	1.6966632551160874	1.3291011543487352	34.0	0.05394605394605395	all_epithelial_MPR_vs_NMPR	epi_mean_log1p_cp10k	NMPR	MPR
10	4	83.49907788338771	80.65356182795699	20.0	1.0	all_epithelial_MPR_vs_NMPR	epi_pct_pos	NMPR	MPR
10	4	802.3067796516739	429.45302097278693	33.0	0.07592407592407593	all_epithelial_MPR_vs_NMPR	epi_pb_cpm	NMPR	MPR
