cohort	gene	vs	n	spearman_rho	spearman_p
Yale tumor compartment	CLDN4	tumor_AOI_Teff_score	37	-0.36083451872925554	0.02823190255606314
Yale tumor compartment	CLDN4	tumor_AOI_immune_broad_score	37	-0.3122332859174964	0.05991809248834195
Yale tumor compartment	CLDN4	tumor_AOI_CD8A	37	-0.3859649122807017	0.018304748849249857
Yale tumor compartment	TACSTD2	tumor_AOI_Teff_score	37	-0.09459459459459459	0.5775966550251852
Yale tumor compartment	TACSTD2	tumor_AOI_immune_broad_score	37	-0.30583214793741104	0.06564503512591036
Yale tumor compartment	TACSTD2	tumor_AOI_CD8A	37	-0.15386439070649593	0.3632297200270734
Greek tumor compartment	CLDN4	tumor_AOI_Teff_score	61	-0.05304071919619248	0.6847594425468119
Greek tumor compartment	CLDN4	tumor_AOI_immune_broad_score	61	0.03384452670544685	0.7956816420507488
Greek tumor compartment	CLDN4	tumor_AOI_PTPRC	61	0.06679005817028026	0.6090521225493583
Greek tumor compartment	CLDN4	tumor_AOI_CD8A	61	-0.035483870967741936	0.786014195106966
Greek tumor compartment	CLDN4	tumor_AOI_NKG7	61	-0.05420412480169222	0.6782188797078278
Greek tumor compartment	CLDN4	tumor_AOI_GZMB	61	0.03654151242728714	0.7797940504220142
Greek tumor compartment	TACSTD2	tumor_AOI_Teff_score	61	-0.30941300898995233	0.015246585553446905
Greek tumor compartment	TACSTD2	tumor_AOI_immune_broad_score	61	-0.15705975674246428	0.22673284020686052
Greek tumor compartment	TACSTD2	tumor_AOI_PTPRC	61	-0.11353781068217873	0.383625577344546
Greek tumor compartment	TACSTD2	tumor_AOI_CD8A	61	-0.2197250132205182	0.08885538422959752
Greek tumor compartment	TACSTD2	tumor_AOI_NKG7	61	-0.13971443680592277	0.28286399390013245
Greek tumor compartment	TACSTD2	tumor_AOI_GZMB	61	-0.21549444738233736	0.09533437221464074
