section	patient	n_spots_qc	median_counts	n_tumor_spots	n_immune_rich	n_index_spots	n_tumor_and_immune_rich	epi_markers	immune_markers	teff_markers
P10_T1	P10	2199	4438.0	1100	550	927	173	EPCAM|KRT7|KRT8|KRT18|KRT19|KRT17|CDH1|ELF3|SFN	PTPRC|CD3E|CD3D|CD2|TRAC|IL7R|CD8A|CCL5|NKG7|GZMB|GZMA|GZMK|PRF1|CD79A|MS4A1|LYZ|C1QA|C1QB|CD68|AIF1|FCER1G|CD14|CD52	CD8A|GZMA|GZMB|GZMK|PRF1|NKG7|IFNG|CXCL9|CXCL10|CXCL13|CD3E|CD3D|CD2|TRAC
P10_T2	P10	1981	4963.0	991	496	815	176	EPCAM|KRT7|KRT8|KRT18|KRT19|KRT17|CDH1|ELF3|SFN	PTPRC|CD3E|CD3D|CD2|TRAC|IL7R|CD8A|CCL5|NKG7|GZMB|GZMA|GZMK|PRF1|CD79A|MS4A1|LYZ|C1QA|C1QB|CD68|AIF1|FCER1G|CD14|CD52	CD8A|GZMA|GZMB|GZMK|PRF1|NKG7|IFNG|CXCL9|CXCL10|CXCL13|CD3E|CD3D|CD2|TRAC
P10_T3	P10	2603	4198.0	1302	651	1079	223	EPCAM|KRT7|KRT8|KRT18|KRT19|KRT17|CDH1|ELF3|SFN	PTPRC|CD3E|CD3D|CD2|TRAC|IL7R|CD8A|CCL5|NKG7|GZMB|GZMA|GZMK|PRF1|CD79A|MS4A1|LYZ|C1QA|C1QB|CD68|AIF1|FCER1G|CD14|CD52	CD8A|GZMA|GZMB|GZMK|PRF1|NKG7|IFNG|CXCL9|CXCL10|CXCL13|CD3E|CD3D|CD2|TRAC
P10_T4	P10	2468	2400.0	1234	617	984	250	EPCAM|KRT7|KRT8|KRT18|KRT19|KRT17|CDH1|ELF3|SFN	PTPRC|CD3E|CD3D|CD2|TRAC|IL7R|CD8A|CCL5|NKG7|GZMB|GZMA|GZMK|PRF1|CD79A|MS4A1|LYZ|C1QA|C1QB|CD68|AIF1|FCER1G|CD14|CD52	CD8A|GZMA|GZMB|GZMK|PRF1|NKG7|IFNG|CXCL9|CXCL10|CXCL13|CD3E|CD3D|CD2|TRAC
P11_T1	P11	1099	1854.0	550	275	461	89	EPCAM|KRT7|KRT8|KRT18|KRT19|KRT17|CDH1|ELF3|SFN	PTPRC|CD3E|CD3D|CD2|TRAC|IL7R|CD8A|CCL5|NKG7|GZMB|GZMA|GZMK|PRF1|CD79A|MS4A1|LYZ|C1QA|C1QB|CD68|AIF1|FCER1G|CD14|CD52	CD8A|GZMA|GZMB|GZMK|PRF1|NKG7|IFNG|CXCL9|CXCL10|CXCL13|CD3E|CD3D|CD2|TRAC
P11_T2	P11	1160	2099.0	580	290	498	82	EPCAM|KRT7|KRT8|KRT18|KRT19|KRT17|CDH1|ELF3|SFN	PTPRC|CD3E|CD3D|CD2|TRAC|IL7R|CD8A|CCL5|NKG7|GZMB|GZMA|GZMK|PRF1|CD79A|MS4A1|LYZ|C1QA|C1QB|CD68|AIF1|FCER1G|CD14|CD52	CD8A|GZMA|GZMB|GZMK|PRF1|NKG7|IFNG|CXCL9|CXCL10|CXCL13|CD3E|CD3D|CD2|TRAC
P11_T3	P11	1701	968.0	851	426	681	170	EPCAM|KRT7|KRT8|KRT18|KRT19|KRT17|CDH1|ELF3|SFN	PTPRC|CD3E|CD3D|CD2|TRAC|IL7R|CD8A|CCL5|NKG7|GZMB|GZMA|GZMK|PRF1|CD79A|MS4A1|LYZ|C1QA|C1QB|CD68|AIF1|FCER1G|CD14|CD52	CD8A|GZMA|GZMB|GZMK|PRF1|NKG7|IFNG|CXCL9|CXCL10|CXCL13|CD3E|CD3D|CD2|TRAC
P11_T4	P11	1717	915.0	859	430	664	195	EPCAM|KRT7|KRT8|KRT18|KRT19|KRT17|CDH1|ELF3|SFN	PTPRC|CD3E|CD3D|CD2|TRAC|IL7R|CD8A|CCL5|NKG7|GZMB|GZMA|GZMK|PRF1|CD79A|MS4A1|LYZ|C1QA|C1QB|CD68|AIF1|FCER1G|CD14|CD52	CD8A|GZMA|GZMB|GZMK|PRF1|NKG7|IFNG|CXCL9|CXCL10|CXCL13|CD3E|CD3D|CD2|TRAC
P15_T1	P15	2622	5985.0	1311	656	1061	250	EPCAM|KRT7|KRT8|KRT18|KRT19|KRT17|CDH1|ELF3|SFN	PTPRC|CD3E|CD3D|CD2|TRAC|IL7R|CD8A|CCL5|NKG7|GZMB|GZMA|GZMK|PRF1|CD79A|MS4A1|LYZ|C1QA|C1QB|CD68|AIF1|FCER1G|CD14|CD52	CD8A|GZMA|GZMB|GZMK|PRF1|NKG7|IFNG|CXCL9|CXCL10|CXCL13|CD3E|CD3D|CD2|TRAC
P15_T2	P15	3126	4839.0	1563	782	1267	296	EPCAM|KRT7|KRT8|KRT18|KRT19|KRT17|CDH1|ELF3|SFN	PTPRC|CD3E|CD3D|CD2|TRAC|IL7R|CD8A|CCL5|NKG7|GZMB|GZMA|GZMK|PRF1|CD79A|MS4A1|LYZ|C1QA|C1QB|CD68|AIF1|FCER1G|CD14|CD52	CD8A|GZMA|GZMB|GZMK|PRF1|NKG7|IFNG|CXCL9|CXCL10|CXCL13|CD3E|CD3D|CD2|TRAC
P16_T1	P16	2247	4383.0	1124	562	934	190	EPCAM|KRT7|KRT8|KRT18|KRT19|KRT17|CDH1|ELF3|SFN	PTPRC|CD3E|CD3D|CD2|TRAC|IL7R|CD8A|CCL5|NKG7|GZMB|GZMA|GZMK|PRF1|CD79A|MS4A1|LYZ|C1QA|C1QB|CD68|AIF1|FCER1G|CD14|CD52	CD8A|GZMA|GZMB|GZMK|PRF1|NKG7|IFNG|CXCL9|CXCL10|CXCL13|CD3E|CD3D|CD2|TRAC
P16_T2	P16	2187	4133.0	1094	547	910	184	EPCAM|KRT7|KRT8|KRT18|KRT19|KRT17|CDH1|ELF3|SFN	PTPRC|CD3E|CD3D|CD2|TRAC|IL7R|CD8A|CCL5|NKG7|GZMB|GZMA|GZMK|PRF1|CD79A|MS4A1|LYZ|C1QA|C1QB|CD68|AIF1|FCER1G|CD14|CD52	CD8A|GZMA|GZMB|GZMK|PRF1|NKG7|IFNG|CXCL9|CXCL10|CXCL13|CD3E|CD3D|CD2|TRAC
P17_T1	P17	2655	11856.0	1328	664	1222	106	EPCAM|KRT7|KRT8|KRT18|KRT19|KRT17|CDH1|ELF3|SFN	PTPRC|CD3E|CD3D|CD2|TRAC|IL7R|CD8A|CCL5|NKG7|GZMB|GZMA|GZMK|PRF1|CD79A|MS4A1|LYZ|C1QA|C1QB|CD68|AIF1|FCER1G|CD14|CD52	CD8A|GZMA|GZMB|GZMK|PRF1|NKG7|IFNG|CXCL9|CXCL10|CXCL13|CD3E|CD3D|CD2|TRAC
P17_T2	P17	2951	9336.0	1476	738	1344	132	EPCAM|KRT7|KRT8|KRT18|KRT19|KRT17|CDH1|ELF3|SFN	PTPRC|CD3E|CD3D|CD2|TRAC|IL7R|CD8A|CCL5|NKG7|GZMB|GZMA|GZMK|PRF1|CD79A|MS4A1|LYZ|C1QA|C1QB|CD68|AIF1|FCER1G|CD14|CD52	CD8A|GZMA|GZMB|GZMK|PRF1|NKG7|IFNG|CXCL9|CXCL10|CXCL13|CD3E|CD3D|CD2|TRAC
P19_T1	P19	2509	6049.0	1255	628	1075	180	EPCAM|KRT7|KRT8|KRT18|KRT19|KRT17|CDH1|ELF3|SFN	PTPRC|CD3E|CD3D|CD2|TRAC|IL7R|CD8A|CCL5|NKG7|GZMB|GZMA|GZMK|PRF1|CD79A|MS4A1|LYZ|C1QA|C1QB|CD68|AIF1|FCER1G|CD14|CD52	CD8A|GZMA|GZMB|GZMK|PRF1|NKG7|IFNG|CXCL9|CXCL10|CXCL13|CD3E|CD3D|CD2|TRAC
P19_T2	P19	2366	5065.5	1183	592	1016	167	EPCAM|KRT7|KRT8|KRT18|KRT19|KRT17|CDH1|ELF3|SFN	PTPRC|CD3E|CD3D|CD2|TRAC|IL7R|CD8A|CCL5|NKG7|GZMB|GZMA|GZMK|PRF1|CD79A|MS4A1|LYZ|C1QA|C1QB|CD68|AIF1|FCER1G|CD14|CD52	CD8A|GZMA|GZMB|GZMK|PRF1|NKG7|IFNG|CXCL9|CXCL10|CXCL13|CD3E|CD3D|CD2|TRAC
P24_T1	P24	3371	3409.0	1686	843	1442	244	EPCAM|KRT7|KRT8|KRT18|KRT19|KRT17|CDH1|ELF3|SFN	PTPRC|CD3E|CD3D|CD2|TRAC|IL7R|CD8A|CCL5|NKG7|GZMB|GZMA|GZMK|PRF1|CD79A|MS4A1|LYZ|C1QA|C1QB|CD68|AIF1|FCER1G|CD14|CD52	CD8A|GZMA|GZMB|GZMK|PRF1|NKG7|IFNG|CXCL9|CXCL10|CXCL13|CD3E|CD3D|CD2|TRAC
P24_T2	P24	3376	2700.0	1688	844	1398	290	EPCAM|KRT7|KRT8|KRT18|KRT19|KRT17|CDH1|ELF3|SFN	PTPRC|CD3E|CD3D|CD2|TRAC|IL7R|CD8A|CCL5|NKG7|GZMB|GZMA|GZMK|PRF1|CD79A|MS4A1|LYZ|C1QA|C1QB|CD68|AIF1|FCER1G|CD14|CD52	CD8A|GZMA|GZMB|GZMK|PRF1|NKG7|IFNG|CXCL9|CXCL10|CXCL13|CD3E|CD3D|CD2|TRAC
P25_T1	P25	1260	5251.5	630	315	538	92	EPCAM|KRT7|KRT8|KRT18|KRT19|KRT17|CDH1|ELF3|SFN	PTPRC|CD3E|CD3D|CD2|TRAC|IL7R|CD8A|CCL5|NKG7|GZMB|GZMA|GZMK|PRF1|CD79A|MS4A1|LYZ|C1QA|C1QB|CD68|AIF1|FCER1G|CD14|CD52	CD8A|GZMA|GZMB|GZMK|PRF1|NKG7|IFNG|CXCL9|CXCL10|CXCL13|CD3E|CD3D|CD2|TRAC
P25_T2	P25	1412	5610.5	706	353	620	86	EPCAM|KRT7|KRT8|KRT18|KRT19|KRT17|CDH1|ELF3|SFN	PTPRC|CD3E|CD3D|CD2|TRAC|IL7R|CD8A|CCL5|NKG7|GZMB|GZMA|GZMK|PRF1|CD79A|MS4A1|LYZ|C1QA|C1QB|CD68|AIF1|FCER1G|CD14|CD52	CD8A|GZMA|GZMB|GZMK|PRF1|NKG7|IFNG|CXCL9|CXCL10|CXCL13|CD3E|CD3D|CD2|TRAC
