gene	logFC	AveExpr	t	p	se	df	fdr	compartment	cohort	contrast	n_q1	n_q4	family
PDE4B	-1.2438654861696867	2.5270197314093785	-2.1911022831680556	0.0379794734527964	0.5676893752176714	25	0.2963765507073542	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	IFN
HSPA4	-0.5170145519767336	5.463790731532384	-2.1868019194291812	0.038327106969509195	0.23642495800977228	25	0.297602076245095	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	TJ
PML	-0.7295121679554766	4.469110112550151	-2.1787512994632463	0.038985623962221126	0.3348303994747808	25	0.2997343762531181	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	IFN
KRT16	-2.139276041223487	3.0270750395372916	-2.173191265138496	0.03944634981201118	0.9843938154643523	25	0.30083466316589486	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	keratin
F11R	0.5993290468469564	6.244677587115407	2.1673836312330104	0.039932820783957296	0.2765219032802246	25	0.3019002243952601	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	TJ
PRKACA	0.47877565175120174	3.980911301231627	2.155245986928012	0.04096698323257762	0.222144318864329	25	0.30461878246509505	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	TJ
IFITM3	-1.1570443618376327	8.624727456072282	-2.1486739381585407	0.04153692762532507	0.5384922957781321	25	0.3061548690912401	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	IFN
CCL7	-0.5099619372885127	0.3247317020960608	-2.1426913390071034	0.04206193309975656	0.23800065273275559	25	0.3070580109175777	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	IFN
PARP12	-0.7097567004554395	4.13223087967534	-2.12609351007315	0.043549789923665205	0.33383136587958434	25	0.31094191571011986	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	IFN
AMOTL1	1.1710414046194486	2.433846354768245	2.1146055010953484	0.04460702604435748	0.5537871740203356	25	0.31446442965356297	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	TJ
IGSF5	0.3615417539832335	0.331414686222383	2.1134112543704386	0.04471823923853475	0.17107023218296089	25	0.31454528140202254	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	TJ
IFIH1	-0.6889206086375246	3.8200695748275377	-2.1058818509735224	0.04542513653455098	0.3271411491195697	25	0.3169753538127663	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	IFN
LLGL2	0.8166244922939134	5.490651750173183	2.102645305406133	0.04573205660043789	0.38837957604845746	25	0.31752727209311454	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	TJ
NCOA3	-0.4433270731640085	4.977328393704619	-2.1016928969555098	0.04582272518466188	0.21093808415406812	25	0.31758626442898147	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	IFN
CD38	-1.3881295547473553	2.0725321953860494	-2.069456204030674	0.04898783531767079	0.6707702013909255	25	0.3253700759189406	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	IFN
ARL2	-0.526676570182759	6.237262712603401	-2.061845414455167	0.049762923300276034	0.2554394070915015	25	0.3273564029585225	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	TJ
IFIT1	-1.0490557494552457	2.8854726941013062	-2.0448886780900124	0.05152913923191004	0.513013623037463	25	0.3313951849696356	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	IFN
RIPK2	-0.7765074044527331	4.420328481978982	-2.0287878717590386	0.0532574707845956	0.38274450240057417	25	0.33508682328290634	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	IFN
IL2RB	-1.0693501756573505	1.4721057016554828	-2.027191324862825	0.05343161929831501	0.5275033306141989	25	0.33571119240658015	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	IFN
PRKAB1	0.5457906000787105	4.113192098083767	2.0192132818726343	0.054309427723942705	0.2702986380777666	25	0.3374618837681517	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	TJ
HLA-C	-0.9977471711726248	9.778518201338416	-2.0168141864215796	0.054575879530773676	0.49471447488324205	25	0.3385786090079582	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	IFN|MHC-I/APM
FCGR1A	-0.6265113323067482	0.825307436481785	-1.979105262484313	0.05891840806364511	0.31656291566842015	25	0.3478776031184145	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	IFN
CLDN12	0.5492810158299001	4.296590292318589	1.9685055396035593	0.06019263130735744	0.27903452887438696	25	0.35100385663826167	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	TJ
CFH	-1.397701619045618	3.781210019078056	-1.9655113387666476	0.06055693467843978	0.7111134855740244	25	0.3513143105188052	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	IFN
FZD5	0.7545604878435077	3.483406459601123	1.9076481781796302	0.06798724241837564	0.3955448895002986	25	0.3661102213571904	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	TJ
TNFSF10	-1.1766448651741865	5.383508583174466	-1.8902894589549704	0.07036621566079736	0.6224680879428297	25	0.37032030051251275	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	IFN
PSMB10	-0.7391887282900665	4.237874396312305	-1.8711815703897878	0.07306833796038198	0.39503848262896546	25	0.37607059484260225	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	IFN|MHC-I/APM
HCLS1	-1.3730975326497006	3.437744701069926	-1.857359923085019	0.0750786204363597	0.7392738023382279	25	0.3807930442266397	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	TJ
MTHFD2	-0.9127595210488064	5.8309793200109405	-1.8483710439749792	0.07641155939369897	0.4938183402212841	25	0.3834082583331007	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	IFN
IDO1	-1.2957480818499467	2.317070380472944	-1.8418442360890344	0.07739218539721471	0.7035057886335349	25	0.38583628839286416	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	IFN
CXCL9	-1.0171010944299326	1.2273945730272995	-1.8291076969233189	0.07933713919403193	0.5560640831268516	25	0.3883540528259588	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	IFN|chemokine
CDH1	0.9902399702723987	6.310985615305604	1.8276580700002565	0.07956115686987611	0.54180811308554	25	0.3888411469555917	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	TJ
ISG15	-1.2985457450669033	7.39143282736953	-1.8077373577958578	0.08269524803645692	0.7183265530619986	25	0.39571911513255364	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	IFN
SNAI2	-1.209839254812761	1.8927253016307968	-1.801710580962734	0.08366410676460065	0.6714947825672923	25	0.397086634385787	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	TJ
IL4R	-0.9561004953124276	4.172725661163951	-1.7986394602462754	0.08416155586359805	0.5315687309459536	25	0.39816332112822406	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	IFN
EPB41L4B	0.682231996204161	3.1670680466289585	1.770137378724062	0.0889005010528001	0.385411891983165	25	0.4066143303864891	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	TJ
TAPBP	-0.42493094822723304	6.8805224768268936	-1.7694742242681378	0.08901342408147576	0.24014531684008356	25	0.40701160088791916	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	IFN|MHC-I/APM
PSMB8	-0.6679491111442752	6.916086054729834	-1.7649268514389074	0.08979106431479601	0.37845710749978706	25	0.40901034692985405	malignant	GSE123902+GSE131907+GSE205335	q4q1_combined	15.0	14.0	IFN|MHC-I/APM
