family	n_tested	n_p05	n_fdr05	n_up	n_down	median_logFC	top_gene	top_logFC	top_p	top_fdr	n_q1	n_q4	compartment	contrast
IFN	199	26	0	4	22	-0.6085949208704126	IL15RA	-2.837544235143646	0.0019157701022528197	0.438741427596157	4	3	malignant	q4q1_GSE123902
MHC-I/APM	20	3	0	0	3	-0.9517024022995567	B2M	-1.4501263101664965	0.007547986182342667	0.5027753094744936	4	3	malignant	q4q1_GSE123902
TJ	163	26	0	17	9	0.2117273647972462	FZD5	2.0651080961846384	0.0004593725712983664	0.4139855665794076	4	3	malignant	q4q1_GSE123902
keratin	7	0	0	0	0	0.2157536563795115	KRT19	-1.088283295102864	0.24985385170259847	0.731356677785906	4	3	malignant	q4q1_GSE123902
chemokine	13	0	0	0	0	-1.852553735293863	CCL5	-1.852553735293863	0.0614633636548844	0.5986478926711041	4	3	malignant	q4q1_GSE123902
IFN	206	15	0	8	7	0.030827006814978467	PSMA2	-0.8597136978995547	0.003942641582305679	0.4921779511265667	6	5	malignant	q4q1_GSE131907
MHC-I/APM	21	0	0	0	0	-0.06773179508789585	TAP2	-1.229810911866412	0.08459297490715625	0.6862853978433521	6	5	malignant	q4q1_GSE131907
TJ	171	16	0	12	4	0.22302714870482243	ARL2	-0.9566714075882878	0.0021635179696673635	0.47410725623017985	6	5	malignant	q4q1_GSE131907
keratin	12	0	0	0	0	0.5982033949046437	KRT10	1.187203269170963	0.060440907107520855	0.6565827071310195	6	5	malignant	q4q1_GSE131907
chemokine	14	4	0	0	4	-0.5318524137588077	CXCR4	-2.1657556632033557	0.01578235009411159	0.5792424648291536	6	5	malignant	q4q1_GSE131907
IFN	214	75	0	0	75	-1.2621912554566668	CD274	-2.131527301770449	0.00013649048649160402	0.2735117693195643	5	6	malignant	q4q1_GSE205335
MHC-I/APM	21	8	0	0	8	-1.6399906808493177	ERAP1	-2.1005800114327373	0.010012721084363567	0.5296822020241129	5	6	malignant	q4q1_GSE205335
TJ	184	21	0	8	13	-0.11708786595662667	PRKCE	-1.7729117158958978	0.003075262441805682	0.49382004736842156	5	6	malignant	q4q1_GSE205335
keratin	14	2	0	0	2	-1.409432976681051	KRT6A	-4.893304101801845	0.01086658922521142	0.5296822020241129	5	6	malignant	q4q1_GSE205335
chemokine	20	9	0	0	9	-1.7360948274695152	CCL5	-4.122830475820956	0.0006082835669826075	0.47783047739711143	5	6	malignant	q4q1_GSE205335
IFN	219	74	5	2	72	-0.601624830829602	CCL5	-2.6695940998946543	4.94642671409935e-06	0.008565580314007922	15	14	malignant	q4q1_combined
MHC-I/APM	21	8	0	0	8	-0.7438775531165986	TAP2	-1.7432768703772692	0.0005316831591193184	0.05124834894844542	15	14	malignant	q4q1_combined
TJ	187	41	2	28	13	0.06945384919846996	TBCD	0.9560762907448475	9.064387364055284e-05	0.022829098175761817	15	14	malignant	q4q1_combined
keratin	16	2	0	0	2	-0.2603778099724387	KRT6A	-3.3463162401209368	0.006376514110225736	0.1420109906411335	15	14	malignant	q4q1_combined
chemokine	23	13	4	0	13	-1.0171010944299326	CCL5	-2.6695940998946543	4.94642671409935e-06	0.008565580314007922	15	14	malignant	q4q1_combined
