family	split	cohort	n_q1	n_q4	n	n_genes	logFC	p	t	se	df	fdr
IFN	q4q1	GSE123902+GSE131907+GSE205335	15.0	14.0	29	219	-0.6402215968489543	0.004108788548016796	-3.1589182236847595	0.2026711524371656	25.0	0.010271971370041991
MHC-I/APM	q4q1	GSE123902+GSE131907+GSE205335	15.0	14.0	29	21	-0.8511897717031718	0.014995286020461355	-2.6123827161824877	0.32582889422382477	25.0	0.02499214336743559
TJ	q4q1	GSE123902+GSE131907+GSE205335	15.0	14.0	29	194	0.05871625482427119	0.4287112002131973	0.804467704539151	0.0729877091311049	25.0	0.4287112002131973
keratin	q4q1	GSE123902+GSE131907+GSE205335	15.0	14.0	29	17	-0.4850355850727244	0.3353340433575346	-0.9823610700990518	0.4937447134624523	25.0	0.4191675541969182
chemokine	q4q1	GSE123902+GSE131907+GSE205335	15.0	14.0	29	24	-1.038191178262258	0.0001427399177703453	-4.481876514857208	0.23164207555043148	25.0	0.0007136995888517265
IFN	continuous	GSE123902+GSE131907+GSE205335			55	219	-0.16602139988580472	0.06526513528622178	-1.88404613124123	0.08811960446872287	51.0	0.10260925656801026
MHC-I/APM	continuous	GSE123902+GSE131907+GSE205335			55	21	-0.28977999529826287	0.027721415936724322	-2.266060790133998	0.1278782972460008	51.0	0.06930353984181081
TJ	continuous	GSE123902+GSE131907+GSE205335			55	194	0.047107833939938656	0.0820874052544082	1.773675670166697	0.026559440788580743	51.0	0.10260925656801026
keratin	continuous	GSE123902+GSE131907+GSE205335			55	17	-0.06665957267731995	0.7190912092449668	-0.3616721619149439	0.1843093820778957	51.0	0.7190912092449668
chemokine	continuous	GSE123902+GSE131907+GSE205335			55	24	-0.32708732297840826	0.00434681258617132	-2.984975444733268	0.10957789403444697	51.0	0.0217340629308566
IFN	q4q1	GSE123902	4.0	3.0	7	219	-0.7593003696527971	0.0707931327795733	-2.2883730902334367	0.331807943771678	5.0	0.17347604194848584
MHC-I/APM	q4q1	GSE123902	4.0	3.0	7	21	-0.8443498759867094	0.08333121749673102	-2.1586288752327634	0.39115101519971274	5.0	0.17347604194848584
TJ	q4q1	GSE123902	4.0	3.0	7	194	0.048205694009878064	0.8370143735234966	0.2166891840043034	0.2224646986022187	5.0	0.8370143735234967
keratin	q4q1	GSE123902	4.0	3.0	7	17	-0.7881026235254545	0.38835506675161835	-0.9443434887119186	0.8345508101087495	5.0	0.4854438334395229
chemokine	q4q1	GSE123902	4.0	3.0	7	24	-1.4185354963975434	0.10408562516909149	-1.9836926110866513	0.7150984424045824	5.0	0.17347604194848584
IFN	continuous	GSE123902			13	219	-0.24987202234499165	0.03653314889157984	-2.379503522775478	0.10501015020710634	11.0	0.09133287222894959
MHC-I/APM	continuous	GSE123902			13	21	-0.30795072147280106	0.10477105030931974	-1.7678753298299787	0.17419255547981288	11.0	0.1746184171821996
TJ	continuous	GSE123902			13	194	0.04346284782537516	0.5654834482742233	0.5925202670722992	0.07335250832875195	11.0	0.5654834482742233
keratin	continuous	GSE123902			13	17	-0.24792585746141252	0.33807308044732803	-1.0015735917326956	0.24753633632902344	11.0	0.42259135055916003
chemokine	continuous	GSE123902			13	24	-0.6570679102800872	0.019289023035158236	-2.738327854480183	0.23995224282770128	11.0	0.09133287222894959
IFN	q4q1	GSE131907	6.0	5.0	11	219	0.03293432282721098	0.9148589481465603	0.10995355525925203	0.29952940357005625	9.0	0.9148589481465603
MHC-I/APM	q4q1	GSE131907	6.0	5.0	11	21	-0.11743376600208033	0.8363964640693128	-0.21257320871112592	0.5524391653779178	9.0	0.9148589481465603
TJ	q4q1	GSE131907	6.0	5.0	11	194	0.22756538245549413	0.006941388838725884	3.4797410511154854	0.06539721752644338	9.0	0.03470694419362942
keratin	q4q1	GSE131907	6.0	5.0	11	17	0.5677783147114578	0.5511651192270017	0.6191517231561889	0.9170261399211651	9.0	0.9148589481465603
chemokine	q4q1	GSE131907	6.0	5.0	11	24	-0.42429229428697446	0.08339112789777142	-1.9468224261080227	0.21794093215537672	9.0	0.20847781974442856
IFN	continuous	GSE131907			21	219	0.08664039315215864	0.5018728820215255	0.6845835842643969	0.1265592619274621	19.0	0.8364548033692092
MHC-I/APM	continuous	GSE131907			21	21	-0.013786867898690902	0.9435508747691208	-0.07174984915681273	0.19215187294065306	19.0	0.9988185882743057
TJ	continuous	GSE131907			21	194	0.09721761540651394	0.0007290464013228427	4.021756183820871	0.024172926195180806	19.0	0.0036452320066142135
keratin	continuous	GSE131907			21	17	0.47045468910254584	0.07709510993387096	1.869159092411539	0.25169322986604514	19.0	0.1927377748346774
chemokine	continuous	GSE131907			21	24	-0.00020291809126041634	0.9988185882743057	-0.0015002828974782572	0.13525321897722767	19.0	0.9988185882743057
IFN	q4q1	GSE205335	5.0	6.0	11	219	-1.238528002191278	0.0018195653319095359	-4.361468831916357	0.28397038931654806	9.0	0.00454891332977384
MHC-I/APM	q4q1	GSE205335	5.0	6.0	11	21	-1.5892451404260441	0.017029135564410335	-2.920096890660363	0.5442439754342007	9.0	0.02838189260735056
TJ	q4q1	GSE205335	5.0	6.0	11	194	-0.10352623458076404	0.3542889686028565	-0.976592309986464	0.10600762828267506	9.0	0.3542889686028565
keratin	q4q1	GSE205335	5.0	6.0	11	17	-1.3473502035437641	0.08466863532451782	-1.9373493723792974	0.6954606240634111	9.0	0.10583579415564728
chemokine	q4q1	GSE205335	5.0	6.0	11	24	-1.4130164908382212	0.0014661857475547037	-4.5107234529003275	0.31325717605890313	9.0	0.00454891332977384
IFN	continuous	GSE205335			21	219	-0.4242480852157448	0.00666418288740773	-3.044889220821911	0.1393312053241881	19.0	0.012159509577870625
MHC-I/APM	continuous	GSE205335			21	21	-0.6072813527148044	0.0072957057467223745	-3.004067926071895	0.20215300308101974	19.0	0.012159509577870625
TJ	continuous	GSE205335			21	194	-0.02644228961064948	0.5113150899694663	-0.6693655320545058	0.03950351242241184	19.0	0.5113150899694663
