gse	gsm	title	source_name_ch1	characteristics_ch1	description	organism_ch1	supplementary_file	supplementary_file_1	label_ch1	label_ch2	source_name_ch2	characteristics_ch2
GSE207704	GSM6310640	T47D_rep1	T47D	cell line: T47D | cell type: Breast cancer | genotype: WT	No treatment	Homo sapiens		NONE				
GSE207704	GSM6310641	T47D_rep2	T47D	cell line: T47D | cell type: Breast cancer | genotype: WT	No treatment	Homo sapiens		NONE				
GSE207704	GSM6310642	T47D:CLDN4-/-_rep1	T47D:CLDN4-/-	cell line: T47D | cell type: Breast cancer | genotype: CLDN4 -/-	CLDN4 knockout	Homo sapiens		NONE				
GSE207704	GSM6310643	T47D:CLDN4-/-_rep2	T47D:CLDN4-/-	cell line: T47D | cell type: Breast cancer | genotype: CLDN4 -/-	CLDN4 knockout	Homo sapiens		NONE				
GSE207704	GSM6310644	MCF7_rep1	MCF7	cell line: MCF7 | cell type: Breast cancer | genotype: WT	No treatment	Homo sapiens		NONE				
GSE207704	GSM6310645	MCF7_rep2	MCF7	cell line: MCF7 | cell type: Breast cancer | genotype: WT	No treatment	Homo sapiens		NONE				
GSE207704	GSM6310646	MCF7:CLDN4-/-_rep1	MCF7:CLDN4-/-	cell line: MCF7 | cell type: Breast cancer | genotype: CLDN4 -/-	CLDN4 knockout	Homo sapiens		NONE				
GSE207704	GSM6310647	MCF7:CLDN4-/-_rep2	MCF7:CLDN4-/-	cell line: MCF7 | cell type: Breast cancer | genotype: CLDN4 -/-	CLDN4 knockout	Homo sapiens		NONE				
GSE22493	GSM558700	CLDN4 Replicate 1	SKOV-3-IP-Luc ovarian cancer cell line	cell line: SKOV-3-IP-Luc | protocol: CLDN4 overexpression (control)		Homo sapiens	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM558nnn/GSM558700/suppl/GSM558700.txt.gz		Cy3	Cy5	SKOV-3-IP-Luc ovarian cancer cell line	protocol: CLDN4 knockdown | cell line: SKOV-3-IP-Luc
GSE22493	GSM558701	CLDN4 Replicate 2	SKOV-3-IP-Luc ovarian cancer cell line	cell line: SKOV-3-IP-Luc | protocol: CLDN4 overexpression (control)		Homo sapiens	ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM558nnn/GSM558701/suppl/GSM558701.txt.gz		Cy3	Cy5	SKOV-3-IP-Luc ovarian cancer cell line	protocol: CLDN4 knockdown | cell line: SKOV-3-IP-Luc
