item	n	rule
GEO series	1	GSE285029 public author WTS
author ICI-RNA-seq samples	234	Case1-Case234 columns on deposited matrix
genes on deposited matrix after all-NA drop	20069	symbol rows
CLDN4 finite	234	complete-case Spearman n
CXCL9 / CXCL10 / CXCL13 / GEP18 present	4	all four extra partners present; GEP18 18/18
RECIST / histology / PD-L1 IHC / purity	0	not on GEO; skipped
