cohort	modality	cldn4_def	endpoint	endpoint_col	gate	n_total	n_high	n_low	cliff_delta	mwu_p	spearman_rho	spearman_p	spearman_n	tacstd2_companion_rho	median_high	median_low
GSE207422	scRNA	malig_CLDN4_mean (A3 given table)	T/NK	frac_tnk	median	12	6	6	0.05555555555555555	0.9372294372294373	-0.09090909090909093	0.7787253962454419	12	0.5384615384615385	0.3730214133657651	0.3692234766123827
GSE207422	scRNA	malig_CLDN4_mean (A3 given table)	T/NK	frac_tnk	Q4_vs_Q1	12	3	3	-0.3333333333333333	0.7	-0.09090909090909093	0.7787253962454419	12	0.5384615384615385	0.2170620898536092	0.4876755070202808
GSE253013	scRNA	malig_CLDN4_mean_log1p (extract)	T/NK	tnk_fraction	median	9	5	4	-0.3	0.5555555555555556	-0.33333333333333337	0.38071318167686347	9	0.6833333333333333	0.2438777062313035	0.3797051006009183
GSE253013	scRNA	malig_CLDN4_mean_log1p (extract)	T/NK	tnk_fraction	Q4_vs_Q1	9	3	3	-0.5555555555555556	0.4	-0.33333333333333337	0.38071318167686347	9	0.6833333333333333	0.2438777062313035	0.4106927555203417
GSE131907	scRNA	epi_CLDN4_mean (tumor sites)	T/NK	frac_tnk	median	36	18	18	-0.4444444444444444	0.023687526472014643	-0.2102960102960103	0.21829713378991505	36	0.6120084960224378	0.27437982451893883	0.40748283457716283
GSE131907	scRNA	epi_CLDN4_mean (tumor sites)	T/NK	frac_tnk	Q4_vs_Q1	36	9	9	-0.13580246913580246	0.6588432549492806	-0.2102960102960103	0.21829713378991505	36	0.6120084960224378	0.3466524973432519	0.3673890608875129
GSE131907	scRNA	epi_CLDN4_mean (tumor sites)	CD8A	frac_cd8	median	36	18	18	-0.35185185185185186	0.07384365056328972	-0.09446589446589447	0.5836780479358336	36	0.6120084960224378	0.036017761017000646	0.07563275394973575
GSE131907	scRNA	epi_CLDN4_mean (tumor sites)	CD8A	frac_cd8	Q4_vs_Q1	36	9	9	-0.012345679012345678	1.0	-0.09446589446589447	0.5836780479358336	36	0.6120084960224378	0.0994686503719447	0.0515492957746478
GSE131907	scRNA	epi_CLDN4_mean (tumor sites)	ImmuneScore	frac_immune	median	36	18	18	-0.2839506172839506	0.14999297257278157	-0.12715572715572715	0.45989678044536225	36	0.6120084960224378	0.6929507616011334	0.8180668488099672
GSE131907	scRNA	epi_CLDN4_mean (tumor sites)	ImmuneScore	frac_immune	Q4_vs_Q1	36	9	9	-0.06172839506172839	0.859819205054158	-0.12715572715572715	0.45989678044536225	36	0.6120084960224378	0.8642128823675702	0.7574660633484163
GSE241934_IIT	scRNA	epi_CLDN4_log1p_cp10k	T/NK	frac_tnk	median	11	6	5	-0.26666666666666666	0.5367965367965368	-0.06363636363636364	0.8525390725425217	11	0.9454545454545454	0.4976990463029548	0.544442954819681
GSE241934_IIT	scRNA	epi_CLDN4_log1p_cp10k	T/NK	frac_tnk	Q4_vs_Q1	11	3	3	0.1111111111111111	1.0	-0.06363636363636364	0.8525390725425217	11	0.9454545454545454	0.6045187995860641	0.6544329896907216
GSE241934_IIT	scRNA	epi_CLDN4_log1p_cp10k	CD8A	frac_cd8	median	11	6	5	-0.4666666666666667	0.24675324675324672	-0.10909090909090911	0.7495085962341481	11	0.9454545454545454	0.23415678575777354	0.2743768017636086
GSE241934_IIT	scRNA	epi_CLDN4_log1p_cp10k	CD8A	frac_cd8	Q4_vs_Q1	11	3	3	-0.1111111111111111	1.0	-0.10909090909090911	0.7495085962341481	11	0.9454545454545454	0.2671550306473314	0.2743768017636086
GSE241934_Real	scRNA	epi_CLDN4_log1p_cp10k	T/NK	frac_tnk	median	24	12	12	0.3055555555555556	0.21449380778351745	0.1782608695652174	0.404629262071875	24	0.477391304347826	0.5361859265586438	0.3953926438250054
