contrast	human_APM_gene	measured_gene	log2FC_KO_vs_control	PValue	FDR	direction
GSE50927_baseline	HLA-A	H2-K1	-0.07092	0.724	1	DOWN
GSE50927_baseline	HLA-B	H2-D1	0.3546	0.06687	0.4825	UP
GSE50927_baseline	HLA-C	H2-Q7	-0.5526	0.0618	0.4627	DOWN
GSE50927_baseline	B2M	B2M	0.6552	0.00093	0.03359	UP
GSE50927_baseline	NLRC5	NLRC5	0.748	0.004173	0.09262	UP
GSE50927_baseline	TAP1	TAP1	0.1836	0.4414	1	UP
GSE50927_baseline	TAP2	TAP2	-0.008632	0.9629	1	DOWN
GSE50927_baseline	TAPBP	TAPBP	0.1048	0.4715	1	UP
GSE50927_baseline	PSMB8	PSMB8	0.432	0.02617	0.2907	UP
GSE50927_baseline	PSMB9	PSMB9	0.9018	0.001094	0.03734	UP
GSE50927_baseline	PSMB10	PSMB10	0.3676	0.01432	0.204	UP
GSE50927_baseline	ERAP1	ERAP1	0.3173	0.03269	0.3295	UP
GSE50927_baseline	ERAP2	ERAP2				NA
GSE50927_baseline	CALR	CALR	0.6049	1.556e-05	0.001407	UP
GSE50927_baseline	CANX	CANX	0.1191	0.3948	1	UP
GSE50927_baseline	PDIA3	PDIA3	0.1952	0.1648	0.7497	UP
GSE50927_VILI_low	HLA-A	H2-K1	-0.1928	0.2912	1	DOWN
GSE50927_VILI_low	HLA-B	H2-D1	0.0385	0.828	1	UP
GSE50927_VILI_low	HLA-C	H2-Q7	-0.5643	0.1066	1	DOWN
GSE50927_VILI_low	B2M	B2M	0.1179	0.4966	1	UP
GSE50927_VILI_low	NLRC5	NLRC5	0.1152	0.7041	1	UP
GSE50927_VILI_low	TAP1	TAP1	-0.4425	0.03381	0.7749	DOWN
GSE50927_VILI_low	TAP2	TAP2	-0.2722	0.1435	1	DOWN
GSE50927_VILI_low	TAPBP	TAPBP	-0.003006	0.9887	1	DOWN
