probe	gene	replicate_1_log_ratio	replicate_2_log_ratio	replicate_3_log_ratio	direction_definition
1461	HLA-A	-1.2515	0.4542	-3.0589	positive = CLDN4 KD / control; deposited normalized log-ratio
2020	HLA-A	-1.3959	0.0426	-0.6439	positive = CLDN4 KD / control; deposited normalized log-ratio
2180	CALR	0.2141	0.5261	0.6599	positive = CLDN4 KD / control; deposited normalized log-ratio
3753	CANX	-1.3219	0.8400	-0.2009	positive = CLDN4 KD / control; deposited normalized log-ratio
3755	CANX	-1.0893	1.5261	-0.6666	positive = CLDN4 KD / control; deposited normalized log-ratio
3757	CANX	-1.1203	0.5753	-0.6666	positive = CLDN4 KD / control; deposited normalized log-ratio
3759	CANX	-1.3219	0.8718	-1.7370	positive = CLDN4 KD / control; deposited normalized log-ratio
3841	TAP2	1.3618	-3.0589	1.3103	positive = CLDN4 KD / control; deposited normalized log-ratio
4255	HLA-C	-1.2515	1.0566	0.4542	positive = CLDN4 KD / control; deposited normalized log-ratio
4277	TAP1	-0.8625	2.1763	-0.9434	positive = CLDN4 KD / control; deposited normalized log-ratio
4836	HLA-A	-1.9434	1.3334	-1.7859	positive = CLDN4 KD / control; deposited normalized log-ratio
7462	HLA-C	-1.2515	0.5850	-1.2515	positive = CLDN4 KD / control; deposited normalized log-ratio
7509	HLA-A	-3.8365	1.3505	-6.6439	positive = CLDN4 KD / control; deposited normalized log-ratio
7726	TAPBP	-1.3585	1.3103	-2.0000	positive = CLDN4 KD / control; deposited normalized log-ratio
8068	HLA-A	2.3132	-0.8625	1.3448	positive = CLDN4 KD / control; deposited normalized log-ratio
9889	TAP2	-3.4739	-0.3771	-1.8365	positive = CLDN4 KD / control; deposited normalized log-ratio
10823	CANX	-0.5564	1.8032	-1.6897	positive = CLDN4 KD / control; deposited normalized log-ratio
10884	HLA-A	0.1506	0.6690	-0.6439	positive = CLDN4 KD / control; deposited normalized log-ratio
10912	PSMB10	-0.3771	-0.0893	0.2141	positive = CLDN4 KD / control; deposited normalized log-ratio
13326	IFI27	-2.6439	2.8420	-2.3219	positive = CLDN4 KD / control; deposited normalized log-ratio
13774	TAPBP	2.0942	0.5460	0.8797	positive = CLDN4 KD / control; deposited normalized log-ratio
14116	HLA-A	-1.5146	3.8520	-2.3219	positive = CLDN4 KD / control; deposited normalized log-ratio
15937	TAP2	-0.5564	-3.6439	-0.1681	positive = CLDN4 KD / control; deposited normalized log-ratio
16374	PSMB8	1.7137	-0.0291	1.2079	positive = CLDN4 KD / control; deposited normalized log-ratio
17169	CLDN4		-1.7370	-0.7131	positive = CLDN4 KD / control; deposited normalized log-ratio
18303	OAS2	-0.2863	2.8115	0.1110	positive = CLDN4 KD / control; deposited normalized log-ratio
20164	HLA-A	-1.5995	2.4854	-1.7370	positive = CLDN4 KD / control; deposited normalized log-ratio
21857	HLA-C	-5.6439	1.2570	-3.3219	positive = CLDN4 KD / control; deposited normalized log-ratio
22422	PSMB8	-1.0589	2.1440	-1.4739	positive = CLDN4 KD / control; deposited normalized log-ratio
22654	CANX	-1.2863	0.6415	-1.3959	positive = CLDN4 KD / control; deposited normalized log-ratio
22656	CANX	-1.1520	0.9030	-1.2176	positive = CLDN4 KD / control; deposited normalized log-ratio
22658	CANX	-0.6439	1.9030	-1.3585	positive = CLDN4 KD / control; deposited normalized log-ratio
22660	CANX	-1.0000	0.7485	-1.2863	positive = CLDN4 KD / control; deposited normalized log-ratio
23563	CALR	0.4542	-0.9434	0.5059	positive = CLDN4 KD / control; deposited normalized log-ratio
24124	HLA-B	-1.5564	2.3277	-2.1203	positive = CLDN4 KD / control; deposited normalized log-ratio
25567	PSMB9	2.1276	5.7371	2.3277	positive = CLDN4 KD / control; deposited normalized log-ratio
25678	CANX	-1.9434	0.5460	-0.4941	positive = CLDN4 KD / control; deposited normalized log-ratio
25680	CANX	-2.7370	0.6415	-0.8365	positive = CLDN4 KD / control; deposited normalized log-ratio
25682	CANX	-2.0589	0.8319	-1.4344	positive = CLDN4 KD / control; deposited normalized log-ratio
25684	CANX	-1.6897	0.7312	-1.5564	positive = CLDN4 KD / control; deposited normalized log-ratio
26212	HLA-A	-3.1844	0.5460	1.6415	positive = CLDN4 KD / control; deposited normalized log-ratio
26941	B2M	-2.5564	2.2296	-3.1844	positive = CLDN4 KD / control; deposited normalized log-ratio
28889	PSMB9	-0.2515	0.3674	1.0909	positive = CLDN4 KD / control; deposited normalized log-ratio
29863	IFIT1	-2.8365	-1.1203	-2.1203	positive = CLDN4 KD / control; deposited normalized log-ratio
30819	TAPBP	-2.9434	-0.8625		positive = CLDN4 KD / control; deposited normalized log-ratio
30970	CANX	-1.1203	4.2920	-3.8365	positive = CLDN4 KD / control; deposited normalized log-ratio
30972	CANX	-1.2515	4.7871	-6.6439	positive = CLDN4 KD / control; deposited normalized log-ratio
30974	CANX	-1.2863	4.7398	-5.6439	positive = CLDN4 KD / control; deposited normalized log-ratio
30976	CANX	-1.0893	1.5993	-3.8365	positive = CLDN4 KD / control; deposited normalized log-ratio
31702	HLA-A	-2.6439	0.9260	1.7655	positive = CLDN4 KD / control; deposited normalized log-ratio
33565	HLA-A	-2.3219		-2.0000	positive = CLDN4 KD / control; deposited normalized log-ratio
34518	TAP1	-2.9434	2.5311	-2.0000	positive = CLDN4 KD / control; deposited normalized log-ratio
35937	MX1	-0.0740		0.7908	positive = CLDN4 KD / control; deposited normalized log-ratio
