cohort,feature,class,spearman_rho,spearman_p,n,partial_rho_ESTIMATE,partial_p_ESTIMATE,partial_n_ESTIMATE,partial_rho_ABSOLUTE,partial_p_ABSOLUTE,partial_n_ABSOLUTE,spearman_q,partial_q_ESTIMATE,partial_q_ABSOLUTE
NSCLC_ESTIMATE_ABSOLUTE_complete,Cytolytic_CYT,immune,-0.1125,0.003269049963411987,682,-0.07267519839614532,0.05801913826848759,682,-0.13305772313951356,0.0004988306840120383,682,0.0047778422542175195,0.08479720208471263,0.0006769844997306235
NSCLC_ESTIMATE_ABSOLUTE_complete,CD8_Tcell,immune,-0.1511,7.46909940457638e-05,682,-0.12265434344817985,0.0013411707204490958,682,-0.1676575645682145,1.0909227135172517e-05,682,0.00027782089348861715,0.0049435600833219765,3.4545885928046305e-05
NSCLC_ESTIMATE_ABSOLUTE_complete,Cytotoxic_effector,immune,-0.1191,0.0018425098841220202,682,-0.0807348701990692,0.03516751540253565,682,-0.14224767287723714,0.00019591488052976018,682,0.002917307316526532,0.059813376395850375,0.00031019856083878695
NSCLC_ESTIMATE_ABSOLUTE_complete,Exhaustion,immune,-0.1095,0.004199615324841639,682,-0.0640916083247081,0.09468632920384637,682,-0.1448762347215098,0.0001483746699518456,682,0.00569947794085651,0.11993601699153873,0.00027231025984922726
NSCLC_ESTIMATE_ABSOLUTE_complete,IFNgamma_6gene,immune,-0.1001,0.00889742986424615,682,-0.05475693774633027,0.15346990360815632,682,-0.1190266289285436,0.0018615365330215848,682,0.011270077828045124,0.18224551053468563,0.002210574632963132
NSCLC_ESTIMATE_ABSOLUTE_complete,Tcell_inflamed_GEP,immune,-0.0984,0.010124810094049912,682,-0.04616477111774345,0.22892093669475153,682,-0.12635881362737564,0.0009509388514480013,682,0.01202321198668427,0.2558528116000164,0.0012045225451674684
NSCLC_ESTIMATE_ABSOLUTE_complete,gene_CD8A,immune,-0.1496,8.773291373324752e-05,682,-0.12098601969148876,0.0015611242368385187,682,-0.17130620090982165,6.941913845762496e-06,682,0.00027782089348861715,0.0049435600833219765,3.2974090767371856e-05
NSCLC_ESTIMATE_ABSOLUTE_complete,gene_GZMA,immune,-0.0852,0.026064563691148623,682,-0.03991616635645574,0.29826914662094056,682,-0.10093048401470205,0.008394552099229432,682,0.029130982948930816,0.3148396547665484,0.009382146463844658
NSCLC_ESTIMATE_ABSOLUTE_complete,gene_GZMB,immune,-0.1201,0.0016712115316213398,682,-0.0864299933064165,0.02409859903426177,682,-0.13939361807051917,0.0002635111187129396,682,0.002917307316526532,0.05087482018344151,0.00038513163504198865
NSCLC_ESTIMATE_ABSOLUTE_complete,gene_PRF1,immune,-0.1433,0.00017270529609573232,682,-0.11284577188969284,0.003189744919215161,682,-0.1660769252694499,1.3230066909726115e-05,682,0.00046877151797413053,0.008657879066441151,3.591018161211374e-05
NSCLC_ESTIMATE_ABSOLUTE_complete,gene_IFNG,immune,-0.1354,0.00039202894026203294,682,-0.1058330031758831,0.005700847519520131,682,-0.1486848048705003,9.835481758962095e-05,682,0.0009310687331223282,0.013539512858860311,0.00020763794824475533
