cohort,feature,spearman_rho,spearman_p,n,partial_rho_ESTIMATE,partial_p_ESTIMATE,partial_n_ESTIMATE,partial_rho_ABSOLUTE,partial_p_ABSOLUTE,partial_n_ABSOLUTE,partial_rho_CPE,partial_p_CPE,partial_n_CPE
NSCLC_pooled,Cytolytic_CYT,-0.1325,0.0,1017,-0.0768,0.0146,1012,-0.1331,0.0005,682,-0.1279,0.0,1016
NSCLC_pooled,CD8_Tcell,-0.1801,0.0,1017,-0.1397,0.0,1012,-0.1677,0.0,682,-0.1809,0.0,1016
NSCLC_pooled,Cytotoxic_effector,-0.141,0.0,1017,-0.0869,0.0057,1012,-0.1422,0.0002,682,-0.1398,0.0,1016
NSCLC_pooled,Exhaustion,-0.1234,0.0001,1017,-0.0469,0.1365,1012,-0.1449,0.0001,682,-0.13,0.0,1016
NSCLC_pooled,IFNgamma_6gene,-0.1211,0.0001,1017,-0.0592,0.0598,1012,-0.119,0.0019,682,-0.1141,0.0003,1016
NSCLC_pooled,Tcell_inflamed_GEP,-0.1205,0.0001,1017,-0.0461,0.1432,1012,-0.1264,0.001,682,-0.1211,0.0001,1016
NSCLC_pooled,gene_CD8A,-0.1675,0.0,1017,-0.121,0.0001,1012,-0.1713,0.0,682,-0.17,0.0,1016
NSCLC_pooled,gene_GZMA,-0.1166,0.0002,1017,-0.0608,0.0534,1012,-0.1009,0.0084,682,-0.1069,0.0006,1016
NSCLC_pooled,gene_GZMB,-0.1175,0.0002,1017,-0.0683,0.0299,1012,-0.1394,0.0003,682,-0.1058,0.0007,1016
NSCLC_pooled,gene_PRF1,-0.1473,0.0,1017,-0.0963,0.0022,1012,-0.1661,0.0,682,-0.1452,0.0,1016
NSCLC_pooled,gene_IFNG,-0.1401,0.0,1017,-0.0993,0.0016,1012,-0.1487,0.0001,682,-0.1321,0.0,1016
NSCLC_pooled,gene_PDCD1,-0.1596,0.0,1017,-0.1107,0.0004,1012,-0.1764,0.0,682,-0.1614,0.0,1016
NSCLC_pooled,gene_CTLA4,-0.1573,0.0,1017,-0.1079,0.0006,1012,-0.2012,0.0,682,-0.1679,0.0,1016
NSCLC_pooled,gene_LAG3,-0.1601,0.0,1017,-0.114,0.0003,1012,-0.172,0.0,682,-0.1546,0.0,1016
NSCLC_pooled,gene_HAVCR2,-0.1026,0.0011,1017,0.0062,0.844,1012,-0.0613,0.11,682,-0.0963,0.0021,1016
NSCLC_pooled,gene_TIGIT,-0.1191,0.0001,1017,-0.0539,0.0868,1012,-0.1491,0.0001,682,-0.1164,0.0002,1016
NSCLC_pooled,gene_CD274,-0.0142,0.6513,1017,0.0367,0.2435,1012,-0.029,0.4503,682,0.0046,0.8847,1016
NSCLC_pooled,gene_GZMK,-0.1429,0.0,1017,-0.0818,0.0092,1012,-0.1443,0.0002,682,-0.1446,0.0,1016
NSCLC_pooled,gene_CXCL9,-0.1674,0.0,1017,-0.1229,0.0001,1012,-0.1686,0.0,682,-0.1649,0.0,1016
