cohort,purity_method,spearman_rho,spearman_p,n
NSCLC_pooled,ESTIMATE,0.1217,0.00010398765114140979,1012
NSCLC_pooled,ABSOLUTE,-0.0139,0.7173306228897568,682
NSCLC_pooled,CPE,0.0527,0.09290642644195693,1016
LUAD,ESTIMATE,-0.0058,0.8961778100764525,511
LUAD,ABSOLUTE,0.0205,0.7015954423187978,353
LUAD,CPE,0.021,0.6344677350162262,515
LUSC,ESTIMATE,0.1201,0.007121009164424591,501
LUSC,ABSOLUTE,-0.0596,0.2814444783435608,329
LUSC,CPE,0.0092,0.8374879794810411,501
