cohort,n_immune_features,spearman_neg,spearman_neg_p05,spearman_neg_q05,ESTIMATE_neg,ESTIMATE_neg_p05,ESTIMATE_neg_q05,ABSOLUTE_neg,ABSOLUTE_neg_p05,ABSOLUTE_neg_q05,CPE_neg,CPE_neg_p05,CPE_neg_q05
NSCLC_pooled,19,19,18,18,17,12,12,19,17,17,18,18,18
LUAD,19,17,10,7,17,12,11,16,9,1,17,10,10
LUSC,19,19,19,19,19,13,12,19,19,19,19,19,19
