cohort,feature,spearman_rho,spearman_p,n,partial_rho_PURITY,partial_p_PURITY,partial_n_PURITY
OncoSG_LUAD,Cytolytic_CYT,-0.421,0.0,169,-0.3594,0.0,169
OncoSG_LUAD,CD8_Tcell,-0.3721,0.0,169,-0.2986,0.0001,169
OncoSG_LUAD,Cytotoxic_effector,-0.4323,0.0,169,-0.3721,0.0,169
OncoSG_LUAD,Exhaustion,-0.3589,0.0,169,-0.2798,0.0002,169
OncoSG_LUAD,IFNgamma_6gene,-0.321,0.0,169,-0.2557,0.0008,169
OncoSG_LUAD,Tcell_inflamed_GEP,-0.4137,0.0,169,-0.3487,0.0,169
OncoSG_LUAD,gene_CD8A,-0.3804,0.0,169,-0.3087,0.0,169
OncoSG_LUAD,gene_GZMA,-0.354,0.0,169,-0.2787,0.0003,169
OncoSG_LUAD,gene_GZMB,-0.3681,0.0,169,-0.2968,0.0001,169
OncoSG_LUAD,gene_PRF1,-0.3952,0.0,169,-0.3389,0.0,169
OncoSG_LUAD,gene_IFNG,-0.3278,0.0,169,-0.2647,0.0005,169
OncoSG_LUAD,gene_PDCD1,-0.3245,0.0,169,-0.2526,0.001,169
OncoSG_LUAD,gene_CTLA4,-0.1924,0.0122,169,-0.1014,0.1911,169
OncoSG_LUAD,gene_LAG3,-0.0914,0.2374,169,-0.0118,0.8797,169
OncoSG_LUAD,gene_HAVCR2,-0.3782,0.0,169,-0.3129,0.0,169
OncoSG_LUAD,gene_TIGIT,-0.3525,0.0,169,-0.2784,0.0003,169
OncoSG_LUAD,gene_CD274,-0.3819,0.0,169,-0.3173,0.0,169
OncoSG_LUAD,gene_GZMK,-0.3514,0.0,169,-0.2757,0.0003,169
OncoSG_LUAD,gene_CXCL9,-0.2433,0.0014,169,-0.1915,0.0129,169
OncoSG_LUAD,TJ_CLDN1,0.3736,0.0,169,0.388,0.0,169
OncoSG_LUAD,TJ_CLDN4,0.5046,0.0,169,0.4624,0.0,169
OncoSG_LUAD,TJ_CLDN7,0.4889,0.0,169,0.4429,0.0,169
OncoSG_LUAD,TJ_F11R,0.1167,0.1309,169,0.0505,0.5154,169
OncoSG_LUAD,TJ_PARD3,0.0623,0.4211,169,0.0374,0.63,169
